pixel_start,pixel_end,volume,surface,euler
1,1,5127794,605771.294,-417.75
1,1,4918351,596815.213,-353.75
1,1,4991425,601210.599,-368.5
1,1,5063790,598739.313,-396.25
1,1,5099436,601302.771,-391.625
1,1,5095554,609464.444,-386.5
1,1,5127371,610962.593,-409.375
1,1,5065746,605810.793,-386.5
1,1,5098627,598147.621,-419.25
1,1,5052053,600849.824,-364.75
1,1,4969691,596239.74,-372.5
1,1,5126818,604072.08,-381.25
1,1,4976818,607361.489,-400.5
1,1,5111597,596206.083,-389.5
1,1,5078865,593950.962,-334.875
1,1,5069531,602717.156,-371.25
1,1,5007642,594151.801,-360.25
1,1,5087412,600731.186,-369
1,1,4966855,596834.298,-411.875
1,1,5127794,605771.294,-417.75
1,1,5030352,597022.852,-396.25
