pixel_start,pixel_end,volume,surface,euler
1,1,7041801,422182.409,-205.375
1,1,6999628,429124.984,-186
1,1,7075961,412642.349,-208.375
1,1,7083905,418019.755,-216.25
1,1,7084387,409642.75,-154.75
1,1,7013011,429680.639,-185.75
1,1,7086588,415888.557,-141.375
1,1,7048403,413488.29,-201.25
1,1,7026788,428442.002,-111.5
1,1,7015204,417686.128,-175.5
1,1,7045333,426999.674,-267
1,1,7030883,426546.782,-234.875
1,1,7043454,427929.364,-214.5
1,1,7012268,420538.406,-160.375
1,1,7010253,423738.023,-255.375
1,1,7104452,412774.783,-234.75
1,1,7052958,408634.836,-169
1,1,7013795,430246.432,-212
1,1,7075378,431945.495,-188
1,1,7073674,420653.514,-207.75
