beadpack_128_0-1-Y/processor0	effPorosity= 0.373826 		K_y= 6.9364e-12 m^2 		FF_y= 4.23527 		DarcyVelocity= 2.70953e-05 m/s 		DelP= 1 Pa 		K: 6.9364e-12 m^2 			K=( 0  6.9364e-12  0 ) Pmax-Pmin: 1.03016 Umax= 0.00046315		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.27175e-12/(0.000256*0.000256*0.000256)= 0.373826		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.70953e-05*sqrt(6.9364e-12 )/0.001)= 7.1361e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.89952e-08 168.752 168.752 1.90378e-05 1.90378e-05 
5.71682e-08 289.253 289.253 3.80757e-05 3.80757e-05 
6.67046e-08 123.95 123.95 1.90378e-05 1.90378e-05 
7.78318e-08 106.229 106.229 1.90378e-05 1.90378e-05 
9.08152e-08 0 0 0 0 
1.05964e-07 78.0264 78.0264 1.90378e-05 1.90378e-05 
1.23641e-07 66.8714 66.8714 1.90378e-05 1.90378e-05 
1.44266e-07 57.3111 57.3111 1.90378e-05 1.90378e-05 
1.68331e-07 196.471 196.471 7.61513e-05 7.61513e-05 
1.96411e-07 0 0 0 0 
2.29175e-07 0 0 0 0 
2.67404e-07 0 0 0 0 
3.12011e-07 26.4992 26.4992 1.90378e-05 1.90378e-05 
3.64058e-07 22.7107 22.7107 1.90378e-05 1.90378e-05 
4.24788e-07 0 0 0 0 
4.95648e-07 33.3625 33.3625 3.80757e-05 3.80757e-05 
5.78329e-07 0 0 0 0 
6.74802e-07 0 0 0 0 
7.87368e-07 21.0017 21.0017 3.80757e-05 3.80757e-05 
9.18712e-07 8.99959 8.99959 1.90378e-05 1.90378e-05 
1.07196e-06 15.4259 15.4259 3.80757e-05 3.80757e-05 
1.25078e-06 19.8308 19.8308 5.71135e-05 5.71135e-05 
1.45943e-06 16.9957 16.9957 5.71135e-05 5.71135e-05 
1.70288e-06 4.85531 4.85531 1.90378e-05 1.90378e-05 
1.98695e-06 12.4835 12.4835 5.71135e-05 5.71135e-05 
2.31839e-06 7.13254 7.13254 3.80757e-05 3.80757e-05 
2.70513e-06 3.05642 3.05642 1.90378e-05 1.90378e-05 
3.15639e-06 7.85838 7.85838 5.71135e-05 5.71135e-05 
3.68291e-06 4.48994 4.48994 3.80757e-05 3.80757e-05 
4.29727e-06 3.84803 3.84803 3.80757e-05 3.80757e-05 
5.01411e-06 13.1916 13.1916 0.000152303 0.000152303 
5.85054e-06 1.41321 1.41321 1.90378e-05 1.90378e-05 
6.82648e-06 4.84468 4.84468 7.61513e-05 7.61513e-05 
7.96523e-06 1.03801 1.03801 1.90378e-05 1.90378e-05 
9.29394e-06 5.33769 5.33769 0.000114227 0.000114227 
1.08443e-05 3.04973 3.04973 7.61513e-05 7.61513e-05 
1.26533e-05 1.96029 1.96029 5.71135e-05 5.71135e-05 
1.4764e-05 3.36008 3.36008 0.000114227 0.000114227 
1.72268e-05 2.8797 2.8797 0.000114227 0.000114227 
2.01005e-05 2.46801 2.46801 0.000114227 0.000114227 
2.34535e-05 4.23034 4.23034 0.000228454 0.000228454 
2.73659e-05 3.62555 3.62555 0.000228454 0.000228454 
3.19309e-05 2.07148 2.07148 0.000152303 0.000152303 
3.72574e-05 2.663 2.663 0.000228454 0.000228454 
4.34724e-05 1.14114 1.14114 0.000114227 0.000114227 
5.07241e-05 2.608 2.608 0.000304605 0.000304605 
5.91856e-05 1.95575 1.95575 0.00026653 0.00026653 
6.90585e-05 2.15505 2.15505 0.000342681 0.000342681 
8.05784e-05 1.2313 1.2313 0.000228454 0.000228454 
9.402e-05 1.93466 1.93466 0.000418832 0.000418832 
0.000109704 1.73344 1.73344 0.00043787 0.00043787 
0.000128004 1.48562 1.48562 0.00043787 0.00043787 
0.000149357 1.66073 1.66073 0.000571135 0.000571135 
0.000174271 1.13864 1.13864 0.000456908 0.000456908 
0.000203342 1.30114 1.30114 0.000609211 0.000609211 
0.000237262 0.940886 0.940886 0.000514021 0.000514021 
0.000276841 0.836238 0.836238 0.000533059 0.000533059 
0.000323021 0.895857 0.895857 0.000666324 0.000666324 
0.000376905 1.18458 1.18458 0.00102804 0.00102804 
0.000439778 0.808419 0.808419 0.000818627 0.000818627 
0.000513139 0.805632 0.805632 0.000951892 0.000951892 
0.000598738 0.731882 0.731882 0.00100901 0.00100901 
0.000698615 0.615414 0.615414 0.000989967 0.000989967 
0.000815153 0.669432 0.669432 0.0012565 0.0012565 
0.000951132 0.46072 0.46072 0.00100901 0.00100901 
0.00110979 0.610905 0.610905 0.0015611 0.0015611 
0.00129492 0.510797 0.510797 0.00152303 0.00152303 
0.00151093 0.519853 0.519853 0.00180859 0.00180859 
0.00176297 0.393944 0.393944 0.00159918 0.00159918 
0.00205706 0.309489 0.309489 0.00146591 0.00146591 
0.00240021 0.375474 0.375474 0.00207512 0.00207512 
0.00280059 0.348364 0.348364 0.00224646 0.00224646 
0.00326777 0.308681 0.308681 0.00232262 0.00232262 
0.00381288 0.342615 0.342615 0.00300798 0.00300798 
0.00444892 0.349386 0.349386 0.00357911 0.00357911 
0.00519106 0.320142 0.320142 0.0038266 0.0038266 
0.00605699 0.339894 0.339894 0.00474042 0.00474042 
0.00706738 0.295981 0.295981 0.00481657 0.00481657 
0.00824631 0.3429 0.3429 0.00651094 0.00651094 
0.00962191 0.322234 0.322234 0.00713919 0.00713919 
0.011227 0.344655 0.344655 0.0089097 0.0089097 
0.0130998 0.314317 0.314317 0.00948084 0.00948084 
0.015285 0.359174 0.359174 0.0126411 0.0126411 
0.0178347 0.355574 0.355574 0.014602 0.014602 
0.0208098 0.332154 0.332154 0.0159156 0.0159156 
0.0242812 0.3194 0.3194 0.0178575 0.0178575 
0.0283316 0.333271 0.333271 0.0217412 0.0217412 
0.0330577 0.340899 0.340899 0.0259486 0.0259486 
0.0385721 0.333747 0.333747 0.0296419 0.0296419 
0.0450065 0.354556 0.354556 0.036743 0.036743 
0.0525141 0.344172 0.344172 0.0416167 0.0416167 
0.0612742 0.34179 0.34179 0.0482228 0.0482228 
0.0714955 0.337218 0.337218 0.0555143 0.0555143 
0.0834219 0.330733 0.330733 0.0635292 0.0635292 
0.0973378 0.322948 0.322948 0.0723818 0.0723818 
0.113575 0.305606 0.305606 0.0799208 0.0799208 
0.132521 0.295855 0.295855 0.0902774 0.0902774 
0.154627 0.29056 0.29056 0.103452 0.103452 
0.180421 0.285864 0.285864 0.118758 0.118758 
0.210518 0.283917 0.283917 0.137624 0.137624 
0.245635 0.279545 0.279545 0.158109 0.158109 
0.28661 0.27163 0.27163 0.17926 0.17926 
0.33442 0.269585 0.269585 0.207589 0.207589 
0.390206 0.262933 0.262933 0.23624 0.23624 
0.455298 0.249113 0.249113 0.261161 0.261161 
0.531247 0.232502 0.232502 0.284406 0.284406 
0.619866 0.21943 0.21943 0.313191 0.313191 
0.723268 0.210431 0.210431 0.350448 0.350448 
0.843919 0.19517 0.19517 0.379253 0.379253 
0.984696 0.184505 0.184505 0.418337 0.418337 
1.14896 0.170087 0.170087 0.449978 0.449978 
1.34062 0.15504 0.15504 0.478592 0.478592 
1.56425 0.143933 0.143933 0.518419 0.518419 
1.82519 0.139998 0.139998 0.588364 0.588364 
2.12965 0.133335 0.133335 0.653835 0.653835 
2.48491 0.124188 0.124188 0.710568 0.710568 
2.89942 0.113283 0.113283 0.756297 0.756297 
3.38309 0.104287 0.104287 0.812382 0.812382 
3.94743 0.0963925 0.0963925 0.87614 0.87614 
4.60591 0.0869613 0.0869613 0.922269 0.922269 
5.37424 0.0742273 0.0742273 0.918537 0.918537 
6.27074 0.0611617 0.0611617 0.883108 0.883108 
7.31678 0.0500854 0.0500854 0.843814 0.843814 
8.53731 0.0360072 0.0360072 0.707827 0.707827 
9.96145 0.0223785 0.0223785 0.513298 0.513298 
11.6232 0.00948146 0.00948146 0.253755 0.253755 
13.5621 0.00404987 0.00404987 0.126468 0.126468 
15.8244 0.00150894 0.00150894 0.0549813 0.0549813 




x=U_x/U_D 	 PDF 	 dV/Vdx
-8.81712 3.30901e-05 3.30901e-05 
-8.66293 4.13626e-05 4.13626e-05 
-8.50874 8.27252e-05 8.27252e-05 
