beadpack_128_12-1-X/processor0	effPorosity= 0.360595 		K_x= 5.98971e-12 m^2 		FF_x= 4.54911 		DarcyVelocity= 2.33973e-05 m/s 		DelP= 1 Pa 		K: 5.98971e-12 m^2 			K=( 5.98971e-12  0  0 ) Pmax-Pmin: 1.0284 Umax= 0.000479396		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.04978e-12/(0.000256*0.000256*0.000256)= 0.360595		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.33973e-05*sqrt(5.98971e-12 )/0.001)= 5.72623e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.86602e-11 161546 161546 1.43805e-05 1.43805e-05 
4.7777e-11 0 0 0 0 
5.90438e-11 0 0 0 0 
7.29674e-11 0 0 0 0 
9.01746e-11 0 0 0 0 
1.11439e-10 0 0 0 0 
1.37719e-10 0 0 0 0 
1.70196e-10 36695.3 36695.3 1.43805e-05 1.43805e-05 
2.10331e-10 0 0 0 0 
2.59932e-10 0 0 0 0 
3.21229e-10 0 0 0 0 
3.9698e-10 0 0 0 0 
4.90596e-10 0 0 0 0 
6.06288e-10 0 0 0 0 
7.49263e-10 0 0 0 0 
9.25954e-10 0 0 0 0 
1.14431e-09 0 0 0 0 
1.41416e-09 0 0 0 0 
1.74765e-09 0 0 0 0 
2.15978e-09 2891.68 2891.68 1.43805e-05 1.43805e-05 
2.6691e-09 2339.89 2339.89 1.43805e-05 1.43805e-05 
3.29852e-09 0 0 0 0 
4.07638e-09 0 0 0 0 
5.03767e-09 0 0 0 0 
6.22564e-09 1003.17 1003.17 1.43805e-05 1.43805e-05 
7.69377e-09 2435.24 2435.24 4.31416e-05 4.31416e-05 
9.50811e-09 0 0 0 0 
1.17503e-08 0 0 0 0 
1.45213e-08 0 0 0 0 
1.79457e-08 0 0 0 0 
2.21776e-08 281.608 281.608 1.43805e-05 1.43805e-05 
2.74075e-08 0 0 0 0 
3.38707e-08 0 0 0 0 
4.18581e-08 298.407 298.407 2.8761e-05 2.8761e-05 
5.17291e-08 120.733 120.733 1.43805e-05 1.43805e-05 
6.39278e-08 0 0 0 0 
7.90032e-08 79.0523 79.0523 1.43805e-05 1.43805e-05 
9.76337e-08 0 0 0 0 
1.20658e-07 51.7612 51.7612 1.43805e-05 1.43805e-05 
1.49111e-07 0 0 0 0 
1.84274e-07 0 0 0 0 
2.2773e-07 27.4245 27.4245 1.43805e-05 1.43805e-05 
2.81433e-07 22.1914 22.1914 1.43805e-05 1.43805e-05 
3.478e-07 35.9136 35.9136 2.8761e-05 2.8761e-05 
4.29818e-07 43.5909 43.5909 4.31416e-05 4.31416e-05 
5.31178e-07 35.2729 35.2729 4.31416e-05 4.31416e-05 
6.5644e-07 9.51402 9.51402 1.43805e-05 1.43805e-05 
8.11241e-07 7.69856 7.69856 1.43805e-05 1.43805e-05 
1.00255e-06 6.22952 6.22952 1.43805e-05 1.43805e-05 
1.23897e-06 10.0816 10.0816 2.8761e-05 2.8761e-05 
1.53114e-06 8.15782 8.15782 2.8761e-05 2.8761e-05 
1.89221e-06 6.60114 6.60114 2.8761e-05 2.8761e-05 
2.33843e-06 10.683 10.683 5.75221e-05 5.75221e-05 
2.88988e-06 2.16112 2.16112 1.43805e-05 1.43805e-05 
