beadpack_128_19-1-Z/processor0	effPorosity= 0.378413 		K_z= 7.43359e-12 m^2 		FF_z= 4.06282 		DarcyVelocity= 2.86163e-05 m/s 		DelP= 0.985496 Pa 		K: 7.43359e-12 m^2 			K=( 0  0  7.43359e-12 ) Pmax-Pmin: 1.03339 Umax= 0.000479023		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.34871e-12/(0.000256*0.000256*0.000256)= 0.378413		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.86163e-05*sqrt(7.43359e-12 )/0.001)= 7.80212e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.96697e-10 13343.7 13343.7 1.5261e-05 1.5261e-05 
6.00705e-10 0 0 0 0 
7.26492e-10 0 0 0 0 
8.7862e-10 0 0 0 0 
1.0626e-09 0 0 0 0 
1.28511e-09 0 0 0 0 
1.55421e-09 0 0 0 0 
1.87966e-09 0 0 0 0 
2.27326e-09 0 0 0 0 
2.74928e-09 2410.72 2410.72 1.5261e-05 1.5261e-05 
3.32498e-09 0 0 0 0 
4.02123e-09 0 0 0 0 
4.86328e-09 2725.64 2725.64 3.0522e-05 3.0522e-05 
5.88165e-09 1126.86 1126.86 1.5261e-05 1.5261e-05 
7.11326e-09 1863.5 1863.5 3.0522e-05 3.0522e-05 
8.60278e-09 770.422 770.422 1.5261e-05 1.5261e-05 
1.04042e-08 637.029 637.029 1.5261e-05 1.5261e-05 
1.25828e-08 526.731 526.731 1.5261e-05 1.5261e-05 
1.52177e-08 871.062 871.062 3.0522e-05 3.0522e-05 
1.84042e-08 360.122 360.122 1.5261e-05 1.5261e-05 
2.22581e-08 297.769 297.769 1.5261e-05 1.5261e-05 
2.69189e-08 492.425 492.425 3.0522e-05 3.0522e-05 
3.25557e-08 814.329 814.329 6.1044e-05 6.1044e-05 
3.93729e-08 336.667 336.667 3.0522e-05 3.0522e-05 
4.76175e-08 278.375 278.375 3.0522e-05 3.0522e-05 
5.75886e-08 230.176 230.176 3.0522e-05 3.0522e-05 
6.96477e-08 190.323 190.323 3.0522e-05 3.0522e-05 
8.42319e-08 236.054 236.054 4.5783e-05 4.5783e-05 
1.0187e-07 260.244 260.244 6.1044e-05 6.1044e-05 
1.23202e-07 0 0 0 0 
1.49e-07 44.4817 44.4817 1.5261e-05 1.5261e-05 
1.802e-07 110.34 110.34 4.5783e-05 4.5783e-05 
2.17934e-07 0 0 0 0 
2.6357e-07 50.2924 50.2924 3.0522e-05 3.0522e-05 
3.18761e-07 103.961 103.961 7.6305e-05 7.6305e-05 
3.85509e-07 34.3845 34.3845 3.0522e-05 3.0522e-05 
4.66235e-07 0 0 0 0 
5.63864e-07 35.2626 35.2626 4.5783e-05 4.5783e-05 
6.81937e-07 0 0 0 0 
8.24735e-07 32.145 32.145 6.1044e-05 6.1044e-05 
9.97434e-07 6.64482 6.64482 1.5261e-05 1.5261e-05 
1.2063e-06 21.9773 21.9773 6.1044e-05 6.1044e-05 
1.45889e-06 0 0 0 0 
1.76439e-06 7.51284 7.51284 3.0522e-05 3.0522e-05 
2.13385e-06 15.5301 15.5301 7.6305e-05 7.6305e-05 
2.58067e-06 7.7047 7.7047 4.5783e-05 4.5783e-05 
3.12107e-06 12.7414 12.7414 9.1566e-05 9.1566e-05 
3.77462e-06 0 0 0 0 
4.56502e-06 7.2593 7.2593 7.6305e-05 7.6305e-05 
5.52093e-06 4.80192 4.80192 6.1044e-05 6.1044e-05 
6.67701e-06 5.95575 5.95575 9.1566e-05 9.1566e-05 
8.07518e-06 3.28303 3.28303 6.1044e-05 6.1044e-05 
9.76611e-06 4.75055 4.75055 0.000106827 0.000106827 
1.18111e-05 2.80573 2.80573 7.6305e-05 7.6305e-05 
1.42844e-05 6.49582 6.49582 0.000213654 0.000213654 
1.72755e-05 4.60381 4.60381 0.000183132 0.000183132 
2.0893e-05 3.48947 3.48947 0.000167871 0.000167871 
2.5268e-05 2.36069 2.36069 0.000137349 0.000137349 
3.05591e-05 1.73507 1.73507 0.000122088 0.000122088 
3.69582e-05 3.04864 3.04864 0.000259437 0.000259437 
4.46972e-05 2.07594 2.07594 0.000213654 0.000213654 
5.40568e-05 1.47129 1.47129 0.000183132 0.000183132 
6.53762e-05 1.21655 1.21655 0.000183132 0.000183132 
7.9066e-05 1.25739 1.25739 0.000228915 0.000228915 
9.56224e-05 1.66349 1.66349 0.000366264 0.000366264 
0.000115646 1.14622 1.14622 0.00030522 0.00030522 
0.000139862 1.51642 1.51642 0.000488352 0.000488352 
0.000169149 1.01876 1.01876 0.000396786 0.000396786 
0.000204569 0.874767 0.874767 0.000412047 0.000412047 
0.000247405 0.910831 0.910831 0.000518874 0.000518874 
0.000299212 0.797428 0.797428 0.000549396 0.000549396 
0.000361866 0.769251 0.769251 0.000640962 0.000640962 
0.000437641 0.908658 0.908658 0.00091566 0.00091566 
0.000529283 0.688719 0.688719 0.000839355 0.000839355 
0.000640115 0.64195 0.64195 0.000946182 0.000946182 
0.000774154 0.530801 0.530801 0.000946182 0.000946182 
0.000936262 0.559238 0.559238 0.00120562 0.00120562 
0.00113231 0.556063 0.556063 0.0014498 0.0014498 
0.00136942 0.522702 0.522702 0.00164819 0.00164819 
0.00165618 0.472218 0.472218 0.0018008 0.0018008 
0.00200298 0.393766 0.393766 0.00181606 0.00181606 
0.0024224 0.366628 0.366628 0.00204497 0.00204497 
0.00292965 0.377805 0.377805 0.00254859 0.00254859 
0.00354312 0.349802 0.349802 0.00285381 0.00285381 
0.00428505 0.330998 0.330998 0.00326585 0.00326585 
0.00518234 0.32996 0.32996 0.00393734 0.00393734 
0.00626752 0.302439 0.302439 0.00436465 0.00436465 
0.00757993 0.331391 0.331391 0.00578392 0.00578392 
0.00916717 0.304379 0.304379 0.00642488 0.00642488 
0.0110868 0.298904 0.298904 0.0076305 0.0076305 
0.0134083 0.277798 0.277798 0.00857668 0.00857668 
0.016216 0.279562 0.279562 0.0104385 0.0104385 
0.0196117 0.278809 0.278809 0.0125903 0.0125903 
0.0237183 0.275804 0.275804 0.0150626 0.0150626 
0.0286849 0.277034 0.277034 0.0182979 0.0182979 
0.0346916 0.272435 0.272435 0.0217622 0.0217622 
0.041956 0.264125 0.264125 0.0255164 0.0255164 
0.0507415 0.26202 0.26202 0.0306136 0.0306136 
0.0613668 0.27357 0.27357 0.0386561 0.0386561 
0.074217 0.264068 0.264068 0.0451268 0.0451268 
0.089758 0.271364 0.271364 0.0560842 0.0560842 
0.108553 0.26553 0.26553 0.0663701 0.0663701 
0.131284 0.262719 0.262719 0.0794183 0.0794183 
0.158775 0.264526 0.264526 0.096709 0.096709 
0.192023 0.265149 0.265149 0.117235 0.117235 
0.232232 0.257283 0.257283 0.137578 0.137578 
0.280861 0.25198 0.25198 0.162957 0.162957 
0.339674 0.253444 0.253444 0.198225 0.198225 
0.410801 0.24441 0.24441 0.231189 0.231189 
0.496823 0.236684 0.236684 0.270761 0.270761 
0.600857 0.223909 0.223909 0.309783 0.309783 
0.726676 0.207586 0.207586 0.34734 0.34734 
0.878842 0.193831 0.193831 0.392238 0.392238 
1.06287 0.176745 0.176745 0.432558 0.432558 
1.28544 0.156832 0.156832 0.464194 0.464194 
1.55461 0.146394 0.146394 0.524032 0.524032 
1.88014 0.141718 0.141718 0.613523 0.613523 
2.27384 0.136287 0.136287 0.713559 0.713559 
2.74998 0.129577 0.129577 0.820493 0.820493 
3.32583 0.119408 0.119408 0.914424 0.914424 
4.02225 0.105565 0.105565 0.977696 0.977696 
4.86451 0.0884913 0.0884913 0.991187 0.991187 
5.88314 0.0673419 0.0673419 0.912242 0.912242 
7.11506 0.0453004 0.0453004 0.742158 0.742158 
8.60495 0.0283413 0.0283413 0.561544 0.561544 
10.4068 0.0171305 0.0171305 0.41049 0.41049 
12.586 0.00781155 0.00781155 0.226382 0.226382 
15.2215 0.00160714 0.00160714 0.0563284 0.0563284 




x=U_x/U_D 	 PDF 	 dV/Vdx
-8.96092 8.75133e-05 8.75133e-05 
-8.83133 0.000408395 0.000408395 
-8.70174 0.000398672 0.000398672 
-8.57215 0.000602869 0.000602869 
-8.44256 0.000583422 0.000583422 
-8.31297 0.000680659 0.000680659 
-8.18338 0.000748725 0.000748725 
-8.05379 0.000651488 0.000651488 
-7.9242 0.000933475 0.000933475 
-7.79461 0.000943199 0.000943199 
-7.66502 0.00078762 0.00078762 
-7.53543 0.000826515 0.000826515 
-7.40584 0.0011474 0.0011474 
-7.27625 0.00103071 0.00103071 
-7.14666 0.00089458 0.00089458 
-7.01706 0.00128353 0.00128353 
-6.88747 0.00119602 0.00119602 
-6.75788 0.00122519 0.00122519 
-6.62829 0.00176971 0.00176971 
-6.4987 0.0020517 0.0020517 
-6.36911 0.00207115 0.00207115 
-6.23952 0.002217 0.002217 
-6.10993 0.00251844 0.00251844 
-5.98034 0.00287822 0.00287822 
-5.85075 0.00344219 0.00344219 
-5.72116 0.00355887 0.00355887 
-5.59157 0.00445346 0.00445346 
-5.46198 0.00431732 0.00431732 
-5.33239 0.00507577 0.00507577 
-5.2028 0.00540638 0.00540638 
-5.07321 0.00581477 0.00581477 
-4.94362 0.00603842 0.00603842 
-4.81403 0.00665101 0.00665101 
-4.68444 0.0075067 0.0075067 
-4.55485 0.00892636 0.00892636 
-4.42526 0.00997652 0.00997652 
-4.29567 0.0113476 0.0113476 
-4.16608 0.0131756 0.0131756 
-4.03649 0.0134868 0.0134868 
-3.9069 0.0153343 0.0153343 
-3.77731 0.0164622 0.0164622 
-3.64771 0.0175902 0.0175902 
-3.51812 0.0200114 0.0200114 
-3.38853 0.0209935 0.0209935 
-3.25894 0.0232008 0.0232008 
-3.12935 0.0248441 0.0248441 
-2.99976 0.0279556 0.0279556 
-2.87017 0.0304157 0.0304157 
-2.74058 0.0340718 0.0340718 
-2.61099 0.0360458 0.0360458 
-2.4814 0.0403534 0.0403534 
-2.35181 0.0460806 0.0460806 
-2.22222 0.0499312 0.0499312 
-2.09263 0.0536554 0.0536554 
-1.96304 0.0587603 0.0587603 
-1.83345 0.0656447 0.0656447 
-1.70386 0.0767006 0.0767006 
-1.57427 0.0855588 0.0855588 
-1.44468 0.0928419 0.0928419 
-1.31509 0.103392 0.103392 
-1.1855 0.120078 0.120078 
-1.05591 0.133361 0.133361 
-0.926317 0.155307 0.155307 
-0.796726 0.176544 0.176544 
-0.667136 0.205549 0.205549 
-0.537546 0.237569 0.237569 
-0.407955 0.281287 0.281287 
-0.278365 0.339766 0.339766 
-0.148775 0.45292 0.45292 
-0.0191841 0.707496 0.707496 
0.110406 0.952806 0.952806 
0.239997 0.435272 0.435272 
0.369587 0.321728 0.321728 
0.499177 0.259137 0.259137 
0.628768 0.211364 0.211364 
0.758358 0.181337 0.181337 
0.887949 0.155472 0.155472 
1.01754 0.137357 0.137357 
1.14713 0.118289 0.118289 
1.27672 0.10205 0.10205 
1.40631 0.0906152 0.0906152 
1.5359 0.08024 0.08024 
1.66549 0.0714498 0.0714498 
1.79508 0.063768 0.063768 
1.92467 0.0585853 0.0585853 
2.05426 0.0520704 0.0520704 
2.18385 0.0479087 0.0479087 
2.31344 0.0418119 0.0418119 
2.44303 0.0382433 0.0382433 
2.57262 0.0365806 0.0365806 
2.70221 0.0311353 0.0311353 
2.8318 0.0301337 0.0301337 
2.96139 0.0270513 0.0270513 
3.09098 0.0241342 0.0241342 
3.22058 0.0234049 0.0234049 
3.35017 0.0217616 0.0217616 
3.47976 0.0205073 0.0205073 
3.60935 0.0188834 0.0188834 
3.73894 0.0175221 0.0175221 
3.86853 0.0167442 0.0167442 
3.99812 0.0163261 0.0163261 
4.12771 0.0149842 0.0149842 
4.2573 0.0138757 0.0138757 
4.38689 0.0130006 0.0130006 
4.51648 0.0115129 0.0115129 
4.64607 0.0108905 0.0108905 
4.77566 0.00950006 0.00950006 
4.90525 0.00858603 0.00858603 
5.03484 0.00728305 0.00728305 
5.16443 0.00654405 0.00654405 
5.29402 0.00515356 0.00515356 
5.42361 0.00439511 0.00439511 
5.5532 0.00347136 0.00347136 
5.68279 0.0029949 0.0029949 
5.81238 0.00256706 0.00256706 
5.94197 0.00206142 0.00206142 
6.07156 0.00175999 0.00175999 
6.20115 0.00137104 0.00137104 
6.33074 0.00118629 0.00118629 
6.46033 0.00108905 0.00108905 
6.58993 0.00100154 0.00100154 
6.71952 0.000777896 0.000777896 
6.84911 0.000641764 0.000641764 
6.9787 0.000466738 0.000466738 
7.10829 0.000359777 0.000359777 
7.23788 0.00018475 0.00018475 
7.36747 0.000243093 0.000243093 
7.49706 0.000194474 0.000194474 




x=U_y/U_D 	 PDF 	 dV/Vdx
-10.4631 2.61259e-05 2.61259e-05 
-10.3184 0.000121921 0.000121921 
-10.1737 0.000104504 0.000104504 
-10.029 0.000182881 0.000182881 
-9.88431 0.000174173 0.000174173 
-9.73962 0.000278676 0.000278676 
-9.59492 0.000269967 0.000269967 
-9.45023 0.00025255 0.00025255 
-9.30553 0.000365762 0.000365762 
-9.16084 0.000374471 0.000374471 
-9.01614 0.000435431 0.000435431 
