beadpack_128_20-1-Z/processor0	effPorosity= 0.384325 		K_z= 8.69253e-12 m^2 		FF_z= 4.07012 		DarcyVelocity= 3.39464e-05 m/s 		DelP= 0.999742 Pa 		K: 8.69253e-12 m^2 			K=( 0  0  8.69253e-12 ) Pmax-Pmin: 1.05044 Umax= 0.00071656		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.4479e-12/(0.000256*0.000256*0.000256)= 0.384325		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.39464e-05*sqrt(8.69253e-12 )/0.001)= 0.000100085


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
8.1947e-09 890.843 890.843 1.68093e-05 1.68093e-05 
9.7128e-09 0 0 0 0 
1.15121e-08 0 0 0 0 
1.36448e-08 0 0 0 0 
1.61725e-08 0 0 0 0 
1.91685e-08 0 0 0 0 
2.27196e-08 0 0 0 0 
2.69284e-08 0 0 0 0 
3.1917e-08 0 0 0 0 
3.78298e-08 0 0 0 0 
4.48379e-08 0 0 0 0 
5.31442e-08 0 0 0 0 
6.29894e-08 0 0 0 0 
7.46583e-08 0 0 0 0 
8.84891e-08 0 0 0 0 
1.04882e-07 0 0 0 0 
1.24312e-07 0 0 0 0 
1.47341e-07 49.5463 49.5463 1.68093e-05 1.68093e-05 
1.74636e-07 0 0 0 0 
2.06988e-07 35.2686 35.2686 1.68093e-05 1.68093e-05 
2.45333e-07 29.7562 29.7562 1.68093e-05 1.68093e-05 
2.90782e-07 50.2107 50.2107 3.36186e-05 3.36186e-05 
3.44651e-07 0 0 0 0 
4.08498e-07 17.8708 17.8708 1.68093e-05 1.68093e-05 
4.84174e-07 0 0 0 0 
5.73869e-07 0 0 0 0 
6.8018e-07 10.7327 10.7327 1.68093e-05 1.68093e-05 
8.06185e-07 0 0 0 0 
9.55534e-07 15.2798 15.2798 3.36186e-05 3.36186e-05 
1.13255e-06 6.4458 6.4458 1.68093e-05 1.68093e-05 
1.34236e-06 10.8767 10.8767 3.36186e-05 3.36186e-05 
1.59103e-06 18.3533 18.3533 6.72372e-05 6.72372e-05 
1.88578e-06 7.74236 7.74236 3.36186e-05 3.36186e-05 
2.23513e-06 6.53224 6.53224 3.36186e-05 3.36186e-05 
2.64919e-06 5.51126 5.51126 3.36186e-05 3.36186e-05 
3.13996e-06 6.97479 6.97479 5.04279e-05 5.04279e-05 
3.72165e-06 1.96155 1.96155 1.68093e-05 1.68093e-05 
4.4111e-06 1.65496 1.65496 1.68093e-05 1.68093e-05 
5.22827e-06 4.18888 4.18888 5.04279e-05 5.04279e-05 
6.19682e-06 3.53416 3.53416 5.04279e-05 5.04279e-05 
7.3448e-06 6.95748 6.95748 0.000117665 0.000117665 
8.70545e-06 5.87004 5.87004 0.000117665 0.000117665 
1.03182e-05 4.24505 4.24505 0.000100856 0.000100856 
1.22296e-05 4.77541 4.77541 0.000134474 0.000134474 
1.44952e-05 5.5399 5.5399 0.000184902 0.000184902 
1.71805e-05 4.24911 4.24911 0.000168093 0.000168093 
2.03633e-05 4.30198 4.30198 0.000201712 0.000201712 
2.41356e-05 3.93205 3.93205 0.000218521 0.000218521 
2.86068e-05 1.78633 1.78633 0.000117665 0.000117665 
3.39063e-05 4.09079 4.09079 0.000319377 0.000319377 
4.01876e-05 3.26975 3.26975 0.000302568 0.000302568 
4.76325e-05 2.75869 2.75869 0.000302568 0.000302568 
5.64565e-05 2.19821 2.19821 0.000285758 0.000285758 
6.69153e-05 2.07282 2.07282 0.000319377 0.000319377 
7.93116e-05 2.39315 2.39315 0.000437042 0.000437042 
9.40043e-05 2.64037 2.64037 0.000571516 0.000571516 
0.000111419 1.76904 1.76904 0.000453851 0.000453851 
0.00013206 2.04534 2.04534 0.000621944 0.000621944 
0.000156524 2.14541 2.14541 0.000773228 0.000773228 
0.000185521 2.08553 2.08553 0.000890893 0.000890893 
0.000219889 2.32396 2.32396 0.00117665 0.00117665 
0.000260624 1.90471 1.90471 0.00114303 0.00114303 
0.000308906 1.607 1.607 0.00114303 0.00114303 
0.000366132 1.81442 1.81442 0.00152965 0.00152965 
0.000433959 1.7327 1.7327 0.00173136 0.00173136 
0.000514351 1.31995 1.31995 0.00156327 0.00156327 
0.000609636 1.32919 1.32919 0.00186583 0.00186583 
0.000722573 1.14164 1.14164 0.00189945 0.00189945 
0.000856433 1.19335 1.19335 0.0023533 0.0023533 
0.00101509 1.05718 1.05718 0.00247097 0.00247097 
0.00120314 0.97082 0.97082 0.00268949 0.00268949 
0.00142602 0.860036 0.860036 0.00282396 0.00282396 
0.0016902 0.859507 0.859507 0.00334505 0.00334505 
0.00200331 0.834489 0.834489 0.00384933 0.00384933 
0.00237443 0.707134 0.707134 0.00386614 0.00386614 
0.00281431 0.635519 0.635519 0.00411828 0.00411828 
0.00333567 0.704705 0.704705 0.0054126 0.0054126 
0.00395361 0.649955 0.649955 0.00591688 0.00591688 
0.00468603 0.648071 0.648071 0.00699267 0.00699267 
0.00555413 0.608554 0.608554 0.00778271 0.00778271 
0.00658305 0.587737 0.587737 0.00890893 0.00890893 
0.00780258 0.585693 0.585693 0.0105226 0.0105226 
0.00924804 0.585718 0.585718 0.0124725 0.0124725 
0.0109613 0.550781 0.550781 0.0139013 0.0139013 
0.0129919 0.510209 0.510209 0.0152629 0.0152629 
0.0153987 0.499679 0.499679 0.017717 0.017717 
0.0182513 0.473578 0.473578 0.0199022 0.0199022 
0.0216324 0.474813 0.474813 0.0236507 0.0236507 
0.0256399 0.470926 0.470926 0.0278026 0.0278026 
0.0303898 0.469146 0.469146 0.0328286 0.0328286 
0.0360196 0.435746 0.435746 0.03614 0.03614 
