beadpack_128_47-1-X/processor0	effPorosity= 0.387702 		K_x= 6.3855e-12 m^2 		FF_x= 4.45727 		DarcyVelocity= 2.49434e-05 m/s 		DelP= 1 Pa 		K: 6.3855e-12 m^2 			K=( 6.3855e-12  0  0 ) Pmax-Pmin: 1.06846 Umax= 0.000858249		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.50455e-12/(0.000256*0.000256*0.000256)= 0.387702		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.49434e-05*sqrt(6.3855e-12 )/0.001)= 6.30308e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
1.06223e-11 1.53743e+06 1.53743e+06 3.76038e-05 3.76038e-05 
1.3315e-11 817680 817680 2.50692e-05 2.50692e-05 
1.66902e-11 652322 652322 2.50692e-05 2.50692e-05 
2.0921e-11 520405 520405 2.50692e-05 2.50692e-05 
2.62243e-11 207582 207582 1.25346e-05 1.25346e-05 
3.2872e-11 331207 331207 2.50692e-05 2.50692e-05 
4.12047e-11 264227 264227 2.50692e-05 2.50692e-05 
5.16497e-11 737777 737777 8.77422e-05 8.77422e-05 
6.47424e-11 252248 252248 3.76038e-05 3.76038e-05 
8.1154e-11 67078.7 67078.7 1.25346e-05 1.25346e-05 
1.01726e-10 160541 160541 3.76038e-05 3.76038e-05 
1.27512e-10 298841 298841 8.77422e-05 8.77422e-05 
1.59835e-10 68116.4 68116.4 2.50692e-05 2.50692e-05 
2.00352e-10 81512 81512 3.76038e-05 3.76038e-05 
2.5114e-10 65028 65028 3.76038e-05 3.76038e-05 
3.14801e-10 69170.1 69170.1 5.01384e-05 5.01384e-05 
3.946e-10 27591 27591 2.50692e-05 2.50692e-05 
4.94628e-10 22011.3 22011.3 2.50692e-05 2.50692e-05 
6.20011e-10 26340 26340 3.76038e-05 3.76038e-05 
7.77178e-10 42026.7 42026.7 7.52076e-05 7.52076e-05 
9.74186e-10 11175.9 11175.9 2.50692e-05 2.50692e-05 
1.22113e-09 13373.7 13373.7 3.76038e-05 3.76038e-05 
1.53068e-09 7112.8 7112.8 2.50692e-05 2.50692e-05 
1.91869e-09 11348.8 11348.8 5.01384e-05 5.01384e-05 
2.40506e-09 11317.2 11317.2 6.2673e-05 6.2673e-05 
3.01472e-09 12640 12640 8.77422e-05 8.77422e-05 
3.77892e-09 1440.54 1440.54 1.25346e-05 1.25346e-05 
