beadpack_128_47-1-Y/processor0	effPorosity= 0.387702 		K_y= 5.15745e-12 m^2 		FF_y= 4.55427 		DarcyVelocity= 2.01463e-05 m/s 		DelP= 1 Pa 		K: 5.15745e-12 m^2 			K=( 0  5.15745e-12  0 ) Pmax-Pmin: 1.10472 Umax= 0.000501122		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.50455e-12/(0.000256*0.000256*0.000256)= 0.387702		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.01463e-05*sqrt(5.15745e-12 )/0.001)= 4.57523e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.52071e-11 256627 256627 2.67131e-05 2.67131e-05 
5.58843e-11 207596 207596 2.67131e-05 2.67131e-05 
6.90832e-11 167933 167933 2.67131e-05 2.67131e-05 
8.53994e-11 135848 135848 2.67131e-05 2.67131e-05 
1.05569e-10 219787 219787 5.34262e-05 5.34262e-05 
1.30503e-10 0 0 0 0 
1.61325e-10 107869 107869 4.00697e-05 4.00697e-05 
1.99428e-10 29086.6 29086.6 1.33566e-05 1.33566e-05 
2.46529e-10 141176 141176 8.01394e-05 8.01394e-05 
3.04755e-10 38067.8 38067.8 2.67131e-05 2.67131e-05 
3.76733e-10 107781 107781 9.34959e-05 9.34959e-05 
4.65711e-10 74733.2 74733.2 8.01394e-05 8.01394e-05 
5.75704e-10 60454.9 60454.9 8.01394e-05 8.01394e-05 
7.11675e-10 32603 32603 5.34262e-05 5.34262e-05 
8.7976e-10 52747.8 52747.8 0.000106852 0.000106852 
1.08754e-09 26668.7 26668.7 6.67828e-05 6.67828e-05 
1.3444e-09 17258.7 17258.7 5.34262e-05 5.34262e-05 
1.66193e-09 17451.7 17451.7 6.67828e-05 6.67828e-05 
2.05445e-09 11293.9 11293.9 5.34262e-05 5.34262e-05 
2.53967e-09 18272.2 18272.2 0.000106852 0.000106852 
3.1395e-09 3695.29 3695.29 2.67131e-05 2.67131e-05 
3.881e-09 1494.64 1494.64 1.33566e-05 1.33566e-05 
4.79762e-09 7254.45 7254.45 8.01394e-05 8.01394e-05 
5.93073e-09 7824.57 7824.57 0.000106852 0.000106852 
7.33147e-09 4747.22 4747.22 8.01394e-05 8.01394e-05 
9.06304e-09 2560.15 2560.15 5.34262e-05 5.34262e-05 
1.12036e-08 4142.02 4142.02 0.000106852 0.000106852 
1.38497e-08 3350.66 3350.66 0.000106852 0.000106852 
1.71207e-08 3388.11 3388.11 0.000133566 0.000133566 
2.11643e-08 1918.55 1918.55 9.34959e-05 9.34959e-05 
2.6163e-08 665.14 665.14 4.00697e-05 4.00697e-05 
3.23422e-08 1614.18 1614.18 0.000120209 0.000120209 
3.99809e-08 580.345 580.345 5.34262e-05 5.34262e-05 
4.94237e-08 469.466 469.466 5.34262e-05 5.34262e-05 
6.10967e-08 854.483 854.483 0.000120209 0.000120209 
7.55267e-08 384.015 384.015 6.67828e-05 6.67828e-05 
9.33648e-08 310.646 310.646 6.67828e-05 6.67828e-05 
1.15416e-07 150.777 150.777 4.00697e-05 4.00697e-05 
1.42675e-07 162.626 162.626 5.34262e-05 5.34262e-05 
1.76373e-07 98.6663 98.6663 4.00697e-05 4.00697e-05 
2.18029e-07 186.236 186.236 9.34959e-05 9.34959e-05 
2.69524e-07 86.0879 86.0879 5.34262e-05 5.34262e-05 
3.3318e-07 156.69 156.69 0.000120209 0.000120209 
4.11872e-07 70.4185 70.4185 6.67828e-05 6.67828e-05 
5.09149e-07 79.7503 79.7503 9.34959e-05 9.34959e-05 
6.29401e-07 64.5134 64.5134 9.34959e-05 9.34959e-05 
7.78054e-07 74.5537 74.5537 0.000133566 0.000133566 
9.61818e-07 42.2167 42.2167 9.34959e-05 9.34959e-05 
1.18898e-06 43.9082 43.9082 0.000120209 0.000120209 
1.4698e-06 51.3055 51.3055 0.000173635 0.000173635 
1.81694e-06 41.5032 41.5032 0.000173635 0.000173635 
2.24607e-06 36.1563 36.1563 0.000186992 0.000186992 
2.77655e-06 27.1592 27.1592 0.000173635 0.000173635 
3.43233e-06 27.0402 27.0402 0.000213705 0.000213705 
4.24298e-06 25.9753 25.9753 0.000253775 0.000253775 
5.2451e-06 21.0125 21.0125 0.000253775 0.000253775 
6.48391e-06 17.8925 17.8925 0.000267131 0.000267131 
8.01529e-06 10.1318 10.1318 0.000186992 0.000186992 
9.90837e-06 10.5378 10.5378 0.000240418 0.000240418 
1.22486e-05 10.4188 10.4188 0.000293844 0.000293844 
1.51415e-05 9.19439 9.19439 0.000320557 0.000320557 
1.87176e-05 5.8882 5.8882 0.000253775 0.000253775 
2.31384e-05 5.5153 5.5153 0.000293844 0.000293844 
2.86033e-05 6.69233 6.69233 0.000440767 0.000440767 
3.53589e-05 4.26534 4.26534 0.000347271 0.000347271 
4.371e-05 4.37937 4.37937 0.000440767 0.000440767 
5.40336e-05 3.32795 3.32795 0.000414053 0.000414053 
6.67953e-05 3.30002 3.30002 0.000507549 0.000507549 
8.25713e-05 2.95053 2.95053 0.000560976 0.000560976 
0.000102073 2.72778 2.72778 0.000641115 0.000641115 
0.000126181 2.3905 2.3905 0.000694541 0.000694541 
0.000155983 2.00815 2.00815 0.000721254 0.000721254 
0.000192823 2.07572 2.07572 0.000921603 0.000921603 
0.000238365 1.75214 1.75214 0.000961672 0.000961672 
0.000294663 1.43707 1.43707 0.000975029 0.000975029 
0.000364257 1.36952 1.36952 0.00114866 0.00114866 
0.000450288 1.41704 1.41704 0.00146922 0.00146922 
0.000556638 1.20883 1.20883 0.00154936 0.00154936 
0.000688106 1.34036 1.34036 0.00212369 0.00212369 
0.000850625 1.00926 1.00926 0.00197677 0.00197677 
0.00105153 0.987441 0.987441 0.00239082 0.00239082 
0.00129988 0.950506 0.950506 0.00284495 0.00284495 
0.00160689 0.851931 0.851931 0.00315215 0.00315215 
0.00198641 0.762168 0.762168 0.00348606 0.00348606 
0.00245557 0.763009 0.763009 0.00431417 0.00431417 
