beadpack_128_48-1-Z/processor0	effPorosity= 0.373543 		K_z= 5.61649e-12 m^2 		FF_z= 4.56491 		DarcyVelocity= 2.14288e-05 m/s 		DelP= 0.976725 Pa 		K: 5.61649e-12 m^2 			K=( 0  0  5.61649e-12 ) Pmax-Pmin: 1.05721 Umax= 0.000589632		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.26701e-12/(0.000256*0.000256*0.000256)= 0.373543		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.14288e-05*sqrt(5.61649e-12 )/0.001)= 5.07843e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.13993e-10 20572.2 20572.2 1.48736e-05 1.48736e-05 
3.826e-10 33766.5 33766.5 2.97473e-05 2.97473e-05 
4.66197e-10 27711.6 27711.6 2.97473e-05 2.97473e-05 
5.6806e-10 0 0 0 0 
6.9218e-10 0 0 0 0 
8.4342e-10 45952.4 45952.4 8.92418e-05 8.92418e-05 
1.02771e-09 12570.8 12570.8 2.97473e-05 2.97473e-05 
1.25226e-09 15474.9 15474.9 4.46209e-05 4.46209e-05 
1.52587e-09 4233.34 4233.34 1.48736e-05 1.48736e-05 
1.85927e-09 17371.1 17371.1 7.43681e-05 7.43681e-05 
2.26552e-09 5702.47 5702.47 2.97473e-05 2.97473e-05 
2.76053e-09 7019.88 7019.88 4.46209e-05 4.46209e-05 
3.3637e-09 9601.82 9601.82 7.43681e-05 7.43681e-05 
4.09867e-09 1576.01 1576.01 1.48736e-05 1.48736e-05 
4.99422e-09 5173.61 5173.61 5.94945e-05 5.94945e-05 
6.08544e-09 5307.37 5307.37 7.43681e-05 7.43681e-05 
7.4151e-09 3484.53 3484.53 5.94945e-05 5.94945e-05 
9.03528e-09 3574.62 3574.62 7.43681e-05 7.43681e-05 
1.10095e-08 2933.63 2933.63 7.43681e-05 7.43681e-05 
1.3415e-08 963.03 963.03 2.97473e-05 2.97473e-05 
1.63462e-08 2766.2 2766.2 0.000104115 0.000104115 
1.99178e-08 648.62 648.62 2.97473e-05 2.97473e-05 
2.42698e-08 1064.62 1064.62 5.94945e-05 5.94945e-05 
2.95727e-08 1310.57 1310.57 8.92418e-05 8.92418e-05 
3.60342e-08 717.044 717.044 5.94945e-05 5.94945e-05 
4.39077e-08 882.698 882.698 8.92418e-05 8.92418e-05 
5.35014e-08 845.151 845.151 0.000104115 0.000104115 
6.51913e-08 297.257 297.257 4.46209e-05 4.46209e-05 
7.94355e-08 243.954 243.954 4.46209e-05 4.46209e-05 
9.6792e-08 400.417 400.417 8.92418e-05 8.92418e-05 
1.17941e-07 273.846 273.846 7.43681e-05 7.43681e-05 
1.43711e-07 314.637 314.637 0.000104115 0.000104115 
1.75111e-07 258.217 258.217 0.000104115 0.000104115 
2.13373e-07 363.282 363.282 0.000178484 0.000178484 
2.59994e-07 173.914 173.914 0.000104115 0.000104115 
3.16802e-07 224.288 224.288 0.00016361 0.00016361 
3.86023e-07 100.401 100.401 8.92418e-05 8.92418e-05 
4.70368e-07 151.062 151.062 0.00016361 0.00016361 
5.73143e-07 146.515 146.515 0.000193357 0.000193357 
6.98373e-07 92.494 92.494 0.000148736 0.000148736 
8.50967e-07 53.1357 53.1357 0.000104115 0.000104115 
1.0369e-06 74.7558 74.7558 0.000178484 0.000178484 
1.26346e-06 66.4634 66.4634 0.000193357 0.000193357 
1.53953e-06 58.7411 58.7411 0.000208231 0.000208231 
1.87591e-06 48.2078 48.2078 0.000208231 0.000208231 
2.28579e-06 28.2595 28.2595 0.000148736 0.000148736 
2.78523e-06 44.065 44.065 0.000282599 0.000282599 
3.3938e-06 20.9367 20.9367 0.00016361 0.00016361 
4.13534e-06 18.7444 18.7444 0.000178484 0.000178484 
5.0389e-06 25.6387 25.6387 0.000297473 0.000297473 
6.13989e-06 25.2494 25.2494 0.000356967 0.000356967 
7.48144e-06 15.5413 15.5413 0.000267725 0.000267725 
9.11613e-06 12.7545 12.7545 0.000267725 0.000267725 
1.1108e-05 13.9565 13.9565 0.000356967 0.000356967 
1.35351e-05 12.8856 12.8856 0.000401588 0.000401588 
1.64924e-05 9.4 9.4 0.000356967 0.000356967 
2.0096e-05 6.75011 6.75011 0.000312346 0.000312346 
2.44869e-05 8.44144 8.44144 0.000475956 0.000475956 
2.98373e-05 4.76283 4.76283 0.00032722 0.00032722 
3.63567e-05 6.21849 6.21849 0.000520577 0.000520577 
4.43005e-05 3.20786 3.20786 0.00032722 0.00032722 
5.39801e-05 3.94895 3.94895 0.00049083 0.00049083 
6.57746e-05 4.51752 4.51752 0.000684187 0.000684187 
8.01463e-05 3.06268 3.06268 0.000565198 0.000565198 
9.76581e-05 3.04264 3.04264 0.000684187 0.000684187 
0.000118996 2.82274 2.82274 0.000773429 0.000773429 
0.000144997 2.94027 2.94027 0.000981659 0.000981659 
0.000176678 2.70552 2.70552 0.00110065 0.00110065 
0.000215282 2.19037 2.19037 0.00108577 0.00108577 
0.00026232 1.45285 1.45285 0.000877544 0.000877544 
0.000319637 1.94006 1.94006 0.00142787 0.00142787 
0.000389477 1.49266 1.49266 0.00133863 0.00133863 
0.000474577 1.48361 1.48361 0.00162123 0.00162123 
0.000578271 1.41864 1.41864 0.00188895 0.00188895 
0.000704622 1.27426 1.27426 0.00206743 0.00206743 
0.000858581 1.08338 1.08338 0.0021418 0.0021418 
0.00104618 1.12992 1.12992 0.00272187 0.00272187 
0.00127477 0.947572 0.947572 0.00278137 0.00278137 
0.0015533 0.806766 0.806766 0.00288548 0.00288548 
0.00189269 0.795201 0.795201 0.00346555 0.00346555 
0.00230624 0.618997 0.618997 0.00328707 0.00328707 
0.00281015 0.590751 0.590751 0.00382252 0.00382252 
0.00342417 0.548958 0.548958 0.00432823 0.00432823 
0.00417234 0.574375 0.574375 0.00551812 0.00551812 
0.00508399 0.519661 0.519661 0.00608331 0.00608331 
0.00619483 0.440032 0.440032 0.00627667 0.00627667 
0.00754839 0.445846 0.445846 0.00774916 0.00774916 
0.00919769 0.404524 0.404524 0.00856721 0.00856721 
0.0112074 0.383859 0.383859 0.00990583 0.00990583 
0.0136562 0.396858 0.396858 0.012479 0.012479 
0.01664 0.350927 0.350927 0.0134458 0.0134458 
0.0202758 0.359999 0.359999 0.0168072 0.0168072 
0.024706 0.351919 0.351919 0.0200199 0.0200199 
0.0301042 0.337522 0.337522 0.0233962 0.0233962 
0.036682 0.318557 0.318557 0.0269064 0.0269064 
0.0446969 0.31982 0.31982 0.0329153 0.0329153 
0.0544631 0.314656 0.314656 0.0394597 0.0394597 
0.0663632 0.310892 0.310892 0.0475064 0.0475064 
0.0808634 0.306508 0.306508 0.0570701 0.0570701 
0.0985319 0.300714 0.300714 0.0682253 0.0682253 
0.120061 0.306296 0.306296 0.0846756 0.0846756 
0.146294 0.29429 0.29429 0.0991327 0.0991327 
0.178259 0.285401 0.285401 0.117145 0.117145 
0.217208 0.285969 0.285969 0.143025 0.143025 
0.264668 0.274814 0.274814 0.167477 0.167477 
0.322497 0.265494 0.265494 0.19715 0.19715 
0.392962 0.254313 0.254313 0.23011 0.23011 
0.478823 0.241654 0.241654 0.266431 0.266431 
0.583445 0.224383 0.224383 0.301444 0.301444 
0.710927 0.212442 0.212442 0.34776 0.34776 
0.866263 0.193943 0.193943 0.386848 0.386848 
1.05554 0.178467 0.178467 0.43376 0.43376 
1.28617 0.166589 0.166589 0.493358 0.493358 
1.5672 0.150438 0.150438 0.542872 0.542872 
1.90963 0.137855 0.137855 0.60616 0.60616 
2.32688 0.127021 0.127021 0.680558 0.680558 
2.8353 0.118319 0.118319 0.772447 0.772447 
3.4548 0.108949 0.108949 0.866686 0.866686 
4.20967 0.094806 0.094806 0.918967 0.918967 
5.12948 0.0755906 0.0755906 0.892804 0.892804 
6.25026 0.0547178 0.0547178 0.787484 0.787484 
7.61592 0.0371079 0.0371079 0.650736 0.650736 
9.27999 0.0243193 0.0243193 0.519655 0.519655 
11.3076 0.0140745 0.0140745 0.366456 0.366456 
13.7783 0.00616542 0.00616542 0.195603 0.195603 
16.7889 0.00254089 0.00254089 0.0982254 0.0982254 
20.4572 0.000592362 0.000592362 0.0279029 0.0279029 
24.9271 7.98142e-05 7.98142e-05 0.00458108 0.00458108 




x=U_x/U_D 	 PDF 	 dV/Vdx
-13.0518 1.27448e-05 1.27448e-05 
-12.8515 0 0 
-12.6512 1.27448e-05 1.27448e-05 
-12.4508 3.18619e-05 3.18619e-05 
-12.2505 3.82343e-05 3.82343e-05 
-12.0502 7.00961e-05 7.00961e-05 
-11.8499 4.46066e-05 4.46066e-05 
-11.6495 6.37238e-05 6.37238e-05 
-11.4492 5.0979e-05 5.0979e-05 
-11.2489 5.73514e-05 5.73514e-05 
-11.0486 6.37238e-05 6.37238e-05 
-10.8483 5.73514e-05 5.73514e-05 
-10.6479 8.92133e-05 8.92133e-05 
-10.4476 0.000101958 0.000101958 
-10.2473 0.000152937 0.000152937 
-10.047 0.000210288 0.000210288 
-9.84665 0.000223033 0.000223033 
-9.64633 0.000223033 0.000223033 
-9.44601 0.000261267 0.000261267 
-9.24569 0.000293129 0.000293129 
-9.04536 0.000299502 0.000299502 
-8.84504 0.000611748 0.000611748 
-8.64472 0.000764685 0.000764685 
-8.4444 0.000853898 0.000853898 
-8.24408 0.00111517 0.00111517 
-8.04376 0.00122987 0.00122987 
-7.84343 0.00131271 0.00131271 
-7.64311 0.00172691 0.00172691 
-7.44279 0.00202642 0.00202642 
-7.24247 0.00206465 0.00206465 
-7.04215 0.00291218 0.00291218 
-6.84182 0.00300139 0.00300139 
-6.6415 0.00351755 0.00351755 
-6.44118 0.00430773 0.00430773 
-6.24086 0.00467095 0.00467095 
-6.04054 0.00518711 0.00518711 
-5.84021 0.00609199 0.00609199 
-5.63989 0.00632777 0.00632777 
-5.43957 0.00690765 0.00690765 
-5.23925 0.00809929 0.00809929 
-5.03893 0.00871104 0.00871104 
-4.8386 0.00918259 0.00918259 
-4.63828 0.0110051 0.0110051 
-4.43796 0.0119673 0.0119673 
-4.23764 0.0128722 0.0128722 
-4.03732 0.0139428 0.0139428 
-3.837 0.0163706 0.0163706 
-3.63667 0.0179446 0.0179446 
-3.43635 0.0203725 0.0203725 
-3.23603 0.0244635 0.0244635 
-3.03571 0.0280958 0.0280958 
-2.83539 0.0317535 0.0317535 
-2.63506 0.0352456 0.0352456 
-2.43474 0.040471 0.040471 
-2.23442 0.0504246 0.0504246 
-2.0341 0.0628061 0.0628061 
-1.83378 0.0739578 0.0739578 
-1.63345 0.0880917 0.0880917 
-1.43313 0.104163 0.104163 
-1.23281 0.12688 0.12688 
-1.03249 0.146902 0.146902 
-0.832167 0.173259 0.173259 
-0.631845 0.214972 0.214972 
-0.431524 0.271826 0.271826 
-0.231202 0.35749 0.35749 
-0.0308798 0.577809 0.577809 
0.169442 0.806316 0.806316 
0.369764 0.351099 0.351099 
0.570086 0.249045 0.249045 
0.770408 0.182333 0.182333 
0.97073 0.143206 0.143206 
1.17105 0.114779 0.114779 
1.37137 0.092221 0.092221 
1.5717 0.0727152 0.0727152 
1.77202 0.0599322 0.0599322 
1.97234 0.049883 0.049883 
2.17266 0.041516 0.041516 
2.37298 0.0353348 0.0353348 
2.5733 0.0312501 0.0312501 
2.77363 0.0261841 0.0261841 
2.97395 0.0225009 0.0225009 
3.17427 0.0178235 0.0178235 
3.37459 0.0142423 0.0142423 
3.57491 0.0123242 0.0123242 
3.77524 0.00970513 0.00970513 
3.97556 0.00790175 0.00790175 
4.17588 0.00709245 0.00709245 
4.3762 0.00584984 0.00584984 
4.57652 0.00463272 0.00463272 
4.77685 0.00374696 0.00374696 
4.97717 0.0032053 0.0032053 
5.17749 0.00302051 0.00302051 
5.37781 0.00261267 0.00261267 
5.57813 0.00240876 0.00240876 
5.77845 0.00217935 0.00217935 
5.97878 0.00202642 0.00202642 
6.1791 0.00179064 0.00179064 
6.37942 0.00180975 0.00180975 
6.57974 0.00143378 0.00143378 
6.78006 0.00142741 0.00142741 
6.98039 0.00124899 0.00124899 
7.18071 0.00111517 0.00111517 
7.38103 0.00100684 0.00100684 
7.58135 0.000802919 0.000802919 
7.78167 0.000713706 0.000713706 
7.982 0.000669099 0.000669099 
8.18232 0.000567141 0.000567141 
8.38264 0.000579886 0.000579886 
8.58296 0.000605376 0.000605376 
8.78328 0.000516162 0.000516162 
8.9836 0.000433322 0.000433322 
9.18393 0.000433322 0.000433322 
9.38425 0.00037597 0.00037597 
9.58457 0.000433322 0.000433322 
9.78489 0.000433322 0.000433322 
9.98521 0.000331364 0.000331364 
10.1855 0.000299502 0.000299502 
10.3859 0.000254895 0.000254895 
10.5862 0.000318619 0.000318619 
10.7865 0.000178427 0.000178427 
10.9868 0.000203916 0.000203916 
11.1871 0.000127448 0.000127448 
11.3875 0.000165682 0.000165682 
11.5878 0.000140192 0.000140192 
11.7881 0.000146565 0.000146565 
11.9884 7.64685e-05 7.64685e-05 
12.1888 7.64685e-05 7.64685e-05 
12.3891 9.55856e-05 9.55856e-05 




x=U_y/U_D 	 PDF 	 dV/Vdx
-14.7324 2.555e-05 2.555e-05 
-14.5326 9.58124e-05 9.58124e-05 
-14.3327 0.000146912 0.000146912 
-14.1329 0.0001533 0.0001533 
-13.933 0.000134137 0.000134137 
-13.7332 0.000261887 0.000261887 
-13.5333 0.000274662 0.000274662 
-13.3335 0.000217175 0.000217175 
-13.1336 0.000402412 0.000402412 
-12.9338 0.000274662 0.000274662 
-12.734 0.000415187 0.000415187 
-12.5341 0.00043435 0.00043435 
-12.3343 0.000351312 0.000351312 
-12.1344 0.000523774 0.000523774 
-11.9346 0.000472675 0.000472675 
-11.7347 0.000504612 0.000504612 
-11.5349 0.000453512 0.000453512 
-11.335 0.000530162 0.000530162 
-11.1352 0.000581262 0.000581262 
-10.9353 0.000530162 0.000530162 
-10.7355 0.000472675 0.000472675 
