beadpack_128_50-1-Y/processor0	effPorosity= 0.402226 		K_y= 8.68784e-12 m^2 		FF_y= 4.14803 		DarcyVelocity= 3.39369e-05 m/s 		DelP= 1 Pa 		K: 8.68784e-12 m^2 			K=( 0  8.68784e-12  0 ) Pmax-Pmin: 1.08254 Umax= 0.000838704		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.74823e-12/(0.000256*0.000256*0.000256)= 0.402226		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.39369e-05*sqrt(8.68784e-12 )/0.001)= 0.000100029


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
6.18041e-11 91547.6 91547.6 1.30281e-05 1.30281e-05 
7.62102e-11 0 0 0 0 
9.39742e-11 0 0 0 0 
1.15879e-10 0 0 0 0 
1.42889e-10 0 0 0 0 
1.76195e-10 0 0 0 0 
2.17265e-10 0 0 0 0 
2.67908e-10 0 0 0 0 
3.30355e-10 0 0 0 0 
4.07358e-10 0 0 0 0 
5.0231e-10 0 0 0 0 
6.19395e-10 9134.76 9134.76 1.30281e-05 1.30281e-05 
7.63771e-10 0 0 0 0 
9.41799e-10 0 0 0 0 
1.16132e-09 0 0 0 0 
1.43202e-09 3951.08 3951.08 1.30281e-05 1.30281e-05 
1.76581e-09 0 0 0 0 
2.17741e-09 0 0 0 0 
2.68495e-09 0 0 0 0 
3.31079e-09 3417.93 3417.93 2.60562e-05 2.60562e-05 
4.0825e-09 1385.92 1385.92 1.30281e-05 1.30281e-05 
5.0341e-09 1123.94 1123.94 1.30281e-05 1.30281e-05 
6.20751e-09 911.48 911.48 1.30281e-05 1.30281e-05 
7.65443e-09 739.183 739.183 1.30281e-05 1.30281e-05 
9.43861e-09 0 0 0 0 
1.16387e-08 0 0 0 0 
1.43516e-08 0 0 0 0 
1.76968e-08 0 0 0 0 
2.18218e-08 259.283 259.283 1.30281e-05 1.30281e-05 
2.69083e-08 210.271 210.271 1.30281e-05 1.30281e-05 
3.31803e-08 511.57 511.57 3.90842e-05 3.90842e-05 
4.09144e-08 276.578 276.578 2.60562e-05 2.60562e-05 
5.04512e-08 336.445 336.445 3.90842e-05 3.90842e-05 
6.2211e-08 272.847 272.847 3.90842e-05 3.90842e-05 
7.67119e-08 368.784 368.784 6.51404e-05 6.51404e-05 
9.45928e-08 179.444 179.444 3.90842e-05 3.90842e-05 
1.16642e-07 291.046 291.046 7.81685e-05 7.81685e-05 
1.4383e-07 196.692 196.692 6.51404e-05 6.51404e-05 
1.77355e-07 191.413 191.413 7.81685e-05 7.81685e-05 
2.18696e-07 25.8717 25.8717 1.30281e-05 1.30281e-05 
2.69672e-07 0 0 0 0 
