beadpack_128_59-1-Z/processor0	effPorosity= 0.381296 		K_z= 9.879e-12 m^2 		FF_z= 4.50703 		DarcyVelocity= 3.80992e-05 m/s 		DelP= 0.987286 Pa 		K: 9.879e-12 m^2 			K=( 0  0  9.879e-12 ) Pmax-Pmin: 1.15351 Umax= 0.000991008		 effPorosity= V_pore/(L_x*L_y*L_z)= 6.39708e-12/(0.000256*0.000256*0.000256)= 0.381296		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.80992e-05*sqrt(9.879e-12 )/0.001)= 0.000119749


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
8.11844e-12 1.36412e+06 1.36412e+06 2.55e-05 2.55e-05 
1.01755e-11 0 0 0 0 
1.27538e-11 0 0 0 0 
1.59854e-11 0 0 0 0 
2.00359e-11 552735 552735 2.55e-05 2.55e-05 
2.51126e-11 220497 220497 1.275e-05 1.275e-05 
3.14757e-11 175922 175922 1.275e-05 1.275e-05 
3.94511e-11 140357 140357 1.275e-05 1.275e-05 
4.94474e-11 447932 447932 5.10001e-05 5.10001e-05 
6.19765e-11 178689 178689 2.55e-05 2.55e-05 
7.76803e-11 285131 285131 5.10001e-05 5.10001e-05 
9.73632e-11 227489 227489 5.10001e-05 5.10001e-05 
1.22033e-10 226875 226875 6.37501e-05 6.37501e-05 
1.52955e-10 181010 181010 6.37501e-05 6.37501e-05 
1.91711e-10 115534 115534 5.10001e-05 5.10001e-05 
2.40287e-10 92177.5 92177.5 5.10001e-05 5.10001e-05 
3.01172e-10 36771.5 36771.5 2.55e-05 2.55e-05 
3.77483e-10 14668.9 14668.9 1.275e-05 1.275e-05 
4.73131e-10 35110.3 35110.3 3.82501e-05 3.82501e-05 
5.93015e-10 37349.9 37349.9 5.10001e-05 5.10001e-05 
7.43275e-10 44698.9 44698.9 7.65001e-05 7.65001e-05 
9.31608e-10 47550.1 47550.1 0.000102 0.000102 
1.16766e-09 18968.7 18968.7 5.10001e-05 5.10001e-05 
1.46353e-09 22701 22701 7.65001e-05 7.65001e-05 
1.83436e-09 21130.4 21130.4 8.92501e-05 8.92501e-05 
2.29916e-09 12041.9 12041.9 6.37501e-05 6.37501e-05 
2.88172e-09 3843.02 3843.02 2.55e-05 2.55e-05 
3.6119e-09 6132.24 6132.24 5.10001e-05 5.10001e-05 
4.5271e-09 3669.41 3669.41 3.82501e-05 3.82501e-05 
5.67419e-09 975.868 975.868 1.275e-05 1.275e-05 
7.11193e-09 2335.76 2335.76 3.82501e-05 3.82501e-05 
8.91398e-09 4969.51 4969.51 0.000102 0.000102 
1.11726e-08 495.61 495.61 1.275e-05 1.275e-05 
1.40036e-08 395.417 395.417 1.275e-05 1.275e-05 
1.75519e-08 1261.92 1261.92 5.10001e-05 5.10001e-05 
2.19992e-08 1510.22 1510.22 7.65001e-05 7.65001e-05 
2.75734e-08 1004.09 1004.09 6.37501e-05 6.37501e-05 
3.45601e-08 0 0 0 0 
4.3317e-08 639.156 639.156 6.37501e-05 6.37501e-05 
5.42928e-08 407.956 407.956 5.10001e-05 5.10001e-05 
6.80497e-08 325.484 325.484 5.10001e-05 5.10001e-05 
8.52923e-08 324.605 324.605 6.37501e-05 6.37501e-05 
1.06904e-07 155.39 155.39 3.82501e-05 3.82501e-05 
1.33992e-07 247.953 247.953 7.65001e-05 7.65001e-05 
1.67943e-07 263.769 263.769 0.000102 0.000102 
2.10497e-07 78.9171 78.9171 3.82501e-05 3.82501e-05 
2.63833e-07 146.914 146.914 8.92501e-05 8.92501e-05 
3.30684e-07 133.959 133.959 0.000102 0.000102 
4.14473e-07 53.439 53.439 5.10001e-05 5.10001e-05 
5.19494e-07 95.9306 95.9306 0.00011475 0.00011475 
6.51125e-07 119.058 119.058 0.0001785 0.0001785 
8.16109e-07 81.4195 81.4195 0.000153 0.000153 
1.0229e-06 37.8932 37.8932 8.92501e-05 8.92501e-05 
1.28208e-06 38.8706 38.8706 0.00011475 0.00011475 
1.60694e-06 24.1209 24.1209 8.92501e-05 8.92501e-05 
2.01411e-06 54.9847 54.9847 0.000255 0.000255 
2.52445e-06 39.4821 39.4821 0.0002295 0.0002295 
3.16411e-06 31.5004 31.5004 0.0002295 0.0002295 
3.96584e-06 26.5286 26.5286 0.00024225 0.00024225 
4.97071e-06 20.0516 20.0516 0.0002295 0.0002295 
6.23021e-06 23.1082 23.1082 0.0003315 0.0003315 
7.80884e-06 12.0547 12.0547 0.00021675 0.00021675 
9.78747e-06 14.7095 14.7095 0.0003315 0.0003315 
1.22674e-05 15.3469 15.3469 0.000433501 0.000433501 
1.53758e-05 9.72346 9.72346 0.00034425 0.00034425 
1.92718e-05 11.2057 11.2057 0.000497251 0.000497251 
2.41549e-05 10.0865 10.0865 0.000561001 0.000561001 
3.02754e-05 9.32773 9.32773 0.000650251 0.000650251 
3.79466e-05 7.44204 7.44204 0.000650251 0.000650251 
4.75617e-05 6.75252 6.75252 0.000739501 0.000739501 
5.9613e-05 4.73723 4.73723 0.000650251 0.000650251 
7.47179e-05 6.07693 6.07693 0.0010455 0.0010455 
9.36502e-05 4.55279 4.55279 0.000981751 0.000981751 
0.00011738 3.77392 3.77392 0.00102 0.00102 
0.000147122 3.16154 3.16154 0.001071 0.001071 
0.0001844 3.153 3.153 0.00133875 0.00133875 
0.000231123 2.6833 2.6833 0.001428 0.001428 
0.000289686 2.65694 2.65694 0.00177225 0.00177225 
0.000363088 2.01306 2.01306 0.001683 0.001683 
0.000455088 1.92246 1.92246 0.0020145 0.0020145 
0.0005704 1.57265 1.57265 0.0020655 0.0020655 
0.000714929 1.58776 1.58776 0.00261375 0.00261375 
0.00089608 1.33476 1.33476 0.002754 0.002754 
0.00112313 1.22762 1.22762 0.00317475 0.00317475 
0.00140771 1.27839 1.27839 0.00414376 0.00414376 
0.00176441 1.10783 1.10783 0.00450076 0.00450076 
