berea_128_12-1-Y/processor0	effPorosity= 0.214032 		K_y= 4.18092e-13 m^2 		FF_y= 16.716 		DarcyVelocity= 1.63317e-06 m/s 		DelP= 1 Pa 		K: 4.18092e-13 m^2 			K=( 0  4.18092e-13  0 ) Pmax-Pmin: 1.01192 Umax= 0.000178509		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.59086e-12/(0.000256*0.000256*0.000256)= 0.214032		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.63317e-06*sqrt(4.18092e-13 )/0.001)= 1.05601e-06


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
2.42578e-13 3.47045e+07 3.47045e+07 1.93844e-05 1.93844e-05 
3.1607e-13 0 0 0 0 
4.11827e-13 0 0 0 0 
5.36595e-13 0 0 0 0 
6.99162e-13 0 0 0 0 
9.10982e-13 0 0 0 0 
1.18697e-12 0 0 0 0 
1.54658e-12 0 0 0 0 
2.01514e-12 0 0 0 0 
2.62564e-12 3.20628e+06 3.20628e+06 1.93844e-05 1.93844e-05 
3.42111e-12 2.46076e+06 2.46076e+06 1.93844e-05 1.93844e-05 
4.45758e-12 0 0 0 0 
5.80805e-12 1.44946e+06 1.44946e+06 1.93844e-05 1.93844e-05 
7.56767e-12 1.11244e+06 1.11244e+06 1.93844e-05 1.93844e-05 
9.86038e-12 4.26887e+06 4.26887e+06 9.69221e-05 9.69221e-05 
1.28477e-11 3.93154e+06 3.93154e+06 0.000116306 0.000116306 
1.67401e-11 4.02318e+06 4.02318e+06 0.000155075 0.000155075 
2.18117e-11 5.40352e+06 5.40352e+06 0.000271382 0.000271382 
2.84197e-11 3.25844e+06 3.25844e+06 0.000213229 0.000213229 
3.70298e-11 2.72814e+06 2.72814e+06 0.000232613 0.000232613 
4.82484e-11 3.48966e+06 3.48966e+06 0.000387688 0.000387688 
6.28659e-11 2.94608e+06 2.94608e+06 0.000426457 0.000426457 
8.19118e-11 3.18605e+06 3.18605e+06 0.000600917 0.000600917 
1.06728e-10 2.28748e+06 2.28748e+06 0.000562148 0.000562148 
1.39062e-10 2.36098e+06 2.36098e+06 0.000755992 0.000755992 
1.81193e-10 2.13724e+06 2.13724e+06 0.000891683 0.000891683 
2.36087e-10 1.85425e+06 1.85425e+06 0.00100799 0.00100799 
3.07613e-10 1.66941e+06 1.66941e+06 0.00118245 0.00118245 
4.00808e-10 1.17622e+06 1.17622e+06 0.00108553 0.00108553 
5.22237e-10 1.11229e+06 1.11229e+06 0.00133752 0.00133752 
6.80455e-10 927896 927896 0.00145383 0.00145383 
8.86606e-10 940029 940029 0.00191906 0.00191906 
1.15521e-09 765181 765181 0.00203536 0.00203536 
1.5052e-09 441845 441845 0.00153137 0.00153137 
1.96122e-09 472176 472176 0.00213229 0.00213229 
2.55539e-09 428276 428276 0.00251997 0.00251997 
3.32957e-09 318580 318580 0.00244244 0.00244244 
4.33831e-09 293018 293018 0.00292705 0.00292705 
5.65265e-09 274033 274033 0.00356673 0.00356673 
7.36518e-09 197742 197742 0.0033535 0.0033535 
9.59655e-09 190363 190363 0.00420642 0.00420642 
1.25039e-08 160239 160239 0.00461349 0.00461349 
1.62921e-08 106962 106962 0.00401257 0.00401257 
2.1228e-08 92402.4 92402.4 0.00451657 0.00451657 
2.76593e-08 63916.8 63916.8 0.00407073 0.00407073 
3.6039e-08 48354.2 48354.2 0.00401257 0.00401257 
4.69574e-08 34959.7 34959.7 0.00377996 0.00377996 
6.11837e-08 26968.5 26968.5 0.00379934 0.00379934 
7.97201e-08 15101 15101 0.00277197 0.00277197 
1.03872e-07 12481.3 12481.3 0.0029852 0.0029852 
1.35341e-07 8646.11 8646.11 0.00269443 0.00269443 
1.76345e-07 7590.52 7590.52 0.00308212 0.00308212 
2.2977e-07 5202.73 5202.73 0.00275259 0.00275259 
2.99382e-07 4077.36 4077.36 0.00281074 0.00281074 
3.90083e-07 3345.12 3345.12 0.00300458 0.00300458 
5.08263e-07 2650.14 2650.14 0.00310151 0.00310151 
6.62247e-07 1868.68 1868.68 0.00284951 0.00284951 
8.62883e-07 1609.79 1609.79 0.00319843 0.00319843 
1.1243e-06 1280.41 1280.41 0.00331473 0.00331473 
1.46492e-06 884.999 884.999 0.0029852 0.0029852 
1.90874e-06 740.968 740.968 0.00325658 0.00325658 
2.48701e-06 585.605 585.605 0.0033535 0.0033535 
3.24048e-06 485.813 485.813 0.00362488 0.00362488 
4.22222e-06 390.797 390.797 0.00379934 0.00379934 
5.5014e-06 339.717 339.717 0.00430334 0.00430334 
7.16811e-06 241.936 241.936 0.00399319 0.00399319 
9.33977e-06 193.794 193.794 0.00416765 0.00416765 
1.21694e-05 168.795 168.795 0.0047298 0.0047298 
