berea_128_20-1-Z/processor0	effPorosity= 0.15369 		K_z= 7.74208e-14 m^2 		FF_z= 44.4452 		DarcyVelocity= 3.29971e-07 m/s 		DelP= 1.09108 Pa 		K: 7.74208e-14 m^2 			K=( 0  0  7.74208e-14 ) Pmax-Pmin: 1.00615 Umax= 9.68803e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.57849e-12/(0.000256*0.000256*0.000256)= 0.15369		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.29971e-07*sqrt(7.74208e-14 )/0.001)= 9.1813e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.28182e-15 3.08811e+09 3.08811e+09 2.33358e-05 2.33358e-05 
4.45726e-15 4.54746e+09 4.54746e+09 4.66717e-05 4.66717e-05 
6.05372e-15 3.34823e+09 3.34823e+09 4.66717e-05 4.66717e-05 
8.22198e-15 0 0 0 0 
1.11668e-14 0 0 0 0 
1.51665e-14 6.68225e+08 6.68225e+08 2.33358e-05 2.33358e-05 
2.05986e-14 4.92004e+08 4.92004e+08 2.33358e-05 2.33358e-05 
2.79765e-14 2.17353e+09 2.17353e+09 0.000140015 0.000140015 
3.79968e-14 1.33362e+09 1.33362e+09 0.000116679 0.000116679 
5.16061e-14 1.96384e+08 1.96384e+08 2.33358e-05 2.33358e-05 
7.00898e-14 2.8919e+08 2.8919e+08 4.66717e-05 4.66717e-05 
9.51939e-14 2.12926e+08 2.12926e+08 4.66717e-05 4.66717e-05 
1.29289e-13 8.62258e+08 8.62258e+08 0.000256694 0.000256694 
1.75597e-13 1.09659e+09 1.09659e+09 0.000443381 0.000443381 
2.38491e-13 6.79917e+08 6.79917e+08 0.000373373 0.000373373 
3.23911e-13 6.25766e+08 6.25766e+08 0.000466717 0.000466717 
4.39926e-13 5.06816e+08 5.06816e+08 0.000513388 0.000513388 
5.97494e-13 3.73161e+08 3.73161e+08 0.000513388 0.000513388 
8.11498e-13 2.62264e+08 2.62264e+08 0.000490052 0.000490052 
1.10215e-12 2.48273e+08 2.48273e+08 0.000630067 0.000630067 
1.49691e-12 1.828e+08 1.828e+08 0.000630067 0.000630067 
2.03306e-12 1.09668e+08 1.09668e+08 0.000513388 0.000513388 
2.76124e-12 1.35802e+08 1.35802e+08 0.000863426 0.000863426 
3.75023e-12 1.2431e+08 1.2431e+08 0.00107345 0.00107345 
5.09345e-12 6.7651e+07 6.7651e+07 0.000793418 0.000793418 
6.91777e-12 6.73906e+07 6.73906e+07 0.00107345 0.00107345 
9.39551e-12 4.74613e+07 4.74613e+07 0.00102678 0.00102678 
1.27607e-11 3.89161e+07 3.89161e+07 0.00114346 0.00114346 
1.73312e-11 3.50857e+07 3.50857e+07 0.00140015 0.00140015 
2.35387e-11 2.58331e+07 2.58331e+07 0.00140015 0.00140015 
3.19696e-11 2.63117e+07 2.63117e+07 0.00193687 0.00193687 
4.34201e-11 1.75056e+07 1.75056e+07 0.00175019 0.00175019 
5.89719e-11 1.5467e+07 1.5467e+07 0.00210022 0.00210022 
8.00938e-11 1.22738e+07 1.22738e+07 0.00226358 0.00226358 
1.08781e-10 1.22978e+07 1.22978e+07 0.00308033 0.00308033 
1.47743e-10 8.36874e+06 8.36874e+06 0.00284697 0.00284697 
2.0066e-10 7.27292e+06 7.27292e+06 0.00336036 0.00336036 
2.72531e-10 5.91275e+06 5.91275e+06 0.0037104 0.0037104 
3.70143e-10 4.57251e+06 4.57251e+06 0.00389708 0.00389708 
5.02717e-10 3.36667e+06 3.36667e+06 0.00389708 0.00389708 
6.82775e-10 2.5382e+06 2.5382e+06 0.00399043 0.00399043 
