berea_128_25-1-Z/processor0	effPorosity= 0.195032 		K_z= 1.76095e-13 m^2 		FF_z= 30.9182 		DarcyVelocity= 6.75663e-07 m/s 		DelP= 0.982254 Pa 		K: 1.76095e-13 m^2 			K=( 0  0  1.76095e-13 ) Pmax-Pmin: 1.00651 Umax= 0.00015178		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.27209e-12/(0.000256*0.000256*0.000256)= 0.195032		 Re=rho*VDarcy*sqrt(K)/mu= 1000*6.75663e-07*sqrt(1.76095e-13 )/0.001)= 2.83533e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
2.66179e-14 3.19353e+08 3.19353e+08 1.95731e-05 1.95731e-05 
3.54883e-14 0 0 0 0 
4.73149e-14 0 0 0 0 
6.30826e-14 0 0 0 0 
8.4105e-14 0 0 0 0 
1.12133e-13 0 0 0 0 
1.49502e-13 1.13718e+08 1.13718e+08 3.91462e-05 3.91462e-05 
1.99324e-13 0 0 0 0 
2.65749e-13 0 0 0 0 
3.5431e-13 2.39917e+07 2.39917e+07 1.95731e-05 1.95731e-05 
4.72384e-13 0 0 0 0 
6.29807e-13 0 0 0 0 
8.39692e-13 0 0 0 0 
1.11952e-12 1.51859e+07 1.51859e+07 3.91462e-05 3.91462e-05 
1.4926e-12 5.69508e+06 5.69508e+06 1.95731e-05 1.95731e-05 
1.99002e-12 1.70863e+07 1.70863e+07 7.82925e-05 7.82925e-05 
2.65319e-12 3.20387e+06 3.20387e+06 1.95731e-05 1.95731e-05 
3.53738e-12 1.20153e+07 1.20153e+07 9.78656e-05 9.78656e-05 
4.71622e-12 1.26168e+07 1.26168e+07 0.000137012 0.000137012 
6.2879e-12 8.11128e+06 8.11128e+06 0.000117439 0.000117439 
8.38336e-12 9.12575e+06 9.12575e+06 0.000176158 0.000176158 
1.11771e-11 1.06474e+07 1.06474e+07 0.000274024 0.000274024 
1.49019e-11 8.55644e+06 8.55644e+06 0.000293597 0.000293597 
1.9868e-11 6.84557e+06 6.84557e+06 0.00031317 0.00031317 
2.64891e-11 5.13449e+06 5.13449e+06 0.00031317 0.00031317 
3.53166e-11 6.25804e+06 6.25804e+06 0.000508901 0.000508901 
4.7086e-11 6.3186e+06 6.3186e+06 0.000685059 0.000685059 
6.27775e-11 3.38517e+06 3.38517e+06 0.000489328 0.000489328 
8.36982e-11 5.07806e+06 5.07806e+06 0.000978656 0.000978656 
1.11591e-10 3.50408e+06 3.50408e+06 0.000900363 0.000900363 
1.48779e-10 3.59952e+06 3.59952e+06 0.00123311 0.00123311 
1.98359e-10 3.04263e+06 3.04263e+06 0.00138969 0.00138969 
2.64463e-10 1.86426e+06 1.86426e+06 0.00113524 0.00113524 
3.52596e-10 1.68758e+06 1.68758e+06 0.00137012 0.00137012 
4.70099e-10 886034 886034 0.000959083 0.000959083 
6.26761e-10 895130 895130 0.00129183 0.00129183 
8.3563e-10 559491 559491 0.00107652 0.00107652 
1.11411e-09 358604 358604 0.000919936 0.000919936 
1.48538e-09 286138 286138 0.000978656 0.000978656 
1.98039e-09 193155 193155 0.00088079 0.00088079 
2.64036e-09 164192 164192 0.000998229 0.000998229 
3.52027e-09 113492 113492 0.000919936 0.000919936 
4.6934e-09 81502.1 81502.1 0.00088079 0.00088079 
6.25749e-09 81507.1 81507.1 0.00117439 0.00117439 
8.34281e-09 54001.8 54001.8 0.00103738 0.00103738 
1.11231e-08 45853.3 45853.3 0.00117439 0.00117439 
1.48299e-08 36111.7 36111.7 0.00123311 0.00123311 
1.97719e-08 32674.5 32674.5 0.00148756 0.00148756 
2.6361e-08 30634.2 30634.2 0.00185945 0.00185945 
3.51458e-08 27572.5 27572.5 0.00223134 0.00223134 
4.68582e-08 18503.7 18503.7 0.00199646 0.00199646 
6.24738e-08 16599.9 16599.9 0.00238792 0.00238792 
8.32934e-08 15614.4 15614.4 0.00299469 0.00299469 
1.11051e-07 12017.7 12017.7 0.00307298 0.00307298 
1.48059e-07 11310.3 11310.3 0.0038559 0.0038559 
