berea_128_4-1-X/processor0	effPorosity= 0.210209 		K_x= 2.22431e-13 m^2 		FF_x= 21.4223 		DarcyVelocity= 8.68871e-07 m/s 		DelP= 1 Pa 		K: 2.22431e-13 m^2 			K=( 2.22431e-13  0  0 ) Pmax-Pmin: 1.00778 Umax= 0.000151143		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.52673e-12/(0.000256*0.000256*0.000256)= 0.210209		 Re=rho*VDarcy*sqrt(K)/mu= 1000*8.68871e-07*sqrt(2.22431e-13 )/0.001)= 4.09782e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
9.33381e-13 9.43014e+06 9.43014e+06 2.02672e-05 2.02672e-05 
1.20777e-12 1.45755e+07 1.45755e+07 4.05343e-05 4.05343e-05 
1.56282e-12 5.63209e+06 5.63209e+06 2.02672e-05 2.02672e-05 
2.02224e-12 1.74102e+07 1.74102e+07 8.10686e-05 8.10686e-05 
2.61672e-12 6.72745e+06 6.72745e+06 4.05343e-05 4.05343e-05 
3.38596e-12 7.79861e+06 7.79861e+06 6.08015e-05 6.08015e-05 
4.38133e-12 1.00448e+07 1.00448e+07 0.000101336 0.000101336 
5.66931e-12 1.3973e+07 1.3973e+07 0.000182404 0.000182404 
7.33593e-12 1.07985e+07 1.07985e+07 0.000182404 0.000182404 
9.49248e-12 1.20543e+07 1.20543e+07 0.000263473 0.000263473 
1.2283e-11 7.16594e+06 7.16594e+06 0.000202672 0.000202672 
1.58938e-11 1.27373e+07 1.27373e+07 0.000466145 0.000466145 
2.05661e-11 1.19835e+07 1.19835e+07 0.00056748 0.00056748 
2.6612e-11 8.5995e+06 8.5995e+06 0.000526946 0.000526946 
3.44352e-11 7.66825e+06 7.66825e+06 0.000608015 0.000608015 
4.45581e-11 7.30891e+06 7.30891e+06 0.000749885 0.000749885 
5.76569e-11 7.93834e+06 7.93834e+06 0.00105389 0.00105389 
7.46063e-11 6.96071e+06 6.96071e+06 0.00119576 0.00119576 
