berea_128_52-1-Z/processor0	effPorosity= 0.232268 		K_z= 2.72472e-13 m^2 		FF_z= 20.8996 		DarcyVelocity= 1.07497e-06 m/s 		DelP= 1.00998 Pa 		K: 2.72472e-13 m^2 			K=( 0  0  2.72472e-13 ) Pmax-Pmin: 1.02338 Umax= 0.000224621		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.89681e-12/(0.000256*0.000256*0.000256)= 0.232268		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.07497e-06*sqrt(2.72472e-13 )/0.001)= 5.6112e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
1.12131e-15 5.87016e+09 5.87016e+09 1.51562e-05 1.51562e-05 
1.53172e-15 0 0 0 0 
2.09234e-15 0 0 0 0 
2.85815e-15 0 0 0 0 
3.90426e-15 0 0 0 0 
5.33326e-15 0 0 0 0 
7.28528e-15 4.5175e+09 4.5175e+09 7.5781e-05 7.5781e-05 
9.95176e-15 1.32283e+09 1.32283e+09 3.03124e-05 3.03124e-05 
1.35942e-14 0 0 0 0 
1.85698e-14 7.08921e+08 7.08921e+08 3.03124e-05 3.03124e-05 
2.53665e-14 0 0 0 0 
3.46509e-14 0 0 0 0 
4.73334e-14 1.39062e+08 1.39062e+08 1.51562e-05 1.51562e-05 
6.46579e-14 4.07205e+08 4.07205e+08 6.06248e-05 6.06248e-05 
8.83232e-14 2.98099e+08 2.98099e+08 6.06248e-05 6.06248e-05 
1.2065e-13 1.09113e+08 1.09113e+08 3.03124e-05 3.03124e-05 
1.64809e-13 1.19816e+08 1.19816e+08 4.54686e-05 4.54686e-05 
2.25131e-13 2.92374e+07 2.92374e+07 1.51562e-05 1.51562e-05 
3.07531e-13 6.42106e+07 6.42106e+07 4.54686e-05 4.54686e-05 
4.2009e-13 1.56687e+07 1.56687e+07 1.51562e-05 1.51562e-05 
5.73847e-13 3.44112e+07 3.44112e+07 4.54686e-05 4.54686e-05 
7.83881e-13 1.6794e+07 1.6794e+07 3.03124e-05 3.03124e-05 
1.07079e-12 6.14712e+06 6.14712e+06 1.51562e-05 1.51562e-05 
1.46271e-12 0 0 0 0 
1.99807e-12 9.88292e+06 9.88292e+06 4.54686e-05 4.54686e-05 
2.72938e-12 4.82326e+06 4.82326e+06 3.03124e-05 3.03124e-05 
3.72836e-12 1.76546e+06 1.76546e+06 1.51562e-05 1.51562e-05 
5.09297e-12 5.16968e+06 5.16968e+06 6.06248e-05 6.06248e-05 
6.95705e-12 1.89226e+06 1.89226e+06 3.03124e-05 3.03124e-05 
9.50339e-12 2.77049e+06 2.77049e+06 6.06248e-05 6.06248e-05 
1.29817e-11 2.02816e+06 2.02816e+06 6.06248e-05 6.06248e-05 
1.77331e-11 4.08302e+06 4.08302e+06 0.000166718 0.000166718 
2.42236e-11 2.17383e+06 2.17383e+06 0.00012125 0.00012125 
3.30897e-11 1.59137e+06 1.59137e+06 0.00012125 0.00012125 
4.52008e-11 1.89309e+06 1.89309e+06 0.000197031 0.000197031 
6.17447e-11 2.4519e+06 2.4519e+06 0.000348593 0.000348593 
8.43439e-11 1.79494e+06 1.79494e+06 0.000348593 0.000348593 
1.15214e-10 1.94244e+06 1.94244e+06 0.000515311 0.000515311 
1.57384e-10 2.30026e+06 2.30026e+06 0.000833591 0.000833591 
2.14988e-10 1.89825e+06 1.89825e+06 0.000939685 0.000939685 
2.93676e-10 1.43446e+06 1.43446e+06 0.000969997 0.000969997 
4.01163e-10 1.4439e+06 1.4439e+06 0.00133375 0.00133375 
5.47993e-10 1.26122e+06 1.26122e+06 0.0015914 0.0015914 
7.48563e-10 1.4245e+06 1.4245e+06 0.00245531 0.00245531 
1.02254e-09 1.01707e+06 1.01707e+06 0.00239468 0.00239468 
1.3968e-09 848226 848226 0.00272812 0.00272812 
1.90805e-09 841735 841735 0.00369811 0.00369811 
2.60641e-09 702064 702064 0.00421343 0.00421343 
3.56038e-09 606390 606390 0.00497124 0.00497124 
4.86351e-09 508877 508877 0.00569873 0.00569873 
6.6436e-09 488448 488448 0.00747201 0.00747201 
9.07522e-09 429378 429378 0.00897247 0.00897247 
1.23968e-08 287782 287782 0.00821466 0.00821466 
1.69342e-08 167140 167140 0.00651717 0.00651717 
2.31322e-08 103860 103860 0.00553202 0.00553202 
3.15989e-08 63533.6 63533.6 0.00462264 0.00462264 
4.31643e-08 45137.9 45137.9 0.00448624 0.00448624 
5.89629e-08 35722.9 35722.9 0.00484999 0.00484999 
8.05438e-08 24925.4 24925.4 0.00462264 0.00462264 
1.10024e-07 17050.4 17050.4 0.00431952 0.00431952 
1.50293e-07 11912.5 11912.5 0.00412249 0.00412249 
2.05302e-07 8848.94 8848.94 0.00418311 0.00418311 
2.80444e-07 6736.13 6736.13 0.00434983 0.00434983 
3.83089e-07 4810.97 4810.97 0.00424374 0.00424374 
5.23303e-07 3735.75 3735.75 0.00450139 0.00450139 
7.14837e-07 2734.79 2734.79 0.00450139 0.00450139 
9.76474e-07 2170.55 2170.55 0.0048803 0.0048803 
1.33387e-06 1426.13 1426.13 0.00438014 0.00438014 
1.82208e-06 1119.87 1119.87 0.00469842 0.00469842 
2.48898e-06 915.018 915.018 0.00524405 0.00524405 
3.39997e-06 642.744 642.744 0.00503186 0.00503186 
4.64439e-06 511.627 511.627 0.00547139 0.00547139 
6.34428e-06 381.804 381.804 0.00557748 0.00557748 
8.66634e-06 280.263 280.263 0.00559264 0.00559264 
1.18383e-05 189.601 189.601 0.00516827 0.00516827 
1.61712e-05 138.392 138.392 0.00515311 0.00515311 
2.209e-05 96.2456 96.2456 0.00489545 0.00489545 
3.01752e-05 80.0555 80.0555 0.00556233 0.00556233 
4.12196e-05 62.9169 62.9169 0.00597155 0.00597155 
5.63063e-05 43.2533 43.2533 0.0056078 0.0056078 
7.69149e-05 32.2631 32.2631 0.00571389 0.00571389 
0.000105066 21.6764 21.6764 0.00524405 0.00524405 
0.000143522 19.4915 19.4915 0.00644139 0.00644139 
0.000196052 16.4848 16.4848 0.0074417 0.0074417 
0.000267809 11.5763 11.5763 0.00713857 0.00713857 
0.000365829 9.69807 9.69807 0.0081692 0.0081692 
0.000499726 8.08744 8.08744 0.00930591 0.00930591 
0.00068263 6.26762 6.26762 0.00985153 0.00985153 
0.000932479 5.34357 5.34357 0.0114732 0.0114732 
0.00127378 4.33038 4.33038 0.0127009 0.0127009 
0.00173999 3.45003 3.45003 0.0138225 0.0138225 
0.00237684 3.10996 3.10996 0.0170204 0.0170204 
0.00324678 2.37196 2.37196 0.0177328 0.0177328 
0.00443514 1.9249 1.9249 0.0196576 0.0196576 
0.00605844 1.66011 1.66011 0.0231587 0.0231587 
0.00827588 1.37278 1.37278 0.0261596 0.0261596 
0.0113049 1.18778 1.18778 0.0309187 0.0309187 
0.0154426 0.967989 0.967989 0.0344197 0.0344197 
0.0210948 0.82439 0.82439 0.0400427 0.0400427 
0.0288157 0.703325 0.703325 0.046666 0.046666 
0.0393624 0.585276 0.585276 0.0530467 0.0530467 
0.0537695 0.481708 0.481708 0.0596397 0.0596397 
0.0734496 0.414743 0.414743 0.0701429 0.0701429 
0.100333 0.355772 0.355772 0.0821921 0.0821921 
0.137055 0.318222 0.318222 0.100425 0.100425 
0.187219 0.276448 0.276448 0.119173 0.119173 
0.255743 0.243866 0.243866 0.143605 0.143605 
0.349347 0.216999 0.216999 0.174554 0.174554 
0.477211 0.193408 0.193408 0.21252 0.21252 
0.651875 0.165396 0.165396 0.248259 0.248259 
0.890467 0.138961 0.138961 0.284922 0.284922 
1.21639 0.113129 0.113129 0.316856 0.316856 
