berea_128_56-1-X/processor0	effPorosity= 0.251219 		K_x= 5.20299e-13 m^2 		FF_x= 13.5928 		DarcyVelocity= 2.03242e-06 m/s 		DelP= 1 Pa 		K: 5.20299e-13 m^2 			K=( 5.20299e-13  0  0 ) Pmax-Pmin: 1.01546 Umax= 0.000170235		 effPorosity= V_pore/(L_x*L_y*L_z)= 4.21475e-12/(0.000256*0.000256*0.000256)= 0.251219		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.03242e-06*sqrt(5.20299e-13 )/0.001)= 1.46602e-06


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.89012e-12 6.07912e+06 6.07912e+06 5.44527e-05 5.44527e-05 
4.94921e-12 3.18549e+06 3.18549e+06 3.63018e-05 3.63018e-05 
6.29664e-12 2.50382e+06 2.50382e+06 3.63018e-05 3.63018e-05 
8.01092e-12 984011 984011 1.81509e-05 1.81509e-05 
1.01919e-11 773441 773441 1.81509e-05 1.81509e-05 
1.29667e-11 6.0793e+06 6.0793e+06 0.000181509 0.000181509 
1.64969e-11 3.34487e+06 3.34487e+06 0.000127056 0.000127056 
2.09882e-11 4.8826e+06 4.8826e+06 0.000235962 0.000235962 
2.67022e-11 6.19946e+06 6.19946e+06 0.000381169 0.000381169 
3.3972e-11 6.72914e+06 6.72914e+06 0.000526376 0.000526376 
4.32209e-11 5.65392e+06 5.65392e+06 0.000562678 0.000562678 
5.49879e-11 3.01047e+06 3.01047e+06 0.000381169 0.000381169 
6.99585e-11 4.05643e+06 4.05643e+06 0.000653432 0.000653432 
8.90048e-11 4.87115e+06 4.87115e+06 0.000998299 0.000998299 
1.13237e-10 3.55031e+06 3.55031e+06 0.000925695 0.000925695 
1.44065e-10 3.44717e+06 3.44717e+06 0.00114351 0.00114351 
1.83287e-10 3.35463e+06 3.35463e+06 0.00141577 0.00141577 
2.33188e-10 2.70437e+06 2.70437e+06 0.00145207 0.00145207 
2.96674e-10 2.36479e+06 2.36479e+06 0.00161543 0.00161543 
3.77444e-10 1.85875e+06 1.85875e+06 0.00161543 0.00161543 
4.80203e-10 1.3625e+06 1.3625e+06 0.00150652 0.00150652 
6.1094e-10 1.26447e+06 1.26447e+06 0.00177879 0.00177879 
7.77269e-10 1.24743e+06 1.24743e+06 0.00223256 0.00223256 
9.88882e-10 876860 876860 0.0019966 0.0019966 
1.25811e-09 532578 532578 0.00154283 0.00154283 
1.60063e-09 285640 285640 0.00105275 0.00105275 
2.0364e-09 236128 236128 0.0011072 0.0011072 
2.59082e-09 146045 146045 0.000871243 0.000871243 
3.29617e-09 153057 153057 0.00116166 0.00116166 
4.19356e-09 88348 88348 0.000853092 0.000853092 
5.33527e-09 87172.2 87172.2 0.0010709 0.0010709 
6.78781e-09 48775.5 48775.5 0.000762337 0.000762337 
8.6358e-09 57506.9 57506.9 0.00114351 0.00114351 
1.09869e-08 27264 27264 0.000689734 0.000689734 
1.39781e-08 34400.4 34400.4 0.0011072 0.0011072 
1.77837e-08 23492.9 23492.9 0.000961997 0.000961997 
2.26253e-08 22298.1 22298.1 0.00116166 0.00116166 
2.87851e-08 17252.6 17252.6 0.00114351 0.00114351 
3.66219e-08 13991.2 13991.2 0.00117981 0.00117981 
4.65923e-08 10997.2 10997.2 0.00117981 0.00117981 
5.92772e-08 7181.06 7181.06 0.000980148 0.000980148 
7.54155e-08 5017.22 5017.22 0.000871243 0.000871243 
9.59475e-08 5504.57 5504.57 0.00121611 0.00121611 
1.22069e-07 2647.64 2647.64 0.000744186 0.000744186 
1.55303e-07 3096.22 3096.22 0.0011072 0.0011072 
1.97585e-07 2792.72 2792.72 0.00127056 0.00127056 
2.51377e-07 2006.95 2006.95 0.00116166 0.00116166 
3.19815e-07 1700.72 1700.72 0.00125241 0.00125241 
4.06886e-07 1317.4 1317.4 0.00123426 0.00123426 
5.17661e-07 1142.08 1142.08 0.00136132 0.00136132 
6.58595e-07 849.81 849.81 0.00128871 0.00128871 
8.37899e-07 705.589 705.589 0.00136132 0.00136132 
1.06602e-06 554.598 554.598 0.00136132 0.00136132 
1.35624e-06 418.482 418.482 0.00130686 0.00130686 
1.72548e-06 392.889 392.889 0.00156098 0.00156098 
2.19525e-06 348.313 348.313 0.00176064 0.00176064 
2.79291e-06 231.44 231.44 0.00148837 0.00148837 
3.55329e-06 201.88 201.88 0.00165173 0.00165173 
4.52068e-06 193.554 193.554 0.00201475 0.00201475 
5.75144e-06 164.47 164.47 0.00217811 0.00217811 
7.31728e-06 114.193 114.193 0.00192399 0.00192399 
9.30942e-06 108.385 108.385 0.00232331 0.00232331 
1.18439e-05 72.5459 72.5459 0.00197845 0.00197845 
1.50685e-05 72.7157 72.7157 0.00252297 0.00252297 
