berea_128_61-1-Y/processor0	effPorosity= 0.22323 		K_y= 3.63503e-13 m^2 		FF_y= 17.4732 		DarcyVelocity= 1.41993e-06 m/s 		DelP= 1 Pa 		K: 3.63503e-13 m^2 			K=( 0  3.63503e-13  0 ) Pmax-Pmin: 1.00602 Umax= 0.000218364		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.74518e-12/(0.000256*0.000256*0.000256)= 0.22323		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.41993e-06*sqrt(3.63503e-13 )/0.001)= 8.56094e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.30613e-13 1.88746e+07 1.88746e+07 1.87146e-05 1.87146e-05 
5.6005e-13 0 0 0 0 
7.28394e-13 1.11583e+07 1.11583e+07 1.87146e-05 1.87146e-05 
9.47341e-13 8.57943e+06 8.57943e+06 1.87146e-05 1.87146e-05 
1.2321e-12 0 0 0 0 
1.60246e-12 0 0 0 0 
2.08413e-12 0 0 0 0 
2.7106e-12 0 0 0 0 
3.52538e-12 4.61094e+06 4.61094e+06 3.74292e-05 3.74292e-05 
4.58506e-12 0 0 0 0 
5.96328e-12 6.81475e+06 6.81475e+06 9.3573e-05 9.3573e-05 
7.75577e-12 0 0 0 0 
1.00871e-11 4.02875e+06 4.02875e+06 9.3573e-05 9.3573e-05 
1.31191e-11 1.23905e+06 1.23905e+06 3.74292e-05 3.74292e-05 
1.70626e-11 2.85806e+06 2.85806e+06 0.000112288 0.000112288 
2.21914e-11 2.19752e+06 2.19752e+06 0.000112288 0.000112288 
2.88618e-11 3.37926e+06 3.37926e+06 0.000224575 0.000224575 
3.75374e-11 3.89739e+06 3.89739e+06 0.000336863 0.000336863 
4.88207e-11 2.16424e+06 2.16424e+06 0.00024329 0.00024329 
6.34956e-11 2.94408e+06 2.94408e+06 0.000430436 0.000430436 
8.25816e-11 2.36207e+06 2.36207e+06 0.00044915 0.00044915 
1.07405e-10 2.72423e+06 2.72423e+06 0.000673726 0.000673726 
1.39689e-10 2.03643e+06 2.03643e+06 0.000655011 0.000655011 
1.81678e-10 2.28156e+06 2.28156e+06 0.000954445 0.000954445 
2.36288e-10 2.23581e+06 2.23581e+06 0.00121645 0.00121645 
3.07314e-10 1.13724e+06 1.13724e+06 0.000804728 0.000804728 
3.99689e-10 1.01675e+06 1.01675e+06 0.00093573 0.00093573 
5.19831e-10 953746 953746 0.00114159 0.00114159 
6.76086e-10 1.08195e+06 1.08195e+06 0.00168431 0.00168431 
8.79309e-10 868863 868863 0.00175917 0.00175917 
1.14362e-09 575663 575663 0.00151588 0.00151588 
1.48738e-09 551906 551906 0.00189017 0.00189017 
1.93447e-09 336120 336120 0.00149717 0.00149717 
2.51594e-09 316585 316585 0.00183403 0.00183403 
3.27221e-09 268255 268255 0.00202118 0.00202118 
4.25579e-09 194798 194798 0.00190889 0.00190889 
5.53503e-09 160056 160056 0.00203989 0.00203989 
7.1988e-09 121935 121935 0.00202118 0.00202118 
9.36268e-09 85072.8 85072.8 0.00183403 0.00183403 
1.2177e-08 86769.8 86769.8 0.0024329 0.0024329 
1.58372e-08 49780.2 49780.2 0.00181532 0.00181532 
2.05977e-08 45377.8 45377.8 0.00215218 0.00215218 
2.67892e-08 32159.7 32159.7 0.00198375 0.00198375 
3.48417e-08 25193.6 25193.6 0.00202118 0.00202118 
4.53147e-08 17577.3 17577.3 0.00183403 0.00183403 
5.89357e-08 15997.2 15997.2 0.00217089 0.00217089 
7.66511e-08 13042.2 13042.2 0.0023019 0.0023019 
9.96916e-08 8723.49 8723.49 0.00200246 0.00200246 
1.29658e-07 4513.35 4513.35 0.00134745 0.00134745 
1.68631e-07 3036.46 3036.46 0.00117902 0.00117902 
2.1932e-07 2445.86 2445.86 0.00123516 0.00123516 
2.85245e-07 1823.59 1823.59 0.00119773 0.00119773 
3.70986e-07 1533.58 1533.58 0.00131002 0.00131002 
4.825e-07 1212.83 1212.83 0.00134745 0.00134745 
6.27534e-07 1049.09 1049.09 0.00151588 0.00151588 
8.16163e-07 657.252 657.252 0.00123516 0.00123516 
1.06149e-06 650.829 650.829 0.00159074 0.00159074 
1.38056e-06 441.539 441.539 0.0014036 0.0014036 
1.79555e-06 398.337 398.337 0.00164688 0.00164688 
