berea_generated_47-1-X/processor0	effPorosity= 0.218199 		K_x= 2.74185e-13 m^2 		FF_x= 21.6475 		DarcyVelocity= 1.07103e-06 m/s 		DelP= 1 Pa 		K: 2.74185e-13 m^2 			K=( 2.74185e-13  0  0 ) Pmax-Pmin: 1.01817 Umax= 0.000201314		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.66077e-12/(0.000256*0.000256*0.000256)= 0.218199		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.07103e-06*sqrt(2.74185e-13 )/0.001)= 5.60822e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
1.07601e-12 7.89615e+06 7.89615e+06 1.95636e-05 1.95636e-05 
1.39162e-12 0 0 0 0 
1.79981e-12 0 0 0 0 
2.32772e-12 0 0 0 0 
3.01047e-12 5.64456e+06 5.64456e+06 3.91272e-05 3.91272e-05 
3.89348e-12 8.72883e+06 8.72883e+06 7.82545e-05 7.82545e-05 
5.03549e-12 1.01238e+07 1.01238e+07 0.000117382 0.000117382 
6.51247e-12 7.82779e+06 7.82779e+06 0.000117382 0.000117382 
8.42267e-12 8.07001e+06 8.07001e+06 0.000156509 0.000156509 
1.08932e-11 1.55995e+07 1.55995e+07 0.000391272 0.000391272 
1.40883e-11 7.84006e+06 7.84006e+06 0.000254327 0.000254327 
1.82205e-11 8.85984e+06 8.85984e+06 0.000371709 0.000371709 
2.35649e-11 7.5716e+06 7.5716e+06 0.000410836 0.000410836 
3.04768e-11 9.1998e+06 9.1998e+06 0.0006456 0.0006456 
3.94161e-11 8.62225e+06 8.62225e+06 0.000782545 0.000782545 
5.09773e-11 7.83347e+06 7.83347e+06 0.00091949 0.00091949 
6.59297e-11 8.6343e+06 8.6343e+06 0.00131076 0.00131076 
8.52678e-11 7.77219e+06 7.77219e+06 0.00152596 0.00152596 
1.10278e-10 6.62587e+06 6.62587e+06 0.00168247 0.00168247 
1.42624e-10 6.43375e+06 6.43375e+06 0.00211287 0.00211287 
1.84458e-10 7.508e+06 7.508e+06 0.00318887 0.00318887 
2.38562e-10 5.27102e+06 5.27102e+06 0.00289542 0.00289542 
3.08535e-10 5.7554e+06 5.7554e+06 0.0040888 0.0040888 
3.99033e-10 4.98243e+06 4.98243e+06 0.00457789 0.00457789 
5.16075e-10 4.41221e+06 4.41221e+06 0.00524305 0.00524305 
6.67447e-10 4.06076e+06 4.06076e+06 0.0062408 0.0062408 
8.63218e-10 3.45478e+06 3.45478e+06 0.00686683 0.00686683 
1.11641e-09 3.44752e+06 3.44752e+06 0.00886232 0.00886232 
1.44387e-09 3.05402e+06 3.05402e+06 0.0101535 0.0101535 
1.86738e-09 2.72084e+06 2.72084e+06 0.011699 0.011699 
2.41511e-09 2.29374e+06 2.29374e+06 0.0127555 0.0127555 
3.12349e-09 1.95851e+06 1.95851e+06 0.0140858 0.0140858 
4.03965e-09 1.2977e+06 1.2977e+06 0.0120708 0.0120708 
5.22454e-09 741567 741567 0.00892101 0.00892101 
6.75697e-09 330702 330702 0.00514523 0.00514523 
8.73888e-09 233340 233340 0.00469527 0.00469527 
1.13021e-08 162378 162378 0.00422574 0.00422574 
1.46172e-08 103464 103464 0.00348232 0.00348232 
1.89046e-08 81797 81797 0.00356058 0.00356058 
2.44496e-08 51083.3 51083.3 0.00287585 0.00287585 
3.1621e-08 32780.7 32780.7 0.00238676 0.00238676 
4.08959e-08 29085.9 29085.9 0.00273891 0.00273891 
5.28912e-08 19758.6 19758.6 0.00240633 0.00240633 
6.84049e-08 14035.4 14035.4 0.00221069 0.00221069 
8.84691e-08 10948.3 10948.3 0.00223025 0.00223025 
1.14418e-07 9430.66 9430.66 0.00248458 0.00248458 
1.47979e-07 8153.1 8153.1 0.00277803 0.00277803 
1.91383e-07 5504.93 5504.93 0.00242589 0.00242589 
2.47518e-07 5286.24 5286.24 0.0030128 0.0030128 
3.20119e-07 3291.12 3291.12 0.00242589 0.00242589 
4.14014e-07 2606.29 2606.29 0.00248458 0.00248458 
5.3545e-07 1888.26 1888.26 0.00232807 0.00232807 
6.92505e-07 1644.05 1644.05 0.00262153 0.00262153 
8.95626e-07 1157.35 1157.35 0.00238676 0.00238676 
1.15833e-06 960.891 960.891 0.00256283 0.00256283 
1.49808e-06 720.282 720.282 0.00248458 0.00248458 
1.93749e-06 635.862 635.862 0.00283673 0.00283673 
2.50578e-06 505.216 505.216 0.00291498 0.00291498 
3.24076e-06 424.719 424.719 0.00316931 0.00316931 
4.19132e-06 312.179 312.179 0.0030128 0.0030128 
5.42069e-06 296.238 296.238 0.00369752 0.00369752 
7.01065e-06 242.385 242.385 0.00391272 0.00391272 
9.06697e-06 170.546 170.546 0.00356058 0.00356058 
1.17264e-05 136.94 136.94 0.00369752 0.00369752 
1.5166e-05 128.292 128.292 0.00448007 0.00448007 
1.96144e-05 100.063 100.063 0.0045192 0.0045192 
2.53675e-05 98.8047 98.8047 0.00577127 0.00577127 
3.28082e-05 73.2889 73.2889 0.00553651 0.00553651 
4.24313e-05 53.4637 53.4637 0.00522349 0.00522349 
5.48769e-05 54.0342 54.0342 0.0068277 0.0068277 
7.09731e-05 41.3008 41.3008 0.00674945 0.00674945 
9.17905e-05 34.8961 34.8961 0.00737549 0.00737549 
0.000118714 28.2702 28.2702 0.00772763 0.00772763 
0.000153534 26.3412 26.3412 0.00931228 0.00931228 
0.000198568 21.3085 21.3085 0.00974268 0.00974268 
0.000256811 17.0383 17.0383 0.0100753 0.0100753 
0.000332137 14.709 14.709 0.0112491 0.0112491 
0.000429558 11.9072 11.9072 0.0117773 0.0117773 
0.000555553 9.80316 9.80316 0.0125403 0.0125403 
0.000718504 7.91098 7.91098 0.0130881 0.0130881 
0.000929252 6.60142 6.60142 0.0141249 0.0141249 
0.00120181 5.71226 5.71226 0.0158074 0.0158074 
0.00155432 4.62995 4.62995 0.0165704 0.0165704 
0.00201023 4.09555 4.09555 0.0189572 0.0189572 
0.00259985 3.14057 3.14057 0.0188006 0.0188006 
0.00336243 2.78207 2.78207 0.0215395 0.0215395 
0.00434867 2.35431 2.35431 0.0235742 0.0235742 
0.0056242 2.01223 2.01223 0.0260587 0.0260587 
0.00727386 1.75444 1.75444 0.0293846 0.0293846 
0.00940738 1.45318 1.45318 0.0314779 0.0314779 
0.0121667 1.27934 1.27934 0.0358406 0.0358406 
0.0157354 1.09773 1.09773 0.0397728 0.0397728 
0.0203508 0.976942 0.976942 0.0457789 0.0457789 
0.0263199 0.853514 0.853514 0.0517262 0.0517262 
0.0340399 0.770017 0.770017 0.0603538 0.0603538 
0.0440243 0.673931 0.673931 0.0683162 0.0683162 
0.0569372 0.598237 0.598237 0.0784306 0.0784306 
0.0736377 0.523136 0.523136 0.0887015 0.0887015 
0.0952367 0.468905 0.468905 0.102826 0.102826 
0.123171 0.428368 0.428368 0.12149 0.12149 
0.159299 0.37682 0.37682 0.138217 0.138217 
0.206023 0.329342 0.329342 0.156235 0.156235 
0.266453 0.287111 0.287111 0.176151 0.176151 
0.344607 0.256686 0.256686 0.203677 0.203677 
0.445685 0.227849 0.227849 0.233824 0.233824 
0.57641 0.204976 0.204976 0.272052 0.272052 
0.74548 0.180908 0.180908 0.310533 0.310533 
0.964139 0.156341 0.156341 0.347078 0.347078 
1.24693 0.133251 0.133251 0.382586 0.382586 
1.61268 0.112356 0.112356 0.417214 0.417214 
2.0857 0.0958363 0.0958363 0.460254 0.460254 
2.69746 0.0748479 0.0748479 0.46489 0.46489 
3.48867 0.0595363 0.0595363 0.478252 0.478252 
4.51194 0.0460848 0.0460848 0.478781 0.478781 
5.83535 0.0362767 0.0362767 0.487428 0.487428 
7.54695 0.026346 0.026346 0.457828 0.457828 
9.76057 0.0184724 0.0184724 0.41516 0.41516 
12.6235 0.0132849 0.0132849 0.386147 0.386147 
16.3261 0.00929723 0.00929723 0.349504 0.349504 
21.1148 0.0060624 0.0060624 0.294746 0.294746 
27.3081 0.00384806 0.00384806 0.241963 0.241963 
35.3179 0.00241338 0.00241338 0.196262 0.196262 
45.6771 0.0013841 0.0013841 0.145573 0.145573 
59.0749 0.00076126 0.00076126 0.10355 0.10355 
76.4023 0.000304259 0.000304259 0.0535261 0.0535261 
98.8122 0.000109373 0.000109373 0.0248849 0.0248849 
127.795 3.84944e-05 3.84944e-05 0.0113273 0.0113273 
165.279 2.55489e-05 2.55489e-05 0.00972312 0.00972312 




x=U_x/U_D 	 PDF 	 dV/Vdx
-35.4291 3.80064e-06 3.80064e-06 
-33.7041 5.06752e-06 5.06752e-06 
-31.9792 0 0 
-30.2542 3.80064e-06 3.80064e-06 
-28.5292 1.26688e-06 1.26688e-06 
-26.8043 7.60129e-06 7.60129e-06 
-25.0793 5.06752e-06 5.06752e-06 
-23.3543 1.26688e-05 1.26688e-05 
-21.6293 3.80064e-06 3.80064e-06 
-19.9044 5.06752e-06 5.06752e-06 
-18.1794 7.60129e-06 7.60129e-06 
-16.4544 6.33441e-06 6.33441e-06 
-14.7295 1.52026e-05 1.52026e-05 
-13.0045 1.39357e-05 1.39357e-05 
-11.2795 2.40707e-05 2.40707e-05 
-9.55455 4.81415e-05 4.81415e-05 
-7.82958 0.000168495 0.000168495 
-6.1046 0.000290116 0.000290116 
-4.37963 0.000481415 0.000481415 
-2.65466 0.00111739 0.00111739 
-0.92969 0.00554641 0.00554641 
0.795282 0.249062 0.249062 
2.52025 0.110917 0.110917 
4.24522 0.0561368 0.0561368 
5.9702 0.0312502 0.0312502 
7.69517 0.0217929 0.0217929 
9.42014 0.0168077 0.0168077 
11.1451 0.0130223 0.0130223 
12.8701 0.0103707 0.0103707 
14.5951 0.00831961 0.00831961 
16.32 0.00700459 0.00700459 
18.045 0.0059252 0.0059252 
19.77 0.00487242 0.00487242 
21.4949 0.00428839 0.00428839 
23.2199 0.00364102 0.00364102 
24.9449 0.00317354 0.00317354 
26.6699 0.00273013 0.00273013 
28.3948 0.00244635 0.00244635 
30.1198 0.0021841 0.0021841 
31.8448 0.00189905 0.00189905 
33.5697 0.00167862 0.00167862 
35.2947 0.00141257 0.00141257 
37.0197 0.00132389 0.00132389 
38.7447 0.00119847 0.00119847 
40.4696 0.00096663 0.00096663 
42.1946 0.000902019 0.000902019 
43.9196 0.000834875 0.000834875 
45.6445 0.000717055 0.000717055 
47.3695 0.000635974 0.000635974 
49.0945 0.000534624 0.000534624 
50.8195 0.00051182 0.00051182 
52.5444 0.000406669 0.000406669 
54.2694 0.000406669 0.000406669 
55.9944 0.000347125 0.000347125 
57.7193 0.000288849 0.000288849 
59.4443 0.000245775 0.000245775 
61.1693 0.00029645 0.00029645 
62.8943 0.000248309 0.000248309 
64.6192 0.000181164 0.000181164 
66.3442 0.000165961 0.000165961 
68.0692 0.000155826 0.000155826 
69.7941 0.000165961 0.000165961 
71.5191 0.000131756 0.000131756 
73.2441 0.000124154 0.000124154 
74.9691 0.000114019 0.000114019 
76.694 0.000119087 0.000119087 
78.419 0.000114019 0.000114019 
80.144 9.50161e-05 9.50161e-05 
81.8689 9.37492e-05 9.37492e-05 
83.5939 5.95434e-05 5.95434e-05 
85.3189 8.4881e-05 8.4881e-05 
87.0439 7.22122e-05 7.22122e-05 
88.7688 7.98135e-05 7.98135e-05 
90.4938 5.44759e-05 5.44759e-05 
92.2188 6.71447e-05 6.71447e-05 
93.9437 4.81415e-05 4.81415e-05 
95.6687 5.3209e-05 5.3209e-05 
97.3937 6.33441e-05 6.33441e-05 
99.1187 3.80064e-05 3.80064e-05 
100.844 4.68746e-05 4.68746e-05 
102.569 3.42058e-05 3.42058e-05 
104.294 3.54727e-05 3.54727e-05 
106.019 4.56077e-05 4.56077e-05 
107.744 3.1672e-05 3.1672e-05 
109.468 2.40707e-05 2.40707e-05 
111.193 3.1672e-05 3.1672e-05 
112.918 2.78714e-05 2.78714e-05 
114.643 3.54727e-05 3.54727e-05 
116.368 2.40707e-05 2.40707e-05 
118.093 2.1537e-05 2.1537e-05 
119.818 2.66045e-05 2.66045e-05 
121.543 2.91383e-05 2.91383e-05 
123.268 3.29389e-05 3.29389e-05 
124.993 2.53376e-05 2.53376e-05 
126.718 3.04051e-05 3.04051e-05 
128.443 2.02701e-05 2.02701e-05 
130.168 3.1672e-05 3.1672e-05 
131.893 3.1672e-05 3.1672e-05 
133.618 2.78714e-05 2.78714e-05 
135.343 2.66045e-05 2.66045e-05 
137.068 2.53376e-05 2.53376e-05 
138.793 1.0135e-05 1.0135e-05 
140.518 2.1537e-05 2.1537e-05 
142.243 1.26688e-05 1.26688e-05 
143.968 2.40707e-05 2.40707e-05 
145.693 1.52026e-05 1.52026e-05 
147.418 2.1537e-05 2.1537e-05 
149.143 2.28039e-05 2.28039e-05 
150.868 2.53376e-05 2.53376e-05 
152.593 1.64695e-05 1.64695e-05 
154.318 2.02701e-05 2.02701e-05 
156.043 2.40707e-05 2.40707e-05 
157.768 1.52026e-05 1.52026e-05 
159.493 3.04051e-05 3.04051e-05 
161.218 1.26688e-05 1.26688e-05 
162.943 2.40707e-05 2.40707e-05 
164.668 8.86817e-06 8.86817e-06 
166.393 1.77363e-05 1.77363e-05 
168.118 1.14019e-05 1.14019e-05 
169.842 8.86817e-06 8.86817e-06 
171.567 1.26688e-05 1.26688e-05 
173.292 8.86817e-06 8.86817e-06 
175.017 5.06752e-06 5.06752e-06 
176.742 1.39357e-05 1.39357e-05 
178.467 6.33441e-06 6.33441e-06 
180.192 5.06752e-06 5.06752e-06 
181.917 2.53376e-06 2.53376e-06 
183.642 6.33441e-06 6.33441e-06 




x=U_y/U_D 	 PDF 	 dV/Vdx
-92.4188 1.39092e-06 1.39092e-06 
-90.8477 1.39092e-06 1.39092e-06 
-89.2765 4.17277e-06 4.17277e-06 
-87.7054 2.78184e-06 2.78184e-06 
-86.1343 1.39092e-06 1.39092e-06 
-84.5631 1.39092e-06 1.39092e-06 
-82.992 0 0 
-81.4208 5.56369e-06 5.56369e-06 
-79.8497 0 0 
-78.2786 1.39092e-06 1.39092e-06 
-76.7074 2.78184e-06 2.78184e-06 
-75.1363 1.39092e-06 1.39092e-06 
-73.5651 1.39092e-06 1.39092e-06 
-71.994 2.78184e-06 2.78184e-06 
-70.4229 4.17277e-06 4.17277e-06 
-68.8517 2.78184e-06 2.78184e-06 
-67.2806 2.78184e-06 2.78184e-06 
-65.7094 6.95461e-06 6.95461e-06 
-64.1383 4.17277e-06 4.17277e-06 
-62.5672 1.39092e-05 1.39092e-05 
-60.996 2.92094e-05 2.92094e-05 
-59.4249 5.14641e-05 5.14641e-05 
-57.8537 5.56369e-05 5.56369e-05 
-56.2826 6.95461e-05 6.95461e-05 
-54.7115 9.041e-05 9.041e-05 
-53.1403 9.18009e-05 9.18009e-05 
-51.5692 0.000129356 0.000129356 
-49.998 0.000118228 0.000118228 
-48.4269 0.000153001 0.000153001 
-46.8558 0.000154392 0.000154392 
-45.2846 0.00016552 0.00016552 
-43.7135 0.000184993 0.000184993 
-42.1423 0.000193338 0.000193338 
-40.5712 0.000176647 0.000176647 
-39.0001 0.000248975 0.000248975 
-37.4289 0.000285139 0.000285139 
-35.8578 0.000306003 0.000306003 
-34.2866 0.000379722 0.000379722 
-32.7155 0.000365813 0.000365813 
-31.1444 0.000449268 0.000449268 
-29.5732 0.000563324 0.000563324 
-28.0021 0.000580015 0.000580015 
-26.4309 0.000643997 0.000643997 
-24.8598 0.000770571 0.000770571 
-23.2887 0.000916618 0.000916618 
-21.7175 0.00105015 0.00105015 
-20.1464 0.00131859 0.00131859 
-18.5752 0.00151471 0.00151471 
-17.0041 0.0018235 0.0018235 
