berea_generated_51-1-X/processor0	effPorosity= 0.167162 		K_x= 8.65811e-14 m^2 		FF_x= 37.4944 		DarcyVelocity= 3.38207e-07 m/s 		DelP= 1 Pa 		K: 8.65811e-14 m^2 			K=( 8.65811e-14  0  0 ) Pmax-Pmin: 1.00566 Umax= 9.64172e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.80451e-12/(0.000256*0.000256*0.000256)= 0.167162		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.38207e-07*sqrt(8.65811e-14 )/0.001)= 9.95163e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
5.90614e-13 1.82133e+07 1.82133e+07 2.4769e-05 2.4769e-05 
7.69962e-13 1.39709e+07 1.39709e+07 2.4769e-05 2.4769e-05 
1.00377e-12 0 0 0 0 
1.30858e-12 0 0 0 0 
1.70596e-12 0 0 0 0 
2.22399e-12 0 0 0 0 
2.89934e-12 0 0 0 0 
3.77977e-12 2.84595e+06 2.84595e+06 2.4769e-05 2.4769e-05 
4.92756e-12 2.18304e+06 2.18304e+06 2.4769e-05 2.4769e-05 
6.42388e-12 0 0 0 0 
8.37459e-12 1.28448e+06 1.28448e+06 2.4769e-05 2.4769e-05 
1.09177e-11 0 0 0 0 
1.4233e-11 3.02313e+06 3.02313e+06 9.9076e-05 9.9076e-05 
1.8555e-11 1.73921e+06 1.73921e+06 7.4307e-05 7.4307e-05 
2.41896e-11 889395 889395 4.9538e-05 4.9538e-05 
3.15351e-11 0 0 0 0 
4.11112e-11 1.30829e+06 1.30829e+06 0.000123845 0.000123845 
5.35952e-11 802836 802836 9.9076e-05 9.9076e-05 
6.98702e-11 1.23166e+06 1.23166e+06 0.000198152 0.000198152 
9.10873e-11 1.41715e+06 1.41715e+06 0.000297228 0.000297228 
1.18747e-10 1.53999e+06 1.53999e+06 0.000421073 0.000421073 
1.54807e-10 1.5982e+06 1.5982e+06 0.000569687 0.000569687 
2.01816e-10 1.27923e+06 1.27923e+06 0.000594456 0.000594456 
2.63101e-10 1.431e+06 1.431e+06 0.000866915 0.000866915 
3.42995e-10 1.31721e+06 1.31721e+06 0.0010403 0.0010403 
4.47151e-10 1.10661e+06 1.10661e+06 0.00113937 0.00113937 
5.82935e-10 1.07029e+06 1.07029e+06 0.0014366 0.0014366 
7.59952e-10 764364 764364 0.00133753 0.00133753 
9.90723e-10 705755 705755 0.00160998 0.00160998 
1.29157e-09 882836 882836 0.00262551 0.00262551 
1.68378e-09 632475 632475 0.00245213 0.00245213 
2.19508e-09 617466 617466 0.00312089 0.00312089 
2.86165e-09 481156 481156 0.00317043 0.00317043 
3.73063e-09 426748 426748 0.00366581 0.00366581 
4.86349e-09 384852 384852 0.0043098 0.0043098 
6.34037e-09 307084 307084 0.00448319 0.00448319 
8.26571e-09 206923 206923 0.00393827 0.00393827 
1.07757e-08 150738 150738 0.00374012 0.00374012 
1.40479e-08 115626 115626 0.00374012 0.00374012 
1.83138e-08 82819.6 82819.6 0.00349243 0.00349243 
2.38751e-08 49110.5 49110.5 0.00269982 0.00269982 
3.11251e-08 35943.1 35943.1 0.00257597 0.00257597 
4.05767e-08 25450 25450 0.00237782 0.00237782 
5.28984e-08 24402.3 24402.3 0.00297228 0.00297228 
6.89618e-08 15442.6 15442.6 0.00245213 0.00245213 
8.99031e-08 13401 13401 0.00277413 0.00277413 
1.17204e-07 9269.86 9269.86 0.00250167 0.00250167 
1.52794e-07 8448.26 8448.26 0.00297228 0.00297228 
1.99192e-07 6426.39 6426.39 0.00294751 0.00294751 
2.5968e-07 4266.69 4266.69 0.00255121 0.00255121 
3.38536e-07 4289.65 4289.65 0.00334381 0.00334381 
4.41337e-07 3022.34 3022.34 0.00307135 0.00307135 
5.75356e-07 3122.28 3122.28 0.00413642 0.00413642 
7.50072e-07 2308.96 2308.96 0.00398781 0.00398781 
9.77842e-07 2288.16 2288.16 0.00515195 0.00515195 
1.27478e-06 1696.11 1696.11 0.00497857 0.00497857 
1.66188e-06 1242.78 1242.78 0.00475565 0.00475565 
2.16654e-06 1141.97 1141.97 0.00569687 0.00569687 
2.82444e-06 837.881 837.881 0.00544918 0.00544918 
3.68213e-06 628.105 628.105 0.00532533 0.00532533 
4.80026e-06 484.04 484.04 0.0053501 0.0053501 
6.25794e-06 367.854 367.854 0.00530056 0.00530056 
8.15825e-06 312.496 312.496 0.00587025 0.00587025 
1.06356e-05 245.774 245.774 0.00601886 0.00601886 
1.38653e-05 188.525 188.525 0.00601886 0.00601886 
1.80757e-05 151.158 151.158 0.00629132 0.00629132 
2.35647e-05 118.231 118.231 0.00641517 0.00641517 
3.07204e-05 107.849 107.849 0.00762885 0.00762885 
4.00491e-05 77.8928 77.8928 0.00718301 0.00718301 
5.22107e-05 57.6888 57.6888 0.00693532 0.00693532 
6.80652e-05 47.8862 47.8862 0.007505 0.007505 
8.87343e-05 44.2481 44.2481 0.00904068 0.00904068 
0.00011568 30.5936 30.5936 0.008149 0.008149 
0.000150808 28.1752 28.1752 0.00978375 0.00978375 
0.000196603 21.6123 21.6123 0.00978375 0.00978375 
0.000256304 17.0817 17.0817 0.010081 0.010081 
0.000334135 14.7125 14.7125 0.0113194 0.0113194 
0.0004356 11.6065 11.6065 0.0116414 0.0116414 
0.000567876 9.71754 9.71754 0.0127065 0.0127065 
0.00074032 8.20959 8.20959 0.0139945 0.0139945 
0.000965129 6.64283 6.64283 0.0147623 0.0147623 
0.00125821 5.37764 5.37764 0.0155797 0.0155797 
0.00164028 4.7218 4.7218 0.0178337 0.0178337 
0.00213837 3.96904 3.96904 0.0195427 0.0195427 
0.00278772 3.141 3.141 0.020162 0.020162 
0.00363426 2.61063 2.61063 0.0218462 0.0218462 
0.00473785 2.15238 2.15238 0.023481 0.023481 
0.00617658 1.79732 1.79732 0.0255616 0.0255616 
0.00805219 1.34794 1.34794 0.0249919 0.0249919 
0.0104974 1.07802 1.07802 0.026057 0.026057 
0.013685 0.889016 0.889016 0.0280137 0.0280137 
0.0178407 0.723539 0.723539 0.0297228 0.0297228 
0.0232583 0.615129 0.615129 0.0329428 0.0329428 
0.030321 0.497744 0.497744 0.0347509 0.0347509 
0.0395285 0.409562 0.409562 0.0372773 0.0372773 
0.0515319 0.354032 0.354032 0.0420082 0.0420082 
0.0671803 0.30279 0.30279 0.0468382 0.0468382 
0.0875806 0.264072 0.264072 0.0532533 0.0532533 
0.114176 0.236196 0.236196 0.0620959 0.0620959 
0.148847 0.198379 0.198379 0.0679909 0.0679909 
0.194047 0.174788 0.174788 0.0780966 0.0780966 
0.252972 0.158142 0.158142 0.0921159 0.0921159 
0.32979 0.140452 0.140452 0.106655 0.106655 
0.429936 0.125075 0.125075 0.12382 0.12382 
0.560493 0.111871 0.111871 0.144378 0.144378 
0.730695 0.103213 0.103213 0.173655 0.173655 
0.952582 0.0901707 0.0901707 0.19778 0.19778 
1.24185 0.0831737 0.0831737 0.237832 0.237832 
1.61895 0.0739526 0.0739526 0.275679 0.275679 
2.11057 0.0649019 0.0649019 0.315408 0.315408 
2.75148 0.05636 0.05636 0.35707 0.35707 
3.58701 0.0493857 0.0493857 0.407896 0.407896 
4.67626 0.0425013 0.0425013 0.457632 0.457632 
6.09627 0.0359399 0.0359399 0.504495 0.504495 
7.9475 0.0295404 0.0295404 0.540583 0.540583 
10.3609 0.0244152 0.0244152 0.582468 0.582468 
13.5071 0.0192243 0.0192243 0.597899 0.597899 
17.6087 0.014805 0.014805 0.600276 0.600276 
22.9559 0.0106484 0.0106484 0.562851 0.562851 
29.9268 0.00645275 0.00645275 0.444653 0.444653 
39.0145 0.00390886 0.00390886 0.35115 0.35115 
50.8619 0.00207265 0.00207265 0.242736 0.242736 
66.3069 0.00105337 0.00105337 0.160825 0.160825 
86.442 0.000514693 0.000514693 0.102445 0.102445 
112.691 0.000210957 0.000210957 0.0547395 0.0547395 
146.912 7.35139e-05 7.35139e-05 0.0248681 0.0248681 
191.524 1.98826e-05 1.98826e-05 0.00876822 0.00876822 
249.683 5.34227e-06 5.34227e-06 0.00307135 0.00307135 




x=U_x/U_D 	 PDF 	 dV/Vdx
-31.7078 1.19003e-06 1.19003e-06 
-29.3108 0 0 
-26.9137 1.30903e-05 1.30903e-05 
-24.5167 3.80808e-05 3.80808e-05 
-22.1196 7.49716e-05 7.49716e-05 
-19.7226 9.0442e-05 9.0442e-05 
-17.3255 0.000148753 0.000148753 
-14.9285 0.000214205 0.000214205 
-12.5314 0.000383188 0.000383188 
-10.1344 0.000734246 0.000734246 
-7.73736 0.00168389 0.00168389 
-5.34031 0.00340466 0.00340466 
-2.94327 0.00642733 0.00642733 
-0.54622 0.0212991 0.0212991 
1.85083 0.168848 0.168848 
4.24787 0.0547733 0.0547733 
6.64492 0.0326198 0.0326198 
9.04196 0.0238362 0.0238362 
11.439 0.0185596 0.0185596 
13.8361 0.0143838 0.0143838 
16.2331 0.0112196 0.0112196 
18.6301 0.00895494 0.00895494 
21.0272 0.00722703 0.00722703 
23.4242 0.00591562 0.00591562 
25.8213 0.00513496 0.00513496 
28.2183 0.00413415 0.00413415 
30.6154 0.00349511 0.00349511 
33.0124 0.00308931 0.00308931 
35.4095 0.00249191 0.00249191 
37.8065 0.00217061 0.00217061 
40.2036 0.00187072 0.00187072 
42.6006 0.00160177 0.00160177 
44.9976 0.00132569 0.00132569 
47.3947 0.00121264 0.00121264 
49.7917 0.00109839 0.00109839 
52.1888 0.00092584 0.00092584 
54.5858 0.000775897 0.000775897 
56.9829 0.000706875 0.000706875 
59.3799 0.000605723 0.000605723 
61.777 0.000537892 0.000537892 
64.174 0.00045935 0.00045935 
66.5711 0.0004653 0.0004653 
68.9681 0.000411749 0.000411749 
71.3652 0.000371288 0.000371288 
73.7622 0.000311787 0.000311787 
76.1592 0.000318927 0.000318927 
78.5563 0.000254666 0.000254666 
80.9533 0.000255856 0.000255856 
83.3504 0.000213015 0.000213015 
85.7474 0.000184454 0.000184454 
88.1445 0.000183264 0.000183264 
90.5415 0.000152323 0.000152323 
92.9386 0.000129713 0.000129713 
95.3356 0.000123763 0.000123763 
97.7327 9.99622e-05 9.99622e-05 
100.13 0.000110672 0.000110672 
102.527 8.44918e-05 8.44918e-05 
104.924 8.44918e-05 8.44918e-05 
107.321 7.61616e-05 7.61616e-05 
109.718 7.73517e-05 7.73517e-05 
112.115 6.54514e-05 6.54514e-05 
114.512 4.6411e-05 4.6411e-05 
116.909 4.87911e-05 4.87911e-05 
119.306 6.30714e-05 6.30714e-05 
121.703 4.28409e-05 4.28409e-05 
124.1 3.57008e-05 3.57008e-05 
126.497 4.5221e-05 4.5221e-05 
128.894 3.45107e-05 3.45107e-05 
131.291 4.16509e-05 4.16509e-05 
133.688 3.09407e-05 3.09407e-05 
136.085 3.45107e-05 3.45107e-05 
138.482 2.02304e-05 2.02304e-05 
140.879 1.66604e-05 1.66604e-05 
143.277 1.78504e-05 1.78504e-05 
145.674 1.54703e-05 1.54703e-05 
148.071 2.02304e-05 2.02304e-05 
150.468 1.54703e-05 1.54703e-05 
152.865 9.52021e-06 9.52021e-06 
155.262 1.66604e-05 1.66604e-05 
157.659 1.19003e-05 1.19003e-05 
160.056 1.19003e-05 1.19003e-05 
162.453 8.33018e-06 8.33018e-06 
164.85 1.19003e-05 1.19003e-05 
167.247 8.33018e-06 8.33018e-06 
169.644 5.95013e-06 5.95013e-06 
172.041 8.33018e-06 8.33018e-06 
174.438 2.38005e-06 2.38005e-06 
