berea_generated_56-1-Y/processor0	effPorosity= 0.192969 		K_y= 8.94989e-14 m^2 		FF_y= 40.9679 		DarcyVelocity= 3.49605e-07 m/s 		DelP= 1 Pa 		K: 8.94989e-14 m^2 			K=( 0  8.94989e-14  0 ) Pmax-Pmin: 1.00605 Umax= 0.000159292		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.23749e-12/(0.000256*0.000256*0.000256)= 0.192969		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.49605e-07*sqrt(8.94989e-14 )/0.001)= 1.04589e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
2.24638e-13 3.97923e+07 3.97923e+07 2.05825e-05 2.05825e-05 
2.96169e-13 0 0 0 0 
3.90477e-13 0 0 0 0 
5.14815e-13 0 0 0 0 
6.78746e-13 0 0 0 0 
8.94876e-13 2.99668e+07 2.99668e+07 6.17475e-05 6.17475e-05 
1.17983e-12 1.51528e+07 1.51528e+07 4.1165e-05 4.1165e-05 
1.55552e-12 1.14931e+07 1.14931e+07 4.1165e-05 4.1165e-05 
2.05084e-12 1.74346e+07 1.74346e+07 8.233e-05 8.233e-05 
2.70388e-12 3.30595e+07 3.30595e+07 0.000205825 0.000205825 
3.56486e-12 4.51349e+07 4.51349e+07 0.000370485 0.000370485 
4.70001e-12 4.75471e+07 4.75471e+07 0.000514563 0.000514563 
6.19662e-12 4.18337e+07 4.18337e+07 0.000596893 0.000596893 
8.16978e-12 4.92362e+07 4.92362e+07 0.000926213 0.000926213 
1.07713e-11 6.39009e+07 6.39009e+07 0.00158485 0.00158485 
1.42011e-11 5.85387e+07 5.85387e+07 0.00191417 0.00191417 
1.87231e-11 4.96521e+07 4.96521e+07 0.00214058 0.00214058 
2.46851e-11 4.20055e+07 4.20055e+07 0.00238757 0.00238757 
3.25454e-11 3.37829e+07 3.37829e+07 0.00253165 0.00253165 
4.29088e-11 2.74986e+07 2.74986e+07 0.00271689 0.00271689 
5.65721e-11 2.19632e+07 2.19632e+07 0.00286097 0.00286097 
7.45861e-11 2.07334e+07 2.07334e+07 0.00356077 0.00356077 
9.83363e-11 1.51805e+07 1.51805e+07 0.00343728 0.00343728 
1.29649e-10 1.35825e+07 1.35825e+07 0.00405475 0.00405475 
1.70933e-10 1.11387e+07 1.11387e+07 0.00438407 0.00438407 
2.25363e-10 8.17086e+06 8.17086e+06 0.00424 0.00424 
2.97124e-10 6.73896e+06 6.73896e+06 0.00461048 0.00461048 
3.91736e-10 5.17982e+06 5.17982e+06 0.00467223 0.00467223 
5.16475e-10 3.68648e+06 3.68648e+06 0.00438407 0.00438407 
6.80935e-10 3.11118e+06 3.11118e+06 0.00487805 0.00487805 
8.97763e-10 2.41951e+06 2.41951e+06 0.00500155 0.00500155 
1.18363e-09 1.8578e+06 1.8578e+06 0.0050633 0.0050633 
1.56053e-09 1.36901e+06 1.36901e+06 0.00491922 0.00491922 
2.05745e-09 1.25994e+06 1.25994e+06 0.00596893 0.00596893 
2.7126e-09 1.01825e+06 1.01825e+06 0.00635999 0.00635999 
3.57636e-09 822313 822313 0.00677164 0.00677164 
4.71517e-09 608542 608542 0.00660698 0.00660698 
6.2166e-09 555030 555030 0.00794485 0.00794485 
8.19614e-09 458060 458060 0.00864465 0.00864465 
1.0806e-08 310205 310205 0.00771844 0.00771844 
1.42469e-08 258499 258499 0.00847999 0.00847999 
1.87835e-08 207012 207012 0.00895339 0.00895339 
2.47647e-08 156653 156653 0.00893281 0.00893281 
3.26504e-08 119092 119092 0.00895339 0.00895339 
4.30472e-08 90328.9 90328.9 0.00895339 0.00895339 
5.67546e-08 71977.7 71977.7 0.0094062 0.0094062 
7.48267e-08 49098.4 49098.4 0.00845941 0.00845941 
9.86535e-08 37058.9 37058.9 0.00841824 0.00841824 
1.30067e-07 29070.6 29070.6 0.0087064 0.0087064 
1.71484e-07 22205.9 22205.9 0.00876815 0.00876815 
2.2609e-07 10635.4 10635.4 0.00553669 0.00553669 
2.98082e-07 6837.24 6837.24 0.00469281 0.00469281 
3.93e-07 5390.62 5390.62 0.00487805 0.00487805 
5.18141e-07 4261.19 4261.19 0.00508388 0.00508388 
6.83131e-07 3676.92 3676.92 0.00578368 0.00578368 
9.00659e-07 2501.05 2501.05 0.00518679 0.00518679 
1.18745e-06 1829.25 1829.25 0.00500155 0.00500155 
1.56557e-06 1318.93 1318.93 0.00475456 0.00475456 
2.06409e-06 965.738 965.738 0.0045899 0.0045899 
2.72135e-06 834.319 834.319 0.00522796 0.00522796 
3.5879e-06 565.547 565.547 0.00467223 0.00467223 
4.73038e-06 489.425 489.425 0.00533087 0.00533087 
6.23666e-06 335.387 335.387 0.00481631 0.00481631 
