berea_generated_62-1-Z/processor0	effPorosity= 0.217409 		K_z= 2.39382e-13 m^2 		FF_z= 23.1373 		DarcyVelocity= 8.95553e-07 m/s 		DelP= 0.957721 Pa 		K: 2.39382e-13 m^2 			K=( 0  0  2.39382e-13 ) Pmax-Pmin: 1.01067 Umax= 0.000226336		 effPorosity= V_pore/(L_x*L_y*L_z)= 3.64752e-12/(0.000256*0.000256*0.000256)= 0.217409		 Re=rho*VDarcy*sqrt(K)/mu= 1000*8.95553e-07*sqrt(2.39382e-13 )/0.001)= 4.38165e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
6.94849e-12 1.28888e+06 1.28888e+06 2.06214e-05 2.06214e-05 
8.87665e-12 2.01782e+06 2.01782e+06 4.12428e-05 4.12428e-05 
1.13399e-11 789758 789758 2.06214e-05 2.06214e-05 
1.44866e-11 618209 618209 2.06214e-05 2.06214e-05 
1.85066e-11 2.90354e+06 2.90354e+06 0.000123728 0.000123728 
2.36421e-11 4.16687e+06 4.16687e+06 0.000226835 0.000226835 
3.02026e-11 4.74437e+06 4.74437e+06 0.000329942 0.000329942 
3.85836e-11 3.94592e+06 3.94592e+06 0.000350564 0.000350564 
4.92904e-11 3.81557e+06 3.81557e+06 0.000433049 0.000433049 
6.29682e-11 3.55567e+06 3.55567e+06 0.000515535 0.000515535 
8.04415e-11 4.4533e+06 4.4533e+06 0.000824856 0.000824856 
1.02764e-10 4.7932e+06 4.7932e+06 0.00113418 0.00113418 
1.3128e-10 3.20629e+06 3.20629e+06 0.000969206 0.000969206 
1.67709e-10 3.73803e+06 3.73803e+06 0.0014435 0.0014435 
2.14248e-10 3.51128e+06 3.51128e+06 0.0017322 0.0017322 
2.737e-10 2.4868e+06 2.4868e+06 0.00156723 0.00156723 
3.4965e-10 2.51012e+06 2.51012e+06 0.0020209 0.0020209 
4.46676e-10 1.36338e+06 1.36338e+06 0.00140226 0.00140226 
5.70627e-10 941676 941676 0.00123728 0.00123728 
7.28972e-10 921409 921409 0.0015466 0.0015466 
9.31258e-10 778964 778964 0.00167033 0.00167033 
1.18968e-09 557064 557064 0.00152598 0.00152598 
1.51981e-09 524450 524450 0.0018353 0.0018353 
1.94154e-09 484334 484334 0.00216525 0.00216525 
2.48031e-09 346631 346631 0.00197965 0.00197965 
3.16858e-09 401352 401352 0.00292824 0.00292824 
4.04785e-09 336296 336296 0.00313445 0.00313445 
5.1711e-09 233805 233805 0.00278389 0.00278389 
6.60605e-09 196575 196575 0.0029901 0.0029901 
8.43919e-09 157059 157059 0.00305197 0.00305197 
1.0781e-08 127097 127097 0.00315507 0.00315507 
1.37727e-08 96887.9 96887.9 0.00307259 0.00307259 
1.75945e-08 73806.1 73806.1 0.0029901 0.0029901 
2.24769e-08 69329 69329 0.00358812 0.00358812 
2.87141e-08 52398.1 52398.1 0.00346439 0.00346439 
3.66822e-08 44190.2 44190.2 0.00373247 0.00373247 
4.68613e-08 34018 34018 0.00367061 0.00367061 
5.9865e-08 31116.7 31116.7 0.00428925 0.00428925 
7.64772e-08 24474.7 24474.7 0.00430987 0.00430987 
9.76992e-08 18791.7 18791.7 0.00422739 0.00422739 
1.2481e-07 13346.4 13346.4 0.00383558 0.00383558 
1.59444e-07 12132.4 12132.4 0.00445422 0.00445422 
2.03689e-07 9848.78 9848.78 0.00461919 0.00461919 
2.60212e-07 7296.45 7296.45 0.00437174 0.00437174 
3.32419e-07 6977.77 6977.77 0.00534094 0.00534094 
4.24663e-07 4723.95 4723.95 0.00461919 0.00461919 
5.42505e-07 4374.66 4374.66 0.00546467 0.00546467 
6.93047e-07 3075.51 3075.51 0.00490789 0.00490789 
8.85364e-07 2609.76 2609.76 0.00532032 0.00532032 
1.13105e-06 1908.26 1908.26 0.00496976 0.00496976 
1.44491e-06 1456.57 1456.57 0.00484603 0.00484603 
1.84586e-06 1183.84 1183.84 0.00503162 0.00503162 
2.35808e-06 960.871 960.871 0.00521721 0.00521721 
3.01243e-06 659.992 659.992 0.00457795 0.00457795 
3.84836e-06 598.081 598.081 0.0052997 0.0052997 
4.91626e-06 460.88 460.88 0.00521721 0.00521721 
6.28049e-06 402.122 402.122 0.00581523 0.00581523 
8.02329e-06 302.496 302.496 0.0055884 0.0055884 
1.02497e-05 246.399 246.399 0.00581523 0.00581523 
1.3094e-05 192.193 192.193 0.00579461 0.00579461 
1.67274e-05 190.6 190.6 0.00734122 0.00734122 
2.13692e-05 160.095 160.095 0.00787737 0.00787737 
2.72991e-05 133.521 133.521 0.00839291 0.00839291 
3.48744e-05 111.451 111.451 0.00894969 0.00894969 
4.45518e-05 100.308 100.308 0.0102901 0.0102901 
5.69147e-05 82.9256 82.9256 0.0108675 0.0108675 
7.27082e-05 73.0421 73.0421 0.0122285 0.0122285 
9.28844e-05 53.6086 53.6086 0.0114655 0.0114655 
0.000118659 41.2846 41.2846 0.0112799 0.0112799 
0.000151587 35.7435 35.7435 0.0124759 0.0124759 
0.000193651 26.7307 26.7307 0.0119192 0.0119192 
0.000247388 20.4899 20.4899 0.0116717 0.0116717 
0.000316037 16.8043 16.8043 0.0122285 0.0122285 
0.000403735 15.5719 15.5719 0.0144762 0.0144762 
0.000515769 11.7727 11.7727 0.0139813 0.0139813 
0.000658892 9.39217 9.39217 0.0142494 0.0142494 
0.000841731 7.91593 7.91593 0.0153423 0.0153423 
0.00107531 6.57956 6.57956 0.0162909 0.0162909 
0.0013737 5.4633 5.4633 0.0172807 0.0172807 
0.00175489 4.6236 4.6236 0.018683 0.018683 
0.00224187 3.47546 3.47546 0.0179406 0.0179406 
0.00286397 2.87063 2.87063 0.0189304 0.0189304 
0.00365871 2.47472 2.47472 0.0208482 0.0208482 
0.00467398 2.1192 2.1192 0.0228073 0.0228073 
0.00597098 1.78486 1.78486 0.0245395 0.0245395 
0.00762789 1.50048 1.50048 0.0263541 0.0263541 
0.00974459 1.33354 1.33354 0.0299216 0.0299216 
0.0124487 1.11797 1.11797 0.0320457 0.0320457 
0.0159031 0.966922 0.966922 0.0354069 0.0354069 
0.0203161 0.82742 0.82742 0.0387064 0.0387064 
0.0259537 0.689443 0.689443 0.0412016 0.0412016 
0.0331557 0.608833 0.608833 0.0464806 0.0464806 
0.0423562 0.508088 0.508088 0.0495532 0.0495532 
0.0541099 0.452341 0.452341 0.0563583 0.0563583 
0.069125 0.383235 0.383235 0.0609981 0.0609981 
0.0883068 0.357594 0.357594 0.072711 0.072711 
0.112811 0.299209 0.299209 0.077722 0.077722 
0.144116 0.270756 0.270756 0.0898474 0.0898474 
0.184107 0.242054 0.242054 0.102612 0.102612 
0.235196 0.21118 0.21118 0.114366 0.114366 
0.300462 0.186709 0.186709 0.129172 0.129172 
0.383838 0.169508 0.169508 0.149814 0.149814 
0.490351 0.158769 0.158769 0.179262 0.179262 
0.626421 0.146241 0.146241 0.210936 0.210936 
0.800249 0.133108 0.133108 0.245271 0.245271 
1.02231 0.119403 0.119403 0.28107 0.28107 
1.306 0.103217 0.103217 0.310393 0.310393 
1.66841 0.0911729 0.0911729 0.350254 0.350254 
2.13138 0.0795789 0.0795789 0.390549 0.390549 
2.72283 0.0714796 0.0714796 0.448144 0.448144 
3.4784 0.0620781 0.0620781 0.497203 0.497203 
4.44363 0.0514978 0.0514978 0.526918 0.526918 
5.67672 0.0424524 0.0424524 0.554901 0.554901 
7.25197 0.03547 0.03547 0.592288 0.592288 
9.26436 0.0275768 0.0275768 0.588267 0.588267 
11.8352 0.0211303 0.0211303 0.575832 0.575832 
15.1194 0.0156804 0.0156804 0.54589 0.54589 
19.3149 0.010727 0.010727 0.477076 0.477076 
24.6747 0.00604245 0.00604245 0.343305 0.343305 
31.5217 0.00325367 0.00325367 0.236156 0.236156 
40.2688 0.00164664 0.00164664 0.152681 0.152681 
51.4432 0.000885074 0.000885074 0.104839 0.104839 
65.7184 0.000379389 0.000379389 0.05741 0.05741 
83.9549 0.00015297 0.00015297 0.0295711 0.0295711 
107.252 5.50279e-05 5.50279e-05 0.0135895 0.0135895 
137.014 1.56873e-05 1.56873e-05 0.00494914 0.00494914 
175.034 3.63277e-06 3.63277e-06 0.00146412 0.00146412 
223.605 1.2416e-06 1.2416e-06 0.000639263 0.000639263 




x=U_x/U_D 	 PDF 	 dV/Vdx
-78.1286 2.71463e-06 2.71463e-06 
-76.5127 0 0 
-74.8969 1.35732e-06 1.35732e-06 
-73.281 0 0 
-71.6651 1.35732e-06 1.35732e-06 
-70.0492 1.35732e-06 1.35732e-06 
-68.4333 1.35732e-06 1.35732e-06 
-66.8174 4.07195e-06 4.07195e-06 
-65.2015 2.71463e-06 2.71463e-06 
-63.5857 2.71463e-06 2.71463e-06 
-61.9698 6.78659e-06 6.78659e-06 
-60.3539 2.71463e-06 2.71463e-06 
-58.738 2.71463e-06 2.71463e-06 
-57.1221 8.1439e-06 8.1439e-06 
-55.5062 8.1439e-06 8.1439e-06 
-53.8903 9.50122e-06 9.50122e-06 
-52.2744 1.76451e-05 1.76451e-05 
-50.6586 2.03598e-05 2.03598e-05 
-49.0427 1.62878e-05 1.62878e-05 
-47.4268 2.30744e-05 2.30744e-05 
-45.8109 2.44317e-05 2.44317e-05 
-44.195 2.17171e-05 2.17171e-05 
-42.5791 3.52902e-05 3.52902e-05 
-40.9632 2.85037e-05 2.85037e-05 
-39.3473 3.93622e-05 3.93622e-05 
-37.7315 5.565e-05 5.565e-05 
-36.1156 6.24366e-05 6.24366e-05 
-34.4997 7.87244e-05 7.87244e-05 
-32.8838 7.60098e-05 7.60098e-05 
-31.2679 9.22976e-05 9.22976e-05 
-29.652 0.000101799 0.000101799 
-28.0361 0.000120801 0.000120801 
-26.4203 0.00014659 0.00014659 
-24.8044 0.000198168 0.000198168 
-23.1885 0.000228029 0.000228029 
-21.5726 0.000336615 0.000336615 
-19.9567 0.000525282 0.000525282 
-18.3408 0.000697661 0.000697661 
-16.7249 0.000884971 0.000884971 
-15.109 0.00102342 0.00102342 
-13.4932 0.00138989 0.00138989 
-11.8773 0.00171022 0.00171022 
-10.2614 0.00251104 0.00251104 
-8.64549 0.00347202 0.00347202 
-7.02961 0.00564508 0.00564508 
-5.41372 0.0111178 0.0111178 
-3.79783 0.020201 0.020201 
-2.18195 0.0345695 0.0345695 
-0.56606 0.0840939 0.0840939 
1.04983 0.267895 0.267895 
2.66571 0.0598685 0.0598685 
4.2816 0.0312373 0.0312373 
5.89749 0.0202878 0.0202878 
7.51338 0.0145314 0.0145314 
9.12926 0.0108965 0.0108965 
10.7451 0.00842894 0.00842894 
12.361 0.00659113 0.00659113 
13.9769 0.00502072 0.00502072 
15.5928 0.00381406 0.00381406 
17.2087 0.00284086 0.00284086 
18.8246 0.00237666 0.00237666 
20.4405 0.00189074 0.00189074 
22.0564 0.00159892 0.00159892 
23.6722 0.00138718 0.00138718 
25.2881 0.00122023 0.00122023 
26.904 0.000937906 0.000937906 
28.5199 0.000760098 0.000760098 
30.1358 0.000704448 0.000704448 
31.7517 0.000654227 0.000654227 
33.3676 0.000557857 0.000557857 
34.9835 0.000540212 0.000540212 
36.5993 0.000434341 0.000434341 
38.2152 0.000439771 0.000439771 
39.8311 0.000422126 0.000422126 
41.447 0.000384121 0.000384121 
43.0629 0.000337972 0.000337972 
44.6788 0.000305396 0.000305396 
46.2947 0.000268749 0.000268749 
47.9105 0.000271463 0.000271463 
49.5264 0.000219885 0.000219885 
51.1423 0.000188667 0.000188667 
52.7582 0.00018188 0.00018188 
54.3741 0.000171022 0.000171022 
55.99 0.000147948 0.000147948 
57.6059 0.000137089 0.000137089 
59.2218 0.000135732 0.000135732 
60.8376 0.000154734 0.000154734 
62.4535 0.000122159 0.000122159 
64.0694 0.000107228 0.000107228 
65.6853 8.82256e-05 8.82256e-05 
67.3012 8.68683e-05 8.68683e-05 
68.9171 6.65085e-05 6.65085e-05 
70.533 7.05805e-05 7.05805e-05 
72.1489 5.83646e-05 5.83646e-05 
73.7647 6.24366e-05 6.24366e-05 
75.3806 4.61488e-05 4.61488e-05 
76.9965 2.71463e-05 2.71463e-05 
78.6124 3.93622e-05 3.93622e-05 
80.2283 3.66476e-05 3.66476e-05 
81.8442 2.44317e-05 2.44317e-05 
83.4601 1.08585e-05 1.08585e-05 
85.0759 2.03598e-05 2.03598e-05 
86.6918 1.08585e-05 1.08585e-05 
88.3077 8.1439e-06 8.1439e-06 
89.9236 1.49305e-05 1.49305e-05 
91.5395 4.07195e-06 4.07195e-06 
93.1554 2.71463e-06 2.71463e-06 
94.7713 8.1439e-06 8.1439e-06 
96.3872 4.07195e-06 4.07195e-06 
98.003 8.1439e-06 8.1439e-06 
99.6189 2.71463e-06 2.71463e-06 
101.235 6.78659e-06 6.78659e-06 
102.851 5.42927e-06 5.42927e-06 
104.467 6.78659e-06 6.78659e-06 
106.082 4.07195e-06 4.07195e-06 
107.698 2.71463e-06 2.71463e-06 
109.314 5.42927e-06 5.42927e-06 
110.93 2.71463e-06 2.71463e-06 
112.546 2.71463e-06 2.71463e-06 
114.162 4.07195e-06 4.07195e-06 
115.778 1.35732e-06 1.35732e-06 
117.394 5.42927e-06 5.42927e-06 
119.01 4.07195e-06 4.07195e-06 
120.625 0 0 
122.241 1.35732e-06 1.35732e-06 
123.857 4.07195e-06 4.07195e-06 
125.473 1.35732e-06 1.35732e-06 
127.089 2.71463e-06 2.71463e-06 




x=U_y/U_D 	 PDF 	 dV/Vdx
-133.569 2.83425e-06 2.83425e-06 
-132.021 2.83425e-06 2.83425e-06 
-130.473 2.83425e-06 2.83425e-06 
-128.926 2.83425e-06 2.83425e-06 
-127.378 1.41712e-06 1.41712e-06 
-125.83 2.83425e-06 2.83425e-06 
-124.283 1.41712e-06 1.41712e-06 
-122.735 1.41712e-06 1.41712e-06 
-121.187 0 0 
-119.639 0 0 
-118.092 4.25137e-06 4.25137e-06 
-116.544 1.41712e-06 1.41712e-06 
-114.996 2.83425e-06 2.83425e-06 
-113.449 0 0 
-111.901 0 0 
-110.353 7.08562e-06 7.08562e-06 
-108.806 2.83425e-06 2.83425e-06 
-107.258 7.08562e-06 7.08562e-06 
-105.71 1.1337e-05 1.1337e-05 
-104.163 1.41712e-06 1.41712e-06 
-102.615 5.6685e-06 5.6685e-06 
-101.067 8.50275e-06 8.50275e-06 
-99.5195 4.25137e-06 4.25137e-06 
-97.9718 4.25137e-06 4.25137e-06 
-96.4241 4.25137e-06 4.25137e-06 
-94.8764 7.08562e-06 7.08562e-06 
-93.3287 4.25137e-06 4.25137e-06 
-91.781 8.50275e-06 8.50275e-06 
-90.2333 9.91987e-06 9.91987e-06 
-88.6856 7.08562e-06 7.08562e-06 
-87.1379 8.50275e-06 8.50275e-06 
-85.5902 7.08562e-06 7.08562e-06 
-84.0425 1.1337e-05 1.1337e-05 
-82.4949 1.1337e-05 1.1337e-05 
-80.9472 7.08562e-06 7.08562e-06 
-79.3995 7.08562e-06 7.08562e-06 
-77.8518 4.25137e-06 4.25137e-06 
-76.3041 9.91987e-06 9.91987e-06 
-74.7564 8.50275e-06 8.50275e-06 
-73.2087 8.50275e-06 8.50275e-06 
-71.661 1.27541e-05 1.27541e-05 
-70.1133 2.12569e-05 2.12569e-05 
-68.5656 9.91987e-06 9.91987e-06 
