ketton_flow_sub0-1-Y/processor0	effPorosity= 0.0944762 		K_y= 8.52553e-15 m^2 		FF_y= 155.518 		DarcyVelocity= 3.33028e-08 m/s 		DelP= 1 Pa 		K: 8.52553e-15 m^2 			K=( 0  8.52553e-15  0 ) Pmax-Pmin: 1.00021 Umax= 8.63401e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.58505e-12/(0.000256*0.000256*0.000256)= 0.0944762		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.33028e-08*sqrt(8.52553e-15 )/0.001)= 3.07498e-09


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.46338e-12 4.24104e+06 4.24104e+06 4.35865e-05 4.35865e-05 
5.82721e-12 3.24844e+06 3.24844e+06 4.35865e-05 4.35865e-05 
7.60777e-12 2.48816e+06 2.48816e+06 4.35865e-05 4.35865e-05 
9.93239e-12 3.81164e+06 3.81164e+06 8.71729e-05 8.71729e-05 
1.29673e-11 2.91955e+06 2.91955e+06 8.71729e-05 8.71729e-05 
1.69296e-11 7.82685e+06 7.82685e+06 0.000305105 0.000305105 
2.21026e-11 3.42572e+06 3.42572e+06 0.000174346 0.000174346 
2.88563e-11 1.96796e+06 1.96796e+06 0.000130759 0.000130759 
3.76736e-11 1.50737e+06 1.50737e+06 0.000130759 0.000130759 
4.91851e-11 2.30916e+06 2.30916e+06 0.000261519 0.000261519 
6.42141e-11 884356 884356 0.000130759 0.000130759 
8.38353e-11 2.25792e+06 2.25792e+06 0.000435865 0.000435865 
1.09452e-10 2.9401e+06 2.9401e+06 0.00074097 0.00074097 
1.42896e-10 2.78186e+06 2.78186e+06 0.000915316 0.000915316 
1.86559e-10 3.8557e+06 3.8557e+06 0.00165629 0.00165629 
2.43564e-10 2.17611e+06 2.17611e+06 0.00122042 0.00122042 
3.17987e-10 1.72633e+06 1.72633e+06 0.00126401 0.00126401 
4.15151e-10 2.32541e+06 2.32541e+06 0.00222291 0.00222291 
5.42005e-10 1.95578e+06 1.95578e+06 0.00244084 0.00244084 
7.07619e-10 1.39104e+06 1.39104e+06 0.0022665 0.0022665 
9.23839e-10 2.0285e+06 2.0285e+06 0.00431506 0.00431506 
1.20613e-09 1.60082e+06 1.60082e+06 0.00444582 0.00444582 
1.57467e-09 1.28626e+06 1.28626e+06 0.00466375 0.00466375 
2.05582e-09 1.41798e+06 1.41798e+06 0.00671232 0.00671232 
2.684e-09 1.09316e+06 1.09316e+06 0.0067559 0.0067559 
3.50412e-09 1.15603e+06 1.15603e+06 0.00932751 0.00932751 
4.57484e-09 1.01374e+06 1.01374e+06 0.0106787 0.0106787 
5.97272e-09 906420 906420 0.0124657 0.0124657 
7.79775e-09 801089 801089 0.0143835 0.0143835 
1.01804e-08 669380 669380 0.0156911 0.0156911 
1.32911e-08 575380 575380 0.0176089 0.0176089 
1.73524e-08 469079 469079 0.0187422 0.0187422 
2.26546e-08 414441 414441 0.0216189 0.0216189 
2.95769e-08 299523 299523 0.0203985 0.0203985 
3.86143e-08 243637 243637 0.0216625 0.0216625 
5.04133e-08 179481 179481 0.0208343 0.0208343 
6.58176e-08 151279 151279 0.0229265 0.0229265 
8.59288e-08 120940 120940 0.023929 0.023929 
1.12185e-07 90441.1 90441.1 0.0233624 0.0233624 
1.46464e-07 71729.4 71729.4 0.0241905 0.0241905 
1.91218e-07 52268.7 52268.7 0.0230137 0.0230137 
2.49646e-07 35182.7 35182.7 0.0202241 0.0202241 
3.25928e-07 23405.6 23405.6 0.0175653 0.0175653 
4.25518e-07 18950.8 18950.8 0.0185678 0.0185678 
5.55539e-07 13016.2 13016.2 0.01665 0.01665 
7.25289e-07 10465.7 10465.7 0.0174782 0.0174782 
9.46908e-07 7836.36 7836.36 0.0170859 0.0170859 
1.23625e-06 6492.28 6492.28 0.0184807 0.0184807 
1.61399e-06 4585.76 4585.76 0.0170423 0.0170423 
2.10716e-06 3216.04 3216.04 0.015604 0.015604 
2.75102e-06 2539.03 2539.03 0.0160834 0.0160834 
3.59163e-06 1791.94 1791.94 0.0148194 0.0148194 
4.68908e-06 1186.85 1186.85 0.0128144 0.0128144 
6.12187e-06 871.969 871.969 0.0122914 0.0122914 
7.99247e-06 667.889 667.889 0.0122914 0.0122914 
1.04346e-05 487.99 487.99 0.0117248 0.0117248 
1.3623e-05 362.662 362.662 0.0113761 0.0113761 
1.77857e-05 243.725 243.725 0.0099813 0.0099813 
2.32203e-05 202.172 202.172 0.0108094 0.0108094 
3.03154e-05 176.085 176.085 0.0122914 0.0122914 
3.95786e-05 137.264 137.264 0.0125093 0.0125093 
5.16722e-05 103.673 103.673 0.012335 0.012335 
6.74611e-05 82.4954 82.4954 0.0128144 0.0128144 
8.80745e-05 67.4863 67.4863 0.0136862 0.0136862 
0.000114987 61.5688 61.5688 0.0163013 0.0163013 
0.000150122 48.0416 48.0416 0.0166064 0.0166064 
0.000195993 39.6952 39.6952 0.017914 0.017914 
0.00025588 35.953 35.953 0.021183 0.021183 
0.000334067 29.0683 29.0683 0.0223599 0.0223599 
0.000436144 27.5166 27.5166 0.0276338 0.0276338 
0.000569412 23.869 23.869 0.0312951 0.0312951 
0.000743401 21.3127 21.3127 0.0364819 0.0364819 
0.000970554 17.3583 17.3583 0.038792 0.038792 
0.00126712 16.1639 16.1639 0.0471606 0.0471606 
0.0016543 15.0584 15.0584 0.0573598 0.0573598 
0.00215978 12.5858 12.5858 0.0625902 0.0625902 
0.00281972 10.6941 10.6941 0.0694333 0.0694333 
0.00368131 8.84941 8.84941 0.0750123 0.0750123 
0.00480617 7.98738 7.98738 0.0883934 0.0883934 
0.00627474 6.89027 6.89027 0.0995515 0.0995515 
0.00819205 5.71898 5.71898 0.107877 0.107877 
0.0106952 4.52915 4.52915 0.111538 0.111538 
0.0139632 2.96076 2.96076 0.0951929 0.0951929 
0.0182298 1.80573 1.80573 0.0757969 0.0757969 
0.0238001 1.20972 1.20972 0.066295 0.066295 
0.0310725 0.94487 0.94487 0.0676026 0.0676026 
0.0405669 0.691998 0.691998 0.0646387 0.0646387 
0.0529625 0.483576 0.483576 0.0589725 0.0589725 
0.0691457 0.396953 0.396953 0.0632004 0.0632004 
0.0902739 0.303209 0.303209 0.063026 0.063026 
0.117858 0.260994 0.260994 0.070828 0.070828 
0.15387 0.209259 0.209259 0.0741406 0.0741406 
0.200887 0.175737 0.175737 0.0812888 0.0812888 
0.26227 0.145144 0.145144 0.0876524 0.0876524 
0.342409 0.121014 0.121014 0.0954108 0.0954108 
0.447035 0.0994243 0.0994243 0.102341 0.102341 
0.583631 0.0857549 0.0857549 0.115243 0.115243 
0.761965 0.0763669 0.0763669 0.133985 0.133985 
0.99479 0.0650965 0.0650965 0.149109 0.149109 
1.29876 0.0568424 0.0568424 0.169987 0.169987 
1.69561 0.048875 0.048875 0.190822 0.190822 
2.21371 0.0411729 0.0411729 0.209869 0.209869 
2.89013 0.0344839 0.0344839 0.229483 0.229483 
3.77324 0.0294432 0.0294432 0.255809 0.255809 
4.92619 0.0245926 0.0245926 0.278953 0.278953 
6.43143 0.0206823 0.0206823 0.306282 0.306282 
8.39662 0.0169712 0.0169712 0.328119 0.328119 
10.9623 0.0137347 0.0137347 0.346687 0.346687 
14.3119 0.0110321 0.0110321 0.363555 0.363555 
18.685 0.00868814 0.00868814 0.373798 0.373798 
24.3944 0.00694726 0.00694726 0.39023 0.39023 
31.8484 0.0054051 0.0054051 0.396375 0.396375 
41.58 0.00396798 0.00396798 0.3799 0.3799 
54.2851 0.00286006 0.00286006 0.357496 0.357496 
70.8724 0.00185601 0.00185601 0.302882 0.302882 
92.5281 0.00105215 0.00105215 0.224165 0.224165 
120.801 0.000569287 0.000569287 0.15835 0.15835 
157.713 0.000283257 0.000283257 0.102864 0.102864 
205.903 0.000155551 0.000155551 0.0737483 0.0737483 
