ketton_flow_sub3-1-Y/processor0	effPorosity= 0.119759 		K_y= 7.97989e-14 m^2 		FF_y= 42.5565 		DarcyVelocity= 3.11714e-07 m/s 		DelP= 1 Pa 		K: 7.97989e-14 m^2 			K=( 0  7.97989e-14  0 ) Pmax-Pmin: 1.00216 Umax= 0.000156598		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.00922e-12/(0.000256*0.000256*0.000256)= 0.119759		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.11714e-07*sqrt(7.97989e-14 )/0.001)= 8.80552e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.61549e-13 4.027e+07 4.027e+07 3.35246e-05 3.35246e-05 
4.75263e-13 0 0 0 0 
6.24744e-13 0 0 0 0 
8.21239e-13 0 0 0 0 
1.07954e-12 0 0 0 0 
1.41907e-12 0 0 0 0 
1.8654e-12 0 0 0 0 
2.45211e-12 5.93757e+06 5.93757e+06 3.35246e-05 3.35246e-05 
3.22335e-12 0 0 0 0 
4.23716e-12 3.43616e+06 3.43616e+06 3.35246e-05 3.35246e-05 
5.56983e-12 5.228e+06 5.228e+06 6.70492e-05 6.70492e-05 
7.32166e-12 0 0 0 0 
9.62448e-12 0 0 0 0 
1.26516e-11 1.15081e+06 1.15081e+06 3.35246e-05 3.35246e-05 
1.66308e-11 875459 875459 3.35246e-05 3.35246e-05 
2.18615e-11 665991 665991 3.35246e-05 3.35246e-05 
2.87374e-11 2.02657e+06 2.02657e+06 0.000134098 0.000134098 
3.77759e-11 1.92709e+06 1.92709e+06 0.000167623 0.000167623 
4.96572e-11 2.05241e+06 2.05241e+06 0.000234672 0.000234672 
6.52755e-11 1.33829e+06 1.33829e+06 0.000201148 0.000201148 
8.5806e-11 678720 678720 0.000134098 0.000134098 
1.12794e-10 1.03265e+06 1.03265e+06 0.000268197 0.000268197 
1.4827e-10 1.37475e+06 1.37475e+06 0.000469345 0.000469345 
1.94904e-10 896415 896415 0.000402295 0.000402295 
