ketton_flow_sub4-1-X/processor0	effPorosity= 0.0758352 		K_x= 3.61876e-14 m^2 		FF_x= 100.723 		DarcyVelocity= 1.41358e-07 m/s 		DelP= 1 Pa 		K: 3.61876e-14 m^2 			K=( 3.61876e-14  0  0 ) Pmax-Pmin: 1.00113 Umax= 9.23323e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.2723e-12/(0.000256*0.000256*0.000256)= 0.0758352		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.41358e-07*sqrt(3.61876e-14 )/0.001)= 2.68905e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
8.41249e-13 2.77953e+07 2.77953e+07 5.38408e-05 5.38408e-05 
1.1008e-12 0 0 0 0 
1.44044e-12 3.24661e+07 3.24661e+07 0.000107682 0.000107682 
1.88486e-12 1.24055e+07 1.24055e+07 5.38408e-05 5.38408e-05 
2.46641e-12 4.74024e+07 4.74024e+07 0.000269204 0.000269204 
3.22738e-12 1.44902e+07 1.44902e+07 0.000107682 0.000107682 
4.22314e-12 2.21473e+07 2.21473e+07 0.000215363 0.000215363 
5.52613e-12 1.69252e+07 1.69252e+07 0.000215363 0.000215363 
7.23113e-12 2.5869e+07 2.5869e+07 0.000430726 0.000430726 
9.46218e-12 2.96542e+07 2.96542e+07 0.000646089 0.000646089 
1.23816e-11 2.26621e+07 2.26621e+07 0.000646089 0.000646089 
1.62017e-11 2.45348e+07 2.45348e+07 0.000915293 0.000915293 
2.12005e-11 3.08821e+07 3.08821e+07 0.00150754 0.00150754 
2.77416e-11 1.93862e+07 1.93862e+07 0.00123834 0.00123834 
3.63009e-11 2.64096e+07 2.64096e+07 0.00220747 0.00220747 
4.75009e-11 1.62445e+07 1.62445e+07 0.00177675 0.00177675 
6.21566e-11 1.80572e+07 1.80572e+07 0.00258436 0.00258436 
8.13341e-11 1.98368e+07 1.98368e+07 0.00371501 0.00371501 
1.06428e-10 1.69172e+07 1.69172e+07 0.00414574 0.00414574 
1.39265e-10 1.59506e+07 1.59506e+07 0.00511487 0.00511487 
1.82233e-10 1.73221e+07 1.73221e+07 0.00726851 0.00726851 
2.38459e-10 1.59834e+07 1.59834e+07 0.00877605 0.00877605 
3.12031e-10 1.37135e+07 1.37135e+07 0.00985286 0.00985286 
4.08304e-10 1.32862e+07 1.32862e+07 0.0124911 0.0124911 
5.3428e-10 1.01972e+07 1.01972e+07 0.0125449 0.0125449 
6.99123e-10 8.66247e+06 8.66247e+06 0.0139448 0.0139448 
9.14827e-10 7.10561e+06 7.10561e+06 0.0149677 0.0149677 
1.19708e-09 6.09433e+06 6.09433e+06 0.0167983 0.0167983 
1.56642e-09 4.92607e+06 4.92607e+06 0.0177675 0.0177675 
2.04972e-09 4.08399e+06 4.08399e+06 0.019275 0.019275 
2.68213e-09 3.20822e+06 3.20822e+06 0.0198134 0.0198134 
3.50966e-09 2.77156e+06 2.77156e+06 0.0223978 0.0223978 
4.59251e-09 2.18425e+06 2.18425e+06 0.0230977 0.0230977 
6.00946e-09 1.93382e+06 1.93382e+06 0.0267589 0.0267589 
7.86358e-09 1.52543e+06 1.52543e+06 0.0276203 0.0276203 
1.02898e-08 1.35437e+06 1.35437e+06 0.0320891 0.0320891 
1.34645e-08 1.17743e+06 1.17743e+06 0.0365041 0.0365041 
1.76188e-08 959529 959529 0.0389269 0.0389269 
2.30548e-08 796167 796167 0.042265 0.042265 
3.0168e-08 634795 634795 0.0440956 0.0440956 
3.94758e-08 536652 536652 0.0487798 0.0487798 
5.16555e-08 460363 460363 0.0547561 0.0547561 
6.7593e-08 335902 335902 0.0522794 0.0522794 
8.84478e-08 251150 251150 0.0511487 0.0511487 
1.15737e-07 205872 205872 0.0548638 0.0548638 
1.51446e-07 155941 155941 0.0543792 0.0543792 
1.98172e-07 127078 127078 0.0579865 0.0579865 
2.59315e-07 83678.9 83678.9 0.0499642 0.0499642 
3.39323e-07 56919.7 56919.7 0.0444725 0.0444725 
4.44015e-07 35283.6 35283.6 0.0360733 0.0360733 
5.81009e-07 24187.3 24187.3 0.0323583 0.0323583 
7.60271e-07 15900.8 15900.8 0.0278357 0.0278357 
9.94841e-07 8861.02 8861.02 0.020298 0.020298 
1.30178e-06 5334.74 5334.74 0.0159907 0.0159907 
1.70343e-06 3816.07 3816.07 0.0149677 0.0149677 
2.22899e-06 3073.65 3073.65 0.0157754 0.0157754 
2.91672e-06 2581.41 2581.41 0.0173367 0.0173367 
3.81662e-06 1856.35 1856.35 0.0163138 0.0163138 
4.99418e-06 1432.69 1432.69 0.0164753 0.0164753 
6.53506e-06 1155.71 1155.71 0.0173906 0.0173906 
8.55135e-06 855.865 855.865 0.0168522 0.0168522 
1.11897e-05 710.484 710.484 0.0183059 0.0183059 
1.46422e-05 646.764 646.764 0.0218055 0.0218055 
1.91598e-05 441.788 441.788 0.0194904 0.0194904 
2.50712e-05 355.341 355.341 0.0205133 0.0205133 
3.28066e-05 300.066 300.066 0.022667 0.022667 
4.29285e-05 211.885 211.885 0.0209441 0.0209441 
5.61734e-05 181.489 181.489 0.0234746 0.0234746 
7.35049e-05 153.966 153.966 0.0260589 0.0260589 
9.61837e-05 118.392 118.392 0.0262205 0.0262205 
0.00012586 98.8373 98.8373 0.0286433 0.0286433 
0.000164692 82.7737 82.7737 0.0313892 0.0313892 
0.000215505 63.1483 63.1483 0.0313353 0.0313353 
0.000281995 47.1809 47.1809 0.0306354 0.0306354 
0.000369001 35.2959 35.2959 0.0299893 0.0299893 
0.00048285 28.0874 28.0874 0.0312277 0.0312277 
0.000631826 24.7585 24.7585 0.0360195 0.0360195 
0.000826766 18.3834 18.3834 0.0349965 0.0349965 
0.00108185 16.5128 16.5128 0.0411344 0.0411344 
0.00141564 12.9001 12.9001 0.0420497 0.0420497 
0.00185241 10.7547 10.7547 0.0458723 0.0458723 
0.00242395 9.02918 9.02918 0.050395 0.050395 
0.00317182 7.57107 7.57107 0.0552945 0.0552945 
0.00415044 6.29296 6.29296 0.0601402 0.0601402 
0.00543099 5.15791 5.15791 0.0645013 0.0645013 
0.00710664 4.10626 4.10626 0.0671933 0.0671933 
0.00929928 3.50769 3.50769 0.0751079 0.0751079 
0.0121684 2.48462 2.48462 0.0696161 0.0696161 
0.0159228 1.7255 1.7255 0.0632629 0.0632629 
0.0208355 1.18734 1.18734 0.0569636 0.0569636 
0.027264 0.932256 0.932256 0.0585249 0.0585249 
0.0356759 0.709166 0.709166 0.0582557 0.0582557 
0.0466832 0.543958 0.543958 0.0584711 0.0584711 
0.0610865 0.442877 0.442877 0.0622938 0.0622938 
0.0799338 0.341086 0.341086 0.0627784 0.0627784 
0.104596 0.287936 0.287936 0.0693469 0.0693469 
0.136868 0.229953 0.229953 0.0724697 0.0724697 
0.179096 0.193359 0.193359 0.0797382 0.0797382 
0.234353 0.159242 0.159242 0.0859299 0.0859299 
0.30666 0.136335 0.136335 0.0962673 0.0962673 
0.401275 0.11223 0.11223 0.103697 0.103697 
0.525082 0.0950751 0.0950751 0.11495 0.11495 
0.687087 0.0804169 0.0804169 0.127226 0.127226 
0.899078 0.0698041 0.0698041 0.144509 0.144509 
1.17647 0.0604209 0.0604209 0.163676 0.163676 
1.53946 0.0502907 0.0502907 0.178267 0.178267 
2.01443 0.0400231 0.0400231 0.185643 0.185643 
2.63595 0.0333716 0.0333716 0.202549 0.202549 
3.44924 0.029001 0.029001 0.230331 0.230331 
4.51345 0.0241006 0.0241006 0.250467 0.250467 
5.906 0.0192098 0.0192098 0.261235 0.261235 
7.7282 0.0159179 0.0159179 0.283256 0.283256 
10.1126 0.012745 0.012745 0.29677 0.29677 
13.2327 0.0102594 0.0102594 0.3126 0.3126 
17.3155 0.00832655 0.00832655 0.331982 0.331982 
22.6579 0.00636533 0.00636533 0.33209 0.33209 
29.6486 0.00484397 0.00484397 0.33069 0.33069 
38.7962 0.00335105 0.00335105 0.299355 0.299355 
50.7662 0.00238773 0.00238773 0.279111 0.279111 
66.4293 0.00166669 0.00166669 0.254936 0.254936 
86.9251 0.00116907 0.00116907 0.233992 0.233992 
113.744 0.00081119 0.00081119 0.212456 0.212456 
148.839 0.000483401 0.000483401 0.165668 0.165668 
194.76 0.00022295 0.00022295 0.0999823 0.0999823 
254.851 0.000104779 0.000104779 0.0614862 0.0614862 
333.481 4.88016e-05 4.88016e-05 0.0374732 0.0374732 
436.371 1.97191e-05 1.97191e-05 0.0198134 0.0198134 
571.007 7.37101e-06 7.37101e-06 0.00969134 0.00969134 




x=U_x/U_D 	 PDF 	 dV/Vdx
-135.369 1.2151e-06 1.2151e-06 
-130.194 0 0 
-125.019 0 0 
-119.844 2.4302e-06 2.4302e-06 
-114.67 1.2151e-06 1.2151e-06 
-109.495 1.2151e-06 1.2151e-06 
-104.32 1.2151e-06 1.2151e-06 
-99.1456 0 0 
-93.9708 1.2151e-06 1.2151e-06 
-88.7961 7.29059e-06 7.29059e-06 
-83.6214 1.2151e-06 1.2151e-06 
-78.4467 6.07549e-06 6.07549e-06 
-73.2719 1.2151e-05 1.2151e-05 
-68.0972 2.4302e-05 2.4302e-05 
-62.9225 2.67322e-05 2.67322e-05 
-57.7477 3.15926e-05 3.15926e-05 
-52.573 2.67322e-05 2.67322e-05 
-47.3983 6.07549e-05 6.07549e-05 
-42.2236 7.53361e-05 7.53361e-05 
-37.0488 9.59928e-05 9.59928e-05 
-31.8741 0.000116649 0.000116649 
-26.6994 0.000159178 0.000159178 
-21.5247 0.000195631 0.000195631 
-16.3499 0.000285548 0.000285548 
-11.1752 0.000438651 0.000438651 
-6.00047 0.000883377 0.000883377 
-0.825745 0.00435005 0.00435005 
4.34898 0.11778 0.11778 
9.52371 0.0164439 0.0164439 
14.6984 0.00953853 0.00953853 
19.8732 0.00665145 0.00665145 
25.0479 0.00499284 0.00499284 
30.2226 0.00367689 0.00367689 
35.3973 0.00307906 0.00307906 
40.5721 0.00265985 0.00265985 
45.7468 0.00225522 0.00225522 
50.9215 0.00187611 0.00187611 
56.0963 0.00164038 0.00164038 
61.271 0.00142167 0.00142167 
66.4457 0.00127585 0.00127585 
71.6204 0.00116163 0.00116163 
76.7952 0.00100732 0.00100732 
81.9699 0.000935626 0.000935626 
87.1446 0.000888237 0.000888237 
92.3193 0.000787384 0.000787384 
97.4941 0.00073149 0.00073149 
102.669 0.000642787 0.000642787 
107.844 0.000575957 0.000575957 
113.018 0.000510342 0.000510342 
118.193 0.000466598 0.000466598 
123.368 0.000460522 0.000460522 
128.542 0.000397337 0.000397337 
133.717 0.000365745 0.000365745 
138.892 0.000320786 0.000320786 
144.067 0.000279473 0.000279473 
149.241 0.000275827 0.000275827 
154.416 0.000260031 0.000260031 
159.591 0.000226008 0.000226008 
164.766 0.000224793 0.000224793 
169.94 0.000174974 0.000174974 
175.115 0.000184695 0.000184695 
180.29 0.000160393 0.000160393 
185.464 0.000132446 0.000132446 
190.639 0.000127585 0.000127585 
195.814 0.00012394 0.00012394 
200.989 0.000134876 0.000134876 
206.163 0.000102068 0.000102068 
211.338 9.59928e-05 9.59928e-05 
216.513 0.000116649 0.000116649 
221.688 0.000106929 0.000106929 
226.862 7.77663e-05 7.77663e-05 
232.037 6.92606e-05 6.92606e-05 
237.212 7.16908e-05 7.16908e-05 
242.386 6.68304e-05 6.68304e-05 
247.561 5.58946e-05 5.58946e-05 
252.736 6.07549e-05 6.07549e-05 
257.911 5.22493e-05 5.22493e-05 
263.085 5.22493e-05 5.22493e-05 
268.26 3.88832e-05 3.88832e-05 
273.435 4.49587e-05 4.49587e-05 
278.61 3.76681e-05 3.76681e-05 
283.784 3.52379e-05 3.52379e-05 
288.959 4.73889e-05 4.73889e-05 
294.134 3.76681e-05 3.76681e-05 
299.308 3.03775e-05 3.03775e-05 
304.483 2.91624e-05 2.91624e-05 
309.658 3.15926e-05 3.15926e-05 
314.833 2.4302e-05 2.4302e-05 
320.007 2.4302e-05 2.4302e-05 
325.182 3.15926e-05 3.15926e-05 
330.357 2.18718e-05 2.18718e-05 
335.532 1.94416e-05 1.94416e-05 
340.706 1.45812e-05 1.45812e-05 
345.881 1.82265e-05 1.82265e-05 
351.056 1.45812e-05 1.45812e-05 
356.23 1.45812e-05 1.45812e-05 
361.405 1.33661e-05 1.33661e-05 
366.58 1.45812e-05 1.45812e-05 
371.755 1.33661e-05 1.33661e-05 
376.929 1.2151e-05 1.2151e-05 
382.104 6.07549e-06 6.07549e-06 
387.279 2.4302e-06 2.4302e-06 
392.454 3.6453e-06 3.6453e-06 
397.628 9.72079e-06 9.72079e-06 
402.803 4.8604e-06 4.8604e-06 
407.978 6.07549e-06 6.07549e-06 
413.152 6.07549e-06 6.07549e-06 
418.327 6.07549e-06 6.07549e-06 
423.502 6.07549e-06 6.07549e-06 
428.677 1.2151e-06 1.2151e-06 
433.851 7.29059e-06 7.29059e-06 
439.026 1.2151e-06 1.2151e-06 
444.201 2.4302e-06 2.4302e-06 
449.376 6.07549e-06 6.07549e-06 
454.55 0 0 
459.725 2.4302e-06 2.4302e-06 
464.9 3.6453e-06 3.6453e-06 
470.074 2.4302e-06 2.4302e-06 
475.249 0 0 
480.424 1.2151e-06 1.2151e-06 
485.599 2.4302e-06 2.4302e-06 
490.773 3.6453e-06 3.6453e-06 
495.948 2.4302e-06 2.4302e-06 
501.123 1.2151e-06 1.2151e-06 
506.298 1.2151e-06 1.2151e-06 
511.472 0 0 
516.647 2.4302e-06 2.4302e-06 
521.822 2.4302e-06 2.4302e-06 




