ketton_flow_sub4-1-Z/processor0	effPorosity= 0.0758352 		K_z= 2.5094e-14 m^2 		FF_z= 105.295 		DarcyVelocity= 1.03921e-07 m/s 		DelP= 1.06016 Pa 		K: 2.5094e-14 m^2 			K=( 0  0  2.5094e-14 ) Pmax-Pmin: 1.00095 Umax= 7.13622e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.2723e-12/(0.000256*0.000256*0.000256)= 0.0758352		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.03921e-07*sqrt(2.5094e-14 )/0.001)= 1.64622e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.20612e-13 7.08353e+07 7.08353e+07 5.22932e-05 5.22932e-05 
4.22884e-13 0 0 0 0 
5.5778e-13 0 0 0 0 
7.35706e-13 0 0 0 0 
9.70388e-13 0 0 0 0 
1.27993e-12 0 0 0 0 
1.68822e-12 2.69049e+07 2.69049e+07 0.000104586 0.000104586 
2.22674e-12 1.0199e+07 1.0199e+07 5.22932e-05 5.22932e-05 
2.93705e-12 1.54649e+07 1.54649e+07 0.000104586 0.000104586 
3.87394e-12 1.75872e+07 1.75872e+07 0.000156879 0.000156879 
5.10969e-12 1.33339e+07 1.33339e+07 0.000156879 0.000156879 
6.73962e-12 2.02183e+07 2.02183e+07 0.000313759 0.000313759 
8.8895e-12 1.27739e+07 1.27739e+07 0.000261466 0.000261466 
1.17252e-11 7.74766e+06 7.74766e+06 0.000209173 0.000209173 
1.54654e-11 5.87393e+06 5.87393e+06 0.000209173 0.000209173 
2.03987e-11 1.33601e+07 1.33601e+07 0.000627518 0.000627518 
2.69056e-11 1.18172e+07 1.18172e+07 0.000732104 0.000732104 
3.54882e-11 8.95927e+06 8.95927e+06 0.000732104 0.000732104 
4.68086e-11 5.82217e+06 5.82217e+06 0.000627518 0.000627518 
6.17401e-11 9.5639e+06 9.5639e+06 0.00135962 0.00135962 
8.14346e-11 6.41428e+06 6.41428e+06 0.00120274 0.00120274 
1.07411e-10 6.76595e+06 6.76595e+06 0.00167338 0.00167338 
1.41675e-10 1.0099e+07 1.0099e+07 0.00329447 0.00329447 
1.86867e-10 6.19821e+06 6.19821e+06 0.00266695 0.00266695 
2.46476e-10 6.63418e+06 6.63418e+06 0.00376511 0.00376511 
3.25099e-10 6.91589e+06 6.91589e+06 0.00517702 0.00517702 
4.28803e-10 5.66703e+06 5.66703e+06 0.00559537 0.00559537 
5.65586e-10 5.01927e+06 5.01927e+06 0.00653664 0.00653664 
7.46003e-10 4.10982e+06 4.10982e+06 0.00705958 0.00705958 
9.8397e-10 3.48517e+06 3.48517e+06 0.00789627 0.00789627 
1.29785e-09 2.99228e+06 2.99228e+06 0.00894213 0.00894213 
1.71185e-09 2.24208e+06 2.24208e+06 0.00883754 0.00883754 
2.25791e-09 1.99154e+06 1.99154e+06 0.010354 0.010354 
2.97816e-09 1.70816e+06 1.70816e+06 0.0117137 0.0117137 
3.92816e-09 1.48584e+06 1.48584e+06 0.0134393 0.0134393 
5.1812e-09 1.25362e+06 1.25362e+06 0.0149558 0.0149558 
6.83396e-09 880649 880649 0.0138577 0.0138577 
9.01392e-09 770969 770969 0.0160017 0.0160017 
1.18893e-08 636090 636090 0.0174136 0.0174136 
1.56818e-08 505427 505427 0.0182503 0.0182503 
2.06842e-08 440287 440287 0.0209696 0.0209696 
2.72822e-08 318822 318822 0.0200283 0.0200283 
3.59849e-08 314926 314926 0.0260943 0.0260943 
4.74638e-08 256946 256946 0.0280814 0.0280814 
6.26042e-08 210766 210766 0.0303823 0.0303823 
8.25744e-08 168595 168595 0.0320557 0.0320557 
1.08915e-07 131575 131575 0.032997 0.032997 
1.43657e-07 96908.4 96908.4 0.0320557 0.0320557 
1.89483e-07 75269.5 75269.5 0.0328401 0.0328401 
2.49926e-07 62154.7 62154.7 0.0357685 0.0357685 
3.2965e-07 50292.1 50292.1 0.038174 0.038174 
4.34804e-07 37241.3 37241.3 0.037285 0.037285 
5.73503e-07 26967.5 26967.5 0.0356116 0.0356116 
7.56444e-07 21856.7 21856.7 0.0380694 0.0380694 
9.97742e-07 15796.8 15796.8 0.0362915 0.0362915 
1.31601e-06 10682.2 10682.2 0.0323695 0.0323695 
1.73581e-06 5953.05 5953.05 0.0237934 0.0237934 
2.28951e-06 3283.33 3283.33 0.017309 0.017309 
3.01984e-06 1646.98 1646.98 0.0114522 0.0114522 
3.98314e-06 1146.04 1146.04 0.0105109 0.0105109 
5.25372e-06 812.681 812.681 0.00983111 0.00983111 
6.92961e-06 596.475 596.475 0.00951735 0.00951735 
9.14008e-06 429.858 429.858 0.00904672 0.00904672 
1.20557e-05 312.713 312.713 0.00868066 0.00868066 
1.59013e-05 207.092 207.092 0.00758251 0.00758251 
2.09737e-05 170.002 170.002 0.00821003 0.00821003 
2.76641e-05 136.277 136.277 0.00868066 0.00868066 
3.64886e-05 112.033 112.033 0.00941277 0.00941277 
4.81281e-05 75.0287 75.0287 0.00831461 0.00831461 
6.34805e-05 72.9826 72.9826 0.0106678 0.0106678 
8.37301e-05 48.28 48.28 0.00930818 0.00930818 
0.000110439 45.8576 45.8576 0.0116614 0.0116614 
0.000145668 35.079 35.079 0.011766 0.011766 
0.000192135 28.9594 28.9594 0.0128118 0.0128118 
0.000253424 21.1492 21.1492 0.0123412 0.0123412 
0.000334264 16.6459 16.6459 0.0128118 0.0128118 
0.00044089 15.6593 15.6593 0.0158971 0.0158971 
0.00058153 11.9503 11.9503 0.0160017 0.0160017 
0.000767032 10.0373 10.0373 0.0177274 0.0177274 
0.00101171 8.37304 8.37304 0.0195053 0.0195053 
0.00133443 6.12682 6.12682 0.0188255 0.0188255 
0.0017601 4.78702 4.78702 0.0194008 0.0194008 
0.00232156 3.7467 3.7467 0.0200283 0.0200283 
0.00306211 3.01116 3.01116 0.021231 0.021231 
0.00403889 2.36165 2.36165 0.0219631 0.0219631 
0.00532726 1.90987 1.90987 0.0234273 0.0234273 
0.0070266 1.55141 1.55141 0.0251007 0.0251007 
0.00926801 1.24972 1.24972 0.0266695 0.0266695 
0.0122244 1.03294 1.03294 0.029075 0.029075 
0.0161239 0.780314 0.780314 0.0289704 0.0289704 
0.0212672 0.624704 0.624704 0.0305915 0.0305915 
0.0280513 0.523819 0.523819 0.0338337 0.0338337 
0.0369993 0.418006 0.418006 0.0356116 0.0356116 
0.0488017 0.356935 0.356935 0.0401089 0.0401089 
0.064369 0.276258 0.276258 0.0409455 0.0409455 
