ketton_flow_sub6-1-X/processor0	effPorosity= 0.139073 		K_x= 2.09823e-13 m^2 		FF_x= 26.8749 		DarcyVelocity= 8.19623e-07 m/s 		DelP= 1 Pa 		K: 2.09823e-13 m^2 			K=( 2.09823e-13  0  0 ) Pmax-Pmin: 1.00867 Umax= 0.000188375		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.33326e-12/(0.000256*0.000256*0.000256)= 0.139073		 Re=rho*VDarcy*sqrt(K)/mu= 1000*8.19623e-07*sqrt(2.09823e-13 )/0.001)= 3.7544e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.91746e-13 3.28157e+07 3.28157e+07 2.96007e-05 2.96007e-05 
5.11488e-13 0 0 0 0 
6.6783e-13 0 0 0 0 
8.71961e-13 0 0 0 0 
1.13849e-12 0 0 0 0 
1.48648e-12 0 0 0 0 
1.94084e-12 0 0 0 0 
2.53407e-12 0 0 0 0 
3.30864e-12 0 0 0 0 
4.31997e-12 2.97582e+06 2.97582e+06 2.96007e-05 2.96007e-05 
5.64042e-12 0 0 0 0 
7.36448e-12 0 0 0 0 
9.61551e-12 0 0 0 0 
1.25546e-11 2.04792e+06 2.04792e+06 5.92015e-05 5.92015e-05 
1.63921e-11 1.5685e+06 1.5685e+06 5.92015e-05 5.92015e-05 
2.14025e-11 1.2013e+06 1.2013e+06 5.92015e-05 5.92015e-05 
2.79444e-11 920072 920072 5.92015e-05 5.92015e-05 
3.64859e-11 352340 352340 2.96007e-05 2.96007e-05 
4.76383e-11 269855 269855 2.96007e-05 2.96007e-05 
6.21995e-11 1.24008e+06 1.24008e+06 0.000177604 0.000177604 
8.12115e-11 633183 633183 0.000118403 0.000118403 
1.06035e-10 727428 727428 0.000177604 0.000177604 
1.38445e-10 371423 371423 0.000118403 0.000118403 
1.80763e-10 355588 355588 0.000148004 0.000148004 
2.36015e-10 544687 544687 0.000296007 0.000296007 
3.08156e-10 208587 208587 0.000148004 0.000148004 
4.02347e-10 159755 159755 0.000148004 0.000148004 
5.2533e-10 244712 244712 0.000296007 0.000296007 
6.85903e-10 112454 112454 0.000177604 0.000177604 
8.95557e-10 57418.8 57418.8 0.000118403 0.000118403 
1.16929e-09 98947.7 98947.7 0.000266407 0.000266407 
1.5267e-09 143147 143147 0.000503213 0.000503213 
1.99336e-09 96737.1 96737.1 0.000444011 0.000444011 
2.60265e-09 133363 133363 0.00079922 0.00079922 
3.39818e-09 94576 94576 0.000740019 0.000740019 
4.43687e-09 60845.6 60845.6 0.000621616 0.000621616 
5.79305e-09 77669 77669 0.00103603 0.00103603 
7.56377e-09 66284.7 66284.7 0.00115443 0.00115443 
9.87572e-09 50767.2 50767.2 0.00115443 0.00115443 
1.28943e-08 33897.4 33897.4 0.00100643 0.00100643 
1.68357e-08 28252.6 28252.6 0.00109523 0.00109523 
2.19817e-08 18714.4 18714.4 0.000947224 0.000947224 
2.87006e-08 15677 15677 0.00103603 0.00103603 
3.74733e-08 12693.1 12693.1 0.00109523 0.00109523 
4.89274e-08 6305.88 6305.88 0.000710418 0.000710418 
6.38827e-08 7244.47 7244.47 0.00106563 0.00106563 
8.34092e-08 4161.38 4161.38 0.00079922 0.00079922 
1.08904e-07 3541.31 3541.31 0.000888022 0.000888022 
1.42192e-07 2079.41 2079.41 0.000680817 0.000680817 
1.85655e-07 2492.78 2492.78 0.00106563 0.00106563 
2.42402e-07 1113.7 1113.7 0.000621616 0.000621616 
3.16495e-07 771.745 771.745 0.000562414 0.000562414 
4.13235e-07 279.983 279.983 0.000266407 0.000266407 
5.39546e-07 309.744 309.744 0.00038481 0.00038481 
7.04464e-07 237.231 237.231 0.00038481 0.00038481 
9.19792e-07 209.647 209.647 0.000444011 0.000444011 
1.20094e-06 160.568 160.568 0.000444011 0.000444011 
