ketton_flow_sub7-1-Z/processor0	effPorosity= 0.142055 		K_z= 9.08777e-14 m^2 		FF_z= 41.0684 		DarcyVelocity= 3.89661e-07 m/s 		DelP= 1.09767 Pa 		K: 9.08777e-14 m^2 			K=( 0  0  9.08777e-14 ) Pmax-Pmin: 1.00169 Umax= 0.000131687		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.38329e-12/(0.000256*0.000256*0.000256)= 0.142055		 Re=rho*VDarcy*sqrt(K)/mu= 1000*3.89661e-07*sqrt(9.08777e-14 )/0.001)= 1.17467e-07


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
5.80538e-12 2.32595e+06 2.32595e+06 3.10919e-05 3.10919e-05 
7.44374e-12 0 0 0 0 
9.54448e-12 1.41475e+06 1.41475e+06 3.10919e-05 3.10919e-05 
1.22381e-11 1.10336e+06 1.10336e+06 3.10919e-05 3.10919e-05 
1.56919e-11 3.44205e+06 3.44205e+06 0.000124367 0.000124367 
2.01203e-11 2.01334e+06 2.01334e+06 9.32756e-05 9.32756e-05 
2.57986e-11 0 0 0 0 
3.30794e-11 1.6328e+06 1.6328e+06 0.000124367 0.000124367 
4.24149e-11 1.91014e+06 1.91014e+06 0.000186551 0.000186551 
5.4385e-11 248286 248286 3.10919e-05 3.10919e-05 
6.97333e-11 580914 580914 9.32756e-05 9.32756e-05 
8.94131e-11 1.35917e+06 1.35917e+06 0.000279827 0.000279827 
1.14647e-10 471117 471117 0.000124367 0.000124367 
1.47002e-10 1.10227e+06 1.10227e+06 0.000373102 0.000373102 
1.88488e-10 716386 716386 0.000310919 0.000310919 
2.41682e-10 1.11742e+06 1.11742e+06 0.000621837 0.000621837 
3.09889e-10 827901 827901 0.000590745 0.000590745 
3.97344e-10 441781 441781 0.000404194 0.000404194 
5.09481e-10 715594 715594 0.00083948 0.00083948 
6.53264e-10 620102 620102 0.000932756 0.000932756 
8.37625e-10 612583 612583 0.00118149 0.00118149 
1.07402e-09 477753 477753 0.00118149 0.00118149 
1.37712e-09 402016 402016 0.00127477 0.00127477 
1.76576e-09 367062 367062 0.00149241 0.00149241 
2.26409e-09 387660 387660 0.00202097 0.00202097 
2.90305e-09 293033 293033 0.00195879 0.00195879 
3.72234e-09 297460 297460 0.00254953 0.00254953 
4.77284e-09 248964 248964 0.00273608 0.00273608 
6.11981e-09 172103 172103 0.00242516 0.00242516 
7.84691e-09 160035 160035 0.00289154 0.00289154 
1.00614e-08 162389 162389 0.00376211 0.00376211 
1.29009e-08 118274 118274 0.00351338 0.00351338 
1.65418e-08 111833 111833 0.00425958 0.00425958 
2.12101e-08 78305.7 78305.7 0.0038243 0.0038243 
2.71959e-08 68021.8 68021.8 0.00425958 0.00425958 
3.4871e-08 59245.9 59245.9 0.00475705 0.00475705 
4.47121e-08 41373.9 41373.9 0.00425958 0.00425958 
5.73306e-08 32738.5 32738.5 0.00432177 0.00432177 
7.35102e-08 26451.2 26451.2 0.00447723 0.00447723 
9.42559e-08 20199.6 20199.6 0.00438395 0.00438395 
1.20856e-07 15530.2 15530.2 0.00432177 0.00432177 
1.54964e-07 12634.8 12634.8 0.00450832 0.00450832 
1.98697e-07 9650.02 9650.02 0.00441504 0.00441504 
2.54772e-07 8586.06 8586.06 0.00503688 0.00503688 
3.26673e-07 6572.26 6572.26 0.00494361 0.00494361 
4.18865e-07 6350.72 6350.72 0.0061251 0.0061251 
5.37075e-07 5983.74 5983.74 0.00739986 0.00739986 
6.88646e-07 4666.72 4666.72 0.00739986 0.00739986 
8.82993e-07 3930.13 3930.13 0.00799061 0.00799061 
1.13219e-06 3363.27 3363.27 0.0087679 0.0087679 
1.45171e-06 1850.99 1850.99 0.00618728 0.00618728 
1.8614e-06 1320.27 1320.27 0.00565872 0.00565872 
2.38672e-06 1001.39 1001.39 0.00550326 0.00550326 
3.06029e-06 794.221 794.221 0.00559653 0.00559653 
3.92395e-06 646.943 646.943 0.00584527 0.00584527 
5.03134e-06 507.235 507.235 0.00587636 0.00587636 
6.45127e-06 393.499 393.499 0.00584527 0.00584527 
8.27191e-06 333.008 333.008 0.00634274 0.00634274 
1.06064e-05 264.806 264.806 0.00646711 0.00646711 
1.35997e-05 182.693 182.693 0.0057209 0.0057209 
1.74377e-05 159.518 159.518 0.00640492 0.00640492 
2.23589e-05 143.734 143.734 0.00739986 0.00739986 
2.86689e-05 105.033 105.033 0.00693348 0.00693348 
3.67597e-05 87.0578 87.0578 0.00736877 0.00736877 
4.71338e-05 69.3288 69.3288 0.00752423 0.00752423 
6.04357e-05 57.421 57.421 0.00799061 0.00799061 
7.74916e-05 41.9946 41.9946 0.00749314 0.00749314 
9.93609e-05 36.9644 36.9644 0.00845699 0.00845699 
0.000127402 27.2388 27.2388 0.00799061 0.00799061 
0.000163357 19.673 19.673 0.00739986 0.00739986 
0.000209459 15.8587 15.8587 0.0076486 0.0076486 
0.000268571 13.7257 13.7257 0.00848808 0.00848808 
0.000344366 11.7634 11.7634 0.00932756 0.00932756 
0.000441552 9.72471 9.72471 0.00988721 0.00988721 
0.000566164 7.2027 7.2027 0.00938974 0.00938974 
0.000725945 6.32421 6.32421 0.0105712 0.0105712 
0.000930817 5.38196 5.38196 0.0115351 0.0115351 
0.00119351 4.55943 4.55943 0.01253 0.01253 
0.00153033 3.88237 3.88237 0.0136804 0.0136804 
0.00196222 3.39946 3.39946 0.0153594 0.0153594 
0.00251599 2.61904 2.61904 0.0151728 0.0151728 
0.00322604 2.36907 2.36907 0.017598 0.017598 
0.00413647 1.98474 1.98474 0.0189038 0.0189038 
0.00530385 1.68283 1.68283 0.0205517 0.0205517 
0.00680068 1.42165 1.42165 0.0222618 0.0222618 
0.00871993 1.26514 1.26514 0.025402 0.025402 
0.0111808 1.10142 1.10142 0.0283558 0.0283558 
0.0143362 0.956009 0.956009 0.0315582 0.0315582 
0.0183821 0.802153 0.802153 0.0339523 0.0339523 
0.0235699 0.688045 0.688045 0.0373413 0.0373413 
0.0302216 0.608541 0.608541 0.0423471 0.0423471 
0.0387507 0.534885 0.534885 0.047726 0.047726 
0.0496867 0.467161 0.467161 0.0534469 0.0534469 
0.063709 0.383838 0.383838 0.0563074 0.0563074 
0.0816887 0.345805 0.345805 0.0650442 0.0650442 
0.104743 0.296379 0.296379 0.0714802 0.0714802 
0.134302 0.265129 0.265129 0.0819892 0.0819892 
0.172205 0.234924 0.234924 0.0931512 0.0931512 
0.220803 0.207312 0.207312 0.105401 0.105401 
0.283118 0.191539 0.191539 0.124865 0.124865 
0.363018 0.173671 0.173671 0.145168 0.145168 
0.465467 0.159669 0.159669 0.17113 0.17113 
0.596829 0.144684 0.144684 0.198832 0.198832 
0.765263 0.12872 0.12872 0.226815 0.226815 
0.981232 0.113049 0.113049 0.25542 0.25542 
1.25815 0.098674 0.098674 0.285859 0.285859 
1.61322 0.0858702 0.0858702 0.318971 0.318971 
2.0685 0.0729759 0.0729759 0.347576 0.347576 
2.65226 0.0640364 0.0640364 0.391073 0.391073 
3.40076 0.0520901 0.0520901 0.407894 0.407894 
4.36051 0.0439447 0.0439447 0.441225 0.441225 
5.59112 0.0356418 0.0356418 0.458854 0.458854 
7.16902 0.0280287 0.0280287 0.462678 0.462678 
9.19222 0.0228952 0.0228952 0.484598 0.484598 
11.7864 0.0187038 0.0187038 0.507606 0.507606 
15.1127 0.0133675 0.0133675 0.465165 0.465165 
19.3778 0.00975006 0.00975006 0.435037 0.435037 
24.8465 0.00729974 0.00729974 0.417626 0.417626 
31.8585 0.00524252 0.00524252 0.384575 0.384575 
40.8495 0.00349166 0.00349166 0.328423 0.328423 
52.3778 0.00229726 0.00229726 0.27706 0.27706 
67.1596 0.00128155 0.00128155 0.198179 0.198179 
86.1131 0.000644942 0.000644942 0.127881 0.127881 
110.416 0.000294726 0.000294726 0.0749314 0.0749314 
141.577 0.000141347 0.000141347 0.0460781 0.0460781 
181.532 6.1813e-05 6.1813e-05 0.0258373 0.0258373 
232.763 2.25087e-05 2.25087e-05 0.0120636 0.0120636 
298.452 4.52436e-06 4.52436e-06 0.00310919 0.00310919 




x=U_x/U_D 	 PDF 	 dV/Vdx
-147.625 3.04952e-06 3.04952e-06 
-145.423 0 0 
-143.222 1.52476e-06 1.52476e-06 
-141.02 1.52476e-06 1.52476e-06 
-138.819 0 0 
-136.617 0 0 
-134.416 3.04952e-06 3.04952e-06 
-132.214 0 0 
-130.013 1.52476e-06 1.52476e-06 
-127.811 4.57428e-06 4.57428e-06 
-125.61 6.09904e-06 6.09904e-06 
-123.408 1.52476e-06 1.52476e-06 
-121.207 3.04952e-06 3.04952e-06 
-119.005 3.04952e-06 3.04952e-06 
-116.804 3.04952e-06 3.04952e-06 
-114.603 7.6238e-06 7.6238e-06 
-112.401 3.04952e-06 3.04952e-06 
-110.2 6.09904e-06 6.09904e-06 
-107.998 3.04952e-06 3.04952e-06 
-105.797 3.04952e-06 3.04952e-06 
-103.595 6.09904e-06 6.09904e-06 
-101.394 3.04952e-06 3.04952e-06 
-99.1923 1.52476e-06 1.52476e-06 
-96.9908 1.52476e-06 1.52476e-06 
-94.7893 6.09904e-06 6.09904e-06 
-92.5879 7.6238e-06 7.6238e-06 
-90.3864 9.14856e-06 9.14856e-06 
-88.1849 6.09904e-06 6.09904e-06 
-85.9835 1.06733e-05 1.06733e-05 
-83.782 1.67724e-05 1.67724e-05 
-81.5805 1.06733e-05 1.06733e-05 
-79.3791 1.67724e-05 1.67724e-05 
-77.1776 2.74457e-05 2.74457e-05 
-74.9761 3.96438e-05 3.96438e-05 
-72.7747 4.72676e-05 4.72676e-05 
-70.5732 3.202e-05 3.202e-05 
-68.3717 6.25152e-05 6.25152e-05 
-66.1703 4.26933e-05 4.26933e-05 
-63.9688 7.16637e-05 7.16637e-05 
-61.7673 6.55647e-05 6.55647e-05 
-59.5659 0.000103684 0.000103684 
-57.3644 9.91094e-05 9.91094e-05 
-55.1629 0.000123506 0.000123506 
-52.9615 0.000121981 0.000121981 
-50.76 0.000161625 0.000161625 
-48.5585 0.000196694 0.000196694 
-46.3571 0.000204318 0.000204318 
-44.1556 0.000211942 0.000211942 
-41.9541 0.000260734 0.000260734 
-39.7527 0.000301902 0.000301902 
-37.5512 0.000312576 0.000312576 
-35.3497 0.000486398 0.000486398 
-33.1483 0.00066937 0.00066937 
-30.9468 0.000805073 0.000805073 
-28.7453 0.00108563 0.00108563 
-26.5439 0.00129147 0.00129147 
-24.3424 0.00160862 0.00160862 
-22.1409 0.001909 0.001909 
-19.9395 0.00234813 0.00234813 
-17.738 0.00274152 0.00274152 
-15.5365 0.00375243 0.00375243 
-13.3351 0.00497224 0.00497224 
-11.1336 0.00628201 0.00628201 
-8.93215 0.00852188 0.00852188 
-6.73068 0.0112299 0.0112299 
-4.52922 0.0167098 0.0167098 
-2.32775 0.0289476 0.0289476 
-0.126284 0.0789856 0.0789856 
2.07518 0.169378 0.169378 
4.27665 0.0314954 0.0314954 
6.47811 0.0180715 0.0180715 
8.67958 0.0113198 0.0113198 
