ketton_desp_128_43-1-X/processor0	effPorosity= 0.100063 		K_x= 6.51708e-14 m^2 		FF_x= 56.1133 		DarcyVelocity= 2.54573e-07 m/s 		DelP= 1 Pa 		K: 6.51708e-14 m^2 			K=( 6.51708e-14  0  0 ) Pmax-Pmin: 1.00354 Umax= 9.79807e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.67878e-12/(0.000256*0.000256*0.000256)= 0.100063		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.54573e-07*sqrt(6.51708e-14 )/0.001)= 6.49889e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
2.53128e-13 1.37325e+08 1.37325e+08 8.00399e-05 8.00399e-05 
3.32978e-13 0 0 0 0 
4.38015e-13 0 0 0 0 
5.76188e-13 3.01646e+07 3.01646e+07 4.002e-05 4.002e-05 
7.57946e-13 6.8793e+07 6.8793e+07 0.00012006 0.00012006 
9.9704e-13 5.22961e+07 5.22961e+07 0.00012006 0.00012006 
1.31156e-12 1.32518e+07 1.32518e+07 4.002e-05 4.002e-05 
1.72529e-12 2.01479e+07 2.01479e+07 8.00399e-05 8.00399e-05 
2.26953e-12 2.29745e+07 2.29745e+07 0.00012006 0.00012006 
2.98545e-12 1.74651e+07 1.74651e+07 0.00012006 0.00012006 
3.92722e-12 3.09795e+07 3.09795e+07 0.00028014 0.00028014 
5.16606e-12 1.34574e+07 1.34574e+07 0.00016008 0.00016008 
6.79569e-12 2.04606e+07 2.04606e+07 0.00032016 0.00032016 
8.93939e-12 1.36098e+07 1.36098e+07 0.00028014 0.00028014 
1.17593e-11 7.39007e+06 7.39007e+06 0.0002001 0.0002001 
1.54688e-11 3.37074e+06 3.37074e+06 0.00012006 0.00012006 
2.03484e-11 1.11038e+07 1.11038e+07 0.00052026 0.00052026 
2.67674e-11 5.19452e+06 5.19452e+06 0.00032016 0.00032016 
3.52111e-11 3.94885e+06 3.94885e+06 0.00032016 0.00032016 
4.63185e-11 1.12571e+06 1.12571e+06 0.00012006 0.00012006 
6.09297e-11 855763 855763 0.00012006 0.00012006 
8.01499e-11 650548 650548 0.00012006 0.00012006 
1.05433e-10 1.31878e+06 1.31878e+06 0.00032016 0.00032016 
1.38692e-10 125317 125317 4.002e-05 4.002e-05 
1.82443e-10 476326 476326 0.0002001 0.0002001 
2.39994e-10 579362 579362 0.00032016 0.00032016 
3.157e-10 165161 165161 0.00012006 0.00012006 
4.15288e-10 334812 334812 0.00032016 0.00032016 
5.46291e-10 286338 286338 0.00036018 0.00036018 
7.18619e-10 338603 338603 0.00056028 0.00056028 
9.45307e-10 257405 257405 0.00056028 0.00056028 
1.2435e-09 167724 167724 0.00048024 0.00048024 
1.63577e-09 201880 201880 0.000760379 0.000760379 
2.15177e-09 145391 145391 0.000720359 0.000720359 
2.83055e-09 141227 141227 0.000920459 0.000920459 
3.72344e-09 116696 116696 0.0010005 0.0010005 
4.89801e-09 99357.3 99357.3 0.00112056 0.00112056 
6.44308e-09 102506 102506 0.00152076 0.00152076 
8.47556e-09 82026.3 82026.3 0.0016008 0.0016008 
1.11492e-08 37413.6 37413.6 0.000960479 0.000960479 
1.46662e-08 69919.1 69919.1 0.00236118 0.00236118 
1.92926e-08 26125.7 26125.7 0.00116058 0.00116058 
2.53785e-08 22600 22600 0.00132066 0.00132066 
3.33841e-08 12494.9 12494.9 0.000960479 0.000960479 
4.39152e-08 16622.5 16622.5 0.00168084 0.00168084 
5.77682e-08 13538.9 13538.9 0.0018009 0.0018009 
7.59912e-08 11893.3 11893.3 0.00208104 0.00208104 
9.99627e-08 8519.6 8519.6 0.00196098 0.00196098 
