ketton_desp_128_43-1-Y/processor0	effPorosity= 0.100063 		K_y= 3.88127e-14 m^2 		FF_y= 82.4066 		DarcyVelocity= 1.51612e-07 m/s 		DelP= 1 Pa 		K: 3.88127e-14 m^2 			K=( 0  3.88127e-14  0 ) Pmax-Pmin: 1.00166 Umax= 0.00013296		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.67878e-12/(0.000256*0.000256*0.000256)= 0.100063		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.51612e-07*sqrt(3.88127e-14 )/0.001)= 2.9869e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
9.98386e-13 1.76862e+07 1.76862e+07 4.06581e-05 4.06581e-05 
1.30769e-12 0 0 0 0 
1.71281e-12 0 0 0 0 
2.24344e-12 7.87077e+06 7.87077e+06 4.06581e-05 4.06581e-05 
2.93846e-12 1.20183e+07 1.20183e+07 8.13163e-05 8.13163e-05 
3.8488e-12 9.17564e+06 9.17564e+06 8.13163e-05 8.13163e-05 
5.04116e-12 1.05081e+07 1.05081e+07 0.000121974 0.000121974 
6.60292e-12 1.87195e+07 1.87195e+07 0.000284607 0.000284607 
8.64852e-12 4.08338e+06 4.08338e+06 8.13163e-05 8.13163e-05 
1.13278e-11 1.09115e+07 1.09115e+07 0.000284607 0.000284607 
1.48372e-11 8.33062e+06 8.33062e+06 0.000284607 0.000284607 
1.94338e-11 6.36022e+06 6.36022e+06 0.000284607 0.000284607 
2.54544e-11 9.71173e+06 9.71173e+06 0.000569214 0.000569214 
3.33402e-11 9.53313e+06 9.53313e+06 0.000731847 0.000731847 
4.36691e-11 1.05131e+07 1.05131e+07 0.00105711 0.00105711 
5.71978e-11 1.42007e+07 1.42007e+07 0.00187027 0.00187027 
7.49178e-11 8.48495e+06 8.48495e+06 0.00146369 0.00146369 
9.81274e-11 8.99729e+06 8.99729e+06 0.00203291 0.00203291 
1.28527e-10 6.59443e+06 6.59443e+06 0.00195159 0.00195159 
1.68345e-10 7.23735e+06 7.23735e+06 0.00280541 0.00280541 
2.20499e-10 6.0861e+06 6.0861e+06 0.00309002 0.00309002 
2.8881e-10 4.95228e+06 4.95228e+06 0.00329331 0.00329331 
3.78283e-10 2.94073e+06 2.94073e+06 0.00256146 0.00256146 
4.95476e-10 3.06484e+06 3.06484e+06 0.0034966 0.0034966 
6.48975e-10 2.69364e+06 2.69364e+06 0.00402516 0.00402516 
8.50029e-10 2.3058e+06 2.3058e+06 0.00451305 0.00451305 
1.11337e-09 983297 983297 0.0025208 0.0025208 
1.45829e-09 702288 702288 0.00235817 0.00235817 
1.91007e-09 416001 416001 0.00182962 0.00182962 
2.50181e-09 388186 388186 0.0022362 0.0022362 
3.27688e-09 382586 382586 0.00288673 0.00288673 
4.29206e-09 292095 292095 0.00288673 0.00288673 
5.62175e-09 326658 326658 0.00422845 0.00422845 
7.36337e-09 230211 230211 0.00390318 0.00390318 
9.64456e-09 281949 281949 0.00626135 0.00626135 
1.26325e-08 216659 216659 0.00630201 0.00630201 
1.6546e-08 197429 197429 0.00752176 0.00752176 
2.1672e-08 168657 168657 0.00841624 0.00841624 
2.8386e-08 131875 131875 0.00861953 0.00861953 
3.718e-08 113032 113032 0.00967664 0.00967664 
4.86984e-08 91010.4 91010.4 0.0102052 0.0102052 
6.37852e-08 76128 76128 0.011181 0.011181 
8.3546e-08 62560.2 62560.2 0.0120348 0.0120348 
1.09429e-07 48247.2 48247.2 0.0121568 0.0121568 
1.4333e-07 35603.6 35603.6 0.0117502 0.0117502 
1.87733e-07 27746.8 27746.8 0.0119942 0.0119942 
2.45894e-07 19173.3 19173.3 0.0108557 0.0108557 
3.22072e-07 13761.1 13761.1 0.0102052 0.0102052 
4.2185e-07 12264.3 12264.3 0.0119128 0.0119128 
5.5254e-07 10354.1 10354.1 0.0131732 0.0131732 
7.23717e-07 8441.88 8441.88 0.0140677 0.0140677 
9.47925e-07 7413.8 7413.8 0.0161819 0.0161819 
1.24159e-06 4337.63 4337.63 0.0124007 0.0124007 
1.62624e-06 2063.01 2063.01 0.00772505 0.00772505 
2.13005e-06 1359.52 1359.52 0.00666794 0.00666794 
2.78995e-06 1139.22 1139.22 0.00731847 0.00731847 
3.65427e-06 734.47 734.47 0.00618004 0.00618004 
4.78637e-06 531.236 531.236 0.00585477 0.00585477 
6.2692e-06 374.603 374.603 0.00540753 0.00540753 
8.2114e-06 273.098 273.098 0.00516358 0.00516358 
1.07553e-05 208.503 208.503 0.00516358 0.00516358 
1.40873e-05 171.721 171.721 0.00557017 0.00557017 
1.84516e-05 123.449 123.449 0.0052449 0.0052449 
2.41679e-05 96.4421 96.4421 0.00536687 0.00536687 
3.16552e-05 85.3451 85.3451 0.0062207 0.0062207 
4.1462e-05 64.3071 64.3071 0.00613938 0.00613938 
5.43069e-05 45.1951 45.1951 0.00565148 0.00565148 
7.11313e-05 38.2289 38.2289 0.00626135 0.00626135 
9.31679e-05 32.2192 32.2192 0.00691188 0.00691188 
0.000122031 23.441 23.441 0.00658662 0.00658662 
0.000159837 17.8966 17.8966 0.00658662 0.00658662 
0.000209355 16.6999 16.6999 0.00805031 0.00805031 
0.000274213 15.2613 15.2613 0.00963598 0.00963598 
0.000359164 11.75 11.75 0.0097173 0.0097173 
0.000470434 9.23354 9.23354 0.0100019 0.0100019 
0.000616175 8.6257 8.6257 0.0122381 0.0122381 
0.000807067 6.95744 6.95744 0.0129293 0.0129293 
0.0010571 5.11138 5.11138 0.0124414 0.0124414 
0.00138459 4.75686 4.75686 0.0151655 0.0151655 
0.00181353 4.12831 4.12831 0.0172391 0.0172391 
0.00237537 3.49381 3.49381 0.0191093 0.0191093 
0.00311126 2.93985 2.93985 0.0210609 0.0210609 
0.00407513 2.58248 2.58248 0.0242323 0.0242323 
0.00533761 2.12052 2.12052 0.0260619 0.0260619 
0.00699121 1.82102 1.82102 0.0293145 0.0293145 
0.0091571 1.60627 1.60627 0.0338682 0.0338682 
0.011994 1.23076 1.23076 0.0339902 0.0339902 
0.0157097 1.06554 1.06554 0.0385439 0.0385439 
0.0205766 0.892464 0.892464 0.0422845 0.0422845 
0.0269513 0.733132 0.733132 0.0454965 0.0454965 
0.0353008 0.632257 0.632257 0.0513919 0.0513919 
0.0462371 0.529685 0.529685 0.0563928 0.0563928 
0.0605614 0.465047 0.465047 0.0648497 0.0648497 
0.0793234 0.402911 0.402911 0.0735912 0.0735912 
0.103898 0.334805 0.334805 0.0800965 0.0800965 
0.136086 0.261583 0.261583 0.0819668 0.0819668 
0.178245 0.2222 0.2222 0.0911962 0.0911962 
0.233466 0.197401 0.197401 0.106118 0.106118 
0.305794 0.163876 0.163876 0.115388 0.115388 
0.400529 0.141118 0.141118 0.130147 0.130147 
0.524613 0.123627 0.123627 0.149337 0.149337 
0.687139 0.106387 0.106387 0.168325 0.168325 
0.900015 0.0942508 0.0942508 0.195322 0.195322 
1.17884 0.0835966 0.0835966 0.226913 0.226913 
1.54405 0.0719091 0.0719091 0.255658 0.255658 
2.0224 0.0604187 0.0604187 0.281354 0.281354 
2.64894 0.0486612 0.0486612 0.296804 0.296804 
3.46958 0.0398845 0.0398845 0.318638 0.318638 
4.54446 0.0334699 0.0334699 0.350229 0.350229 
5.95234 0.0277041 0.0277041 0.379706 0.379706 
7.79638 0.0229474 0.0229474 0.411948 0.411948 
10.2117 0.0182927 0.0182927 0.430122 0.430122 
13.3753 0.0154103 0.0154103 0.474602 0.474602 
17.519 0.0123227 0.0123227 0.497086 0.497086 
22.9464 0.00901102 0.00901102 0.476107 0.476107 
30.0552 0.00649428 0.00649428 0.449435 0.449435 
39.3664 0.00472408 0.00472408 0.428212 0.428212 
51.5622 0.0032807 0.0032807 0.389505 0.389505 
67.5362 0.00177815 0.00177815 0.276516 0.276516 
88.459 0.000843966 0.000843966 0.171903 0.171903 
115.864 0.000416814 0.000416814 0.1112 0.1112 
151.758 0.000195823 0.000195823 0.0684277 0.0684277 
198.773 7.86171e-05 7.86171e-05 0.0359825 0.0359825 
260.354 2.97737e-05 2.97737e-05 0.0178489 0.0178489 
341.011 1.72946e-05 1.72946e-05 0.0135798 0.0135798 
446.657 6.87871e-06 6.87871e-06 0.00707452 0.00707452 
585.032 2.32404e-06 2.32404e-06 0.00313068 0.00313068 
766.276 9.67823e-07 9.67823e-07 0.00170764 0.00170764 




x=U_x/U_D 	 PDF 	 dV/Vdx
-292.508 9.74566e-07 9.74566e-07 
-287.619 9.74566e-07 9.74566e-07 
-282.729 0 0 
-277.839 0 0 
-272.95 9.74566e-07 9.74566e-07 
-268.06 0 0 
-263.17 9.74566e-07 9.74566e-07 
-258.28 1.94913e-06 1.94913e-06 
-253.391 9.74566e-07 9.74566e-07 
-248.501 2.9237e-06 2.9237e-06 
-243.611 7.79653e-06 7.79653e-06 
-238.722 2.9237e-06 2.9237e-06 
-233.832 3.89827e-06 3.89827e-06 
-228.942 5.8474e-06 5.8474e-06 
-224.052 6.82196e-06 6.82196e-06 
-219.163 8.7711e-06 8.7711e-06 
-214.273 8.7711e-06 8.7711e-06 
-209.383 9.74566e-06 9.74566e-06 
-204.494 4.87283e-06 4.87283e-06 
-199.604 8.7711e-06 8.7711e-06 
-194.714 4.87283e-06 4.87283e-06 
-189.824 1.16948e-05 1.16948e-05 
-184.935 7.79653e-06 7.79653e-06 
-180.045 1.16948e-05 1.16948e-05 
-175.155 1.75422e-05 1.75422e-05 
-170.266 1.65676e-05 1.65676e-05 
-165.376 1.65676e-05 1.65676e-05 
-160.486 1.36439e-05 1.36439e-05 
-155.596 1.36439e-05 1.36439e-05 
-150.707 1.65676e-05 1.65676e-05 
-145.817 1.65676e-05 1.65676e-05 
-140.927 3.02116e-05 3.02116e-05 
-136.038 1.65676e-05 1.65676e-05 
-131.148 2.43642e-05 2.43642e-05 
-126.258 3.50844e-05 3.50844e-05 
-121.368 3.89827e-05 3.89827e-05 
-116.479 2.82624e-05 2.82624e-05 
-111.589 3.02116e-05 3.02116e-05 
-106.699 4.09318e-05 4.09318e-05 
-101.809 5.1652e-05 5.1652e-05 
-96.9198 5.65248e-05 5.65248e-05 
-92.0301 4.67792e-05 4.67792e-05 
-87.1403 8.96601e-05 8.96601e-05 
-82.2506 9.16092e-05 9.16092e-05 
-77.3609 0.000110126 0.000110126 
-72.4712 0.000156905 0.000156905 
-67.5815 0.000199786 0.000199786 
-62.6918 0.000227074 0.000227074 
-57.802 0.000294319 0.000294319 
-52.9123 0.000368386 0.000368386 
-48.0226 0.000497029 0.000497029 
-43.1329 0.000681222 0.000681222 
-38.2432 0.000879059 0.000879059 
-33.3535 0.00107884 0.00107884 
-28.4637 0.00139266 0.00139266 
-23.574 0.00186824 0.00186824 
-18.6843 0.00261963 0.00261963 
-13.7946 0.00399085 0.00399085 
-8.90486 0.00639608 0.00639608 
-4.01515 0.0117874 0.0117874 
0.87457 0.0986329 0.0986329 
5.76429 0.0364712 0.0364712 
10.654 0.0127337 0.0127337 
15.5437 0.00759674 0.00759674 
20.4334 0.00478707 0.00478707 
25.3232 0.00318293 0.00318293 
30.2129 0.00208362 0.00208362 
35.1026 0.00161388 0.00161388 
39.9923 0.0012455 0.0012455 
44.882 0.000845924 0.000845924 
49.7717 0.000506775 0.000506775 
54.6615 0.000368386 0.000368386 
59.5512 0.000266057 0.000266057 
64.4409 0.000186142 0.000186142 
69.3306 0.000131566 0.000131566 
74.2203 8.47873e-05 8.47873e-05 
79.11 7.60162e-05 7.60162e-05 
83.9998 4.77538e-05 4.77538e-05 
88.8895 3.99572e-05 3.99572e-05 
93.7792 3.31353e-05 3.31353e-05 
98.6689 4.19064e-05 4.19064e-05 
103.559 2.43642e-05 2.43642e-05 
108.448 2.14405e-05 2.14405e-05 
113.338 1.75422e-05 1.75422e-05 
118.228 5.8474e-06 5.8474e-06 
123.117 9.74566e-06 9.74566e-06 
128.007 7.79653e-06 7.79653e-06 
132.897 7.79653e-06 7.79653e-06 
137.787 4.87283e-06 4.87283e-06 
142.676 2.9237e-06 2.9237e-06 
147.566 5.8474e-06 5.8474e-06 
152.456 5.8474e-06 5.8474e-06 
157.346 3.89827e-06 3.89827e-06 
162.235 1.46185e-05 1.46185e-05 
167.125 4.87283e-06 4.87283e-06 
172.015 2.9237e-06 2.9237e-06 
176.904 2.9237e-06 2.9237e-06 
181.794 4.87283e-06 4.87283e-06 
186.684 2.9237e-06 2.9237e-06 
191.574 0 0 
196.463 2.9237e-06 2.9237e-06 
201.353 0 0 
206.243 0 0 
211.132 2.9237e-06 2.9237e-06 
216.022 9.74566e-07 9.74566e-07 
220.912 1.94913e-06 1.94913e-06 
225.802 9.74566e-07 9.74566e-07 
230.691 2.9237e-06 2.9237e-06 
235.581 1.94913e-06 1.94913e-06 
240.471 0 0 
245.36 0 0 
250.25 2.9237e-06 2.9237e-06 
255.14 2.9237e-06 2.9237e-06 
260.03 9.74566e-07 9.74566e-07 
264.919 0 0 
269.809 9.74566e-07 9.74566e-07 
274.699 0 0 
279.588 9.74566e-07 9.74566e-07 
284.478 1.94913e-06 1.94913e-06 
289.368 0 0 
294.258 9.74566e-07 9.74566e-07 
299.147 0 0 
304.037 0 0 
308.927 0 0 
313.816 0 0 
318.706 0 0 
323.596 1.94913e-06 1.94913e-06 
328.486 1.94913e-06 1.94913e-06 




x=U_y/U_D 	 PDF 	 dV/Vdx
-120.535 1.34528e-06 1.34528e-06 
-113.451 1.34528e-06 1.34528e-06 
-106.366 2.01792e-06 2.01792e-06 
-99.2818 1.34528e-06 1.34528e-06 
-92.1973 2.01792e-06 2.01792e-06 
-85.1127 1.34528e-06 1.34528e-06 
-78.0282 1.34528e-06 1.34528e-06 
-70.9436 5.38112e-06 5.38112e-06 
-63.859 5.38112e-06 5.38112e-06 
-56.7745 4.03584e-06 4.03584e-06 
-49.6899 1.74886e-05 1.74886e-05 
-42.6054 2.01792e-05 2.01792e-05 
-35.5208 3.16141e-05 3.16141e-05 
-28.4363 4.91027e-05 4.91027e-05 
-21.3517 9.08064e-05 9.08064e-05 
-14.2672 0.000295289 0.000295289 
-7.18261 0.000934297 0.000934297 
-0.0980533 0.0107737 0.0107737 
6.9865 0.0822968 0.0822968 
14.0711 0.0166949 0.0166949 
21.1556 0.00895216 0.00895216 
28.2402 0.00577461 0.00577461 
35.3247 0.0040123 0.0040123 
42.4093 0.00247061 0.00247061 
49.4938 0.00167218 0.00167218 
56.5784 0.00124976 0.00124976 
63.6629 0.000924207 0.000924207 
70.7475 0.000715689 0.000715689 
77.8321 0.000612775 0.000612775 
84.9166 0.00048161 0.00048161 
92.0012 0.000400221 0.000400221 
99.0857 0.000351118 0.000351118 
106.17 0.00030067 0.00030067 
113.255 0.000272419 0.000272419 
120.339 0.000247531 0.000247531 
127.424 0.000159416 0.000159416 
134.508 0.000153362 0.000153362 
141.593 0.000135201 0.000135201 
148.678 0.000115021 0.000115021 
155.762 9.75328e-05 9.75328e-05 
162.847 8.00441e-05 8.00441e-05 
169.931 6.65913e-05 6.65913e-05 
177.016 6.39008e-05 6.39008e-05 
184.1 5.44838e-05 5.44838e-05 
191.185 4.97753e-05 4.97753e-05 
198.269 3.16141e-05 3.16141e-05 
205.354 3.90131e-05 3.90131e-05 
212.439 3.22867e-05 3.22867e-05 
219.523 2.01792e-05 2.01792e-05 
226.608 2.89235e-05 2.89235e-05 
233.692 2.6233e-05 2.6233e-05 
240.777 2.21971e-05 2.21971e-05 
247.861 2.21971e-05 2.21971e-05 
254.946 2.15245e-05 2.15245e-05 
262.03 2.01792e-05 2.01792e-05 
