ketton_desp_128_45-1-X/processor0	effPorosity= 0.09831 		K_x= 3.52841e-14 m^2 		FF_x= 73.8619 		DarcyVelocity= 1.37829e-07 m/s 		DelP= 1 Pa 		K: 3.52841e-14 m^2 			K=( 3.52841e-14  0  0 ) Pmax-Pmin: 1.00288 Umax= 0.000105079		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.64937e-12/(0.000256*0.000256*0.000256)= 0.09831		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.37829e-07*sqrt(3.52841e-14 )/0.001)= 2.58898e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
9.2448e-13 1.94764e+07 1.94764e+07 4.14593e-05 4.14593e-05 
1.21029e-12 0 0 0 0 
1.58445e-12 1.13639e+07 1.13639e+07 4.14593e-05 4.14593e-05 
2.07429e-12 0 0 0 0 
2.71556e-12 0 0 0 0 
3.55508e-12 0 0 0 0 
4.65415e-12 1.16061e+07 1.16061e+07 0.000124378 0.000124378 
6.09299e-12 5.91025e+06 5.91025e+06 8.29186e-05 8.29186e-05 
7.97666e-12 4.51456e+06 4.51456e+06 8.29186e-05 8.29186e-05 
1.04427e-11 8.62114e+06 8.62114e+06 0.000207297 0.000207297 
1.36711e-11 1.31706e+06 1.31706e+06 4.14593e-05 4.14593e-05 
1.78975e-11 5.03019e+06 5.03019e+06 0.000207297 0.000207297 
2.34306e-11 3.07386e+06 3.07386e+06 0.000165837 0.000165837 
3.06742e-11 5.86993e+06 5.86993e+06 0.000414593 0.000414593 
4.01572e-11 1.34513e+06 1.34513e+06 0.000124378 0.000124378 
5.25719e-11 3.42494e+06 3.42494e+06 0.000414593 0.000414593 
6.88247e-11 3.6626e+06 3.6626e+06 0.00058043 0.00058043 
9.01021e-11 3.79686e+06 3.79686e+06 0.000787727 0.000787727 
1.17957e-10 3.05289e+06 3.05289e+06 0.000829186 0.000829186 
1.54424e-10 2.68175e+06 2.68175e+06 0.000953564 0.000953564 
2.02165e-10 2.67191e+06 2.67191e+06 0.00124378 0.00124378 
2.64665e-10 2.85732e+06 2.85732e+06 0.00174129 0.00174129 
3.46487e-10 2.4424e+06 2.4424e+06 0.00194859 0.00194859 
4.53605e-10 2.06411e+06 2.06411e+06 0.00215588 0.00215588 
5.93838e-10 2.27405e+06 2.27405e+06 0.00310945 0.00310945 
7.77425e-10 1.52859e+06 1.52859e+06 0.00273631 0.00273631 
1.01777e-09 1.29146e+06 1.29146e+06 0.00302653 0.00302653 
1.33241e-09 1.17567e+06 1.17567e+06 0.00360696 0.00360696 
1.74433e-09 1.14578e+06 1.14578e+06 0.00460198 0.00460198 
2.2836e-09 1.0329e+06 1.0329e+06 0.00543117 0.00543117 
2.98958e-09 897392 897392 0.00617744 0.00617744 
3.91382e-09 731481 731481 0.00659203 0.00659203 
5.12379e-09 643082 643082 0.00758705 0.00758705 
6.70782e-09 566379 566379 0.00874792 0.00874792 
8.78157e-09 469537 469537 0.00949418 0.00949418 
1.14964e-08 399378 399378 0.0105721 0.0105721 
1.50506e-08 358901 358901 0.0124378 0.0124378 
1.97035e-08 275061 275061 0.0124793 0.0124793 
2.57949e-08 216389 216389 0.0128524 0.0128524 
3.37695e-08 155692 155692 0.0121061 0.0121061 
4.42094e-08 115260 115260 0.011733 0.011733 
5.78769e-08 83064 83064 0.0110696 0.0110696 
7.57697e-08 73191.7 73191.7 0.0127695 0.0127695 
9.91941e-08 47013.3 47013.3 0.010738 0.010738 
1.2986e-07 35079.3 35079.3 0.0104892 0.0104892 
1.70007e-07 25630.4 25630.4 0.0100332 0.0100332 
2.22565e-07 17069.9 17069.9 0.00874792 0.00874792 
2.91372e-07 12173.8 12173.8 0.00816749 0.00816749 
3.8145e-07 8590.92 8590.92 0.0075456 0.0075456 
4.99377e-07 5516.57 5516.57 0.00634328 0.00634328 
6.53761e-07 4764.68 4764.68 0.00717246 0.00717246 
8.55873e-07 3260.84 3260.84 0.00642619 0.00642619 
1.12047e-06 2892.54 2892.54 0.00746268 0.00746268 
1.46686e-06 2295.4 2295.4 0.00775289 0.00775289 
1.92035e-06 1631.46 1631.46 0.00721392 0.00721392 
2.51403e-06 1475.38 1475.38 0.00854062 0.00854062 
3.29125e-06 1083.2 1083.2 0.00820894 0.00820894 
4.30875e-06 1027.99 1027.99 0.010199 0.010199 
5.64082e-06 734.162 734.162 0.00953564 0.00953564 
7.38469e-06 580.298 580.298 0.00986732 0.00986732 
9.6677e-06 456.299 456.299 0.0101575 0.0101575 
1.26565e-05 423.945 423.945 0.0123549 0.0123549 
1.65693e-05 344.478 344.478 0.0131426 0.0131426 
2.16917e-05 233.248 233.248 0.0116501 0.0116501 
2.83978e-05 173.095 173.095 0.0113184 0.0113184 
3.71771e-05 133.672 133.672 0.0114428 0.0114428 
4.86705e-05 95.8166 95.8166 0.010738 0.010738 
6.37171e-05 74.0375 74.0375 0.0108623 0.0108623 
8.34154e-05 58.9281 58.9281 0.0113184 0.0113184 
0.000109204 48.9696 48.9696 0.0123134 0.0123134 
0.000142964 37.1536 37.1536 0.0122305 0.0122305 
0.000187162 31.3622 31.3622 0.0135157 0.0135157 
0.000245024 26.7485 26.7485 0.0150912 0.0150912 
0.000320773 20.3197 20.3197 0.0150083 0.0150083 
0.000419942 17.7508 17.7508 0.0171642 0.0171642 
0.000549768 15.4913 15.4913 0.0196103 0.0196103 
0.00071973 12.2584 12.2584 0.0203151 0.0203151 
0.000942237 9.3827 9.3827 0.0203565 0.0203565 
0.00123353 7.51732 7.51732 0.0213515 0.0213515 
0.00161488 6.16582 6.16582 0.022927 0.022927 
0.00211413 4.93121 4.93121 0.0240049 0.0240049 
0.00276772 4.092 4.092 0.0260779 0.0260779 
0.00362337 3.28967 3.28967 0.0274461 0.0274461 
0.00474354 2.37238 2.37238 0.0259121 0.0259121 
0.00621002 1.89043 1.89043 0.0270315 0.0270315 
0.00812987 1.43072 1.43072 0.0267827 0.0267827 
0.0106432 1.10132 1.10132 0.02699 0.02699 
0.0139336 0.932995 0.932995 0.0299336 0.0299336 
0.0182413 0.78374 0.78374 0.0329187 0.0329187 
0.0238806 0.640885 0.640885 0.0352404 0.0352404 
0.0312634 0.536768 0.536768 0.0386401 0.0386401 
0.0409285 0.439047 0.439047 0.0413764 0.0413764 
0.0535817 0.401903 0.401903 0.0495853 0.0495853 
0.0701466 0.337283 0.337283 0.0544775 0.0544775 
0.0918327 0.311358 0.311358 0.0658374 0.0658374 
0.120223 0.259847 0.259847 0.0719319 0.0719319 
