ketton_desp_128_52-1-Z/processor0	effPorosity= 0.105747 		K_z= 3.85071e-14 m^2 		FF_z= 99.8986 		DarcyVelocity= 1.4463e-07 m/s 		DelP= 0.96152 Pa 		K: 3.85071e-14 m^2 			K=( 0  0  3.85071e-14 ) Pmax-Pmin: 1.00211 Umax= 9.35618e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.77414e-12/(0.000256*0.000256*0.000256)= 0.105747		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.4463e-07*sqrt(3.85071e-14 )/0.001)= 2.83811e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
6.11958e-15 2.39669e+09 2.39669e+09 3.37714e-05 3.37714e-05 
8.32232e-15 0 0 0 0 
1.13179e-14 1.29588e+09 1.29588e+09 3.37714e-05 3.37714e-05 
1.53918e-14 1.90578e+09 1.90578e+09 6.75427e-05 6.75427e-05 
2.0932e-14 0 0 0 0 
2.84665e-14 1.03045e+09 1.03045e+09 6.75427e-05 6.75427e-05 
3.8713e-14 3.78858e+08 3.78858e+08 3.37714e-05 3.37714e-05 
5.26477e-14 0 0 0 0 
7.15981e-14 6.14543e+08 6.14543e+08 0.000101314 0.000101314 
9.73698e-14 4.51887e+08 4.51887e+08 0.000101314 0.000101314 
1.32418e-13 7.75326e+08 7.75326e+08 0.0002364 0.0002364 
1.80082e-13 1.6289e+08 1.6289e+08 6.75427e-05 6.75427e-05 
2.44902e-13 7.18659e+08 7.18659e+08 0.000405256 0.000405256 
3.33054e-13 4.84408e+08 4.84408e+08 0.000371485 0.000371485 
4.52936e-13 4.5334e+08 4.5334e+08 0.000472799 0.000472799 
6.15969e-13 2.8573e+08 2.8573e+08 0.000405256 0.000405256 
8.37687e-13 2.62629e+08 2.62629e+08 0.000506571 0.000506571 
1.13921e-12 3.60485e+08 3.60485e+08 0.000945598 0.000945598 
1.54927e-12 4.07075e+08 4.07075e+08 0.00145217 0.00145217 
2.10692e-12 2.71487e+08 2.71487e+08 0.00131708 0.00131708 
2.86531e-12 2.55936e+08 2.55936e+08 0.00168857 0.00168857 
3.89667e-12 2.14543e+08 2.14543e+08 0.00192497 0.00192497 
5.29928e-12 2.35253e+08 2.35253e+08 0.00287057 0.00287057 
7.20674e-12 2.03514e+08 2.03514e+08 0.00337714 0.00337714 
9.8008e-12 1.57131e+08 1.57131e+08 0.00354599 0.00354599 
1.33286e-11 1.22144e+08 1.22144e+08 0.00374862 0.00374862 
1.81262e-11 1.20563e+08 1.20563e+08 0.00503193 0.00503193 
2.46507e-11 9.10323e+07 9.10323e+07 0.00516702 0.00516702 
3.35237e-11 6.47505e+07 6.47505e+07 0.00499816 0.00499816 
