ketton_desp_128_53-1-Z/processor0	effPorosity= 0.112995 		K_z= 3.97502e-14 m^2 		FF_z= 91.9617 		DarcyVelocity= 1.55126e-07 m/s 		DelP= 0.999046 Pa 		K: 3.97502e-14 m^2 			K=( 0  0  3.97502e-14 ) Pmax-Pmin: 1.00271 Umax= 0.000109852		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.89574e-12/(0.000256*0.000256*0.000256)= 0.112995		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.55126e-07*sqrt(3.97502e-14 )/0.001)= 3.09282e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
3.51715e-13 4.34122e+07 4.34122e+07 3.51576e-05 3.51576e-05 
4.63684e-13 0 0 0 0 
6.11298e-13 0 0 0 0 
8.05905e-13 0 0 0 0 
1.06247e-12 0 0 0 0 
1.4007e-12 0 0 0 0 
1.84662e-12 0 0 0 0 
2.43449e-12 6.27186e+06 6.27186e+06 3.51576e-05 3.51576e-05 
3.20951e-12 1.42721e+07 1.42721e+07 0.000105473 0.000105473 
4.23125e-12 0 0 0 0 
5.57827e-12 2.73718e+06 2.73718e+06 3.51576e-05 3.51576e-05 
7.35412e-12 6.22865e+06 6.22865e+06 0.000105473 0.000105473 
9.6953e-12 4.72458e+06 4.72458e+06 0.000105473 0.000105473 
1.27818e-11 2.38914e+06 2.38914e+06 7.03152e-05 7.03152e-05 
1.68509e-11 3.62444e+06 3.62444e+06 0.00014063 0.00014063 
2.22154e-11 1.37461e+06 1.37461e+06 7.03152e-05 7.03152e-05 
2.92877e-11 2.60669e+06 2.60669e+06 0.000175788 0.000175788 
3.86114e-11 790893 790893 7.03152e-05 7.03152e-05 
5.09034e-11 2.09969e+06 2.09969e+06 0.000246103 0.000246103 
6.71085e-11 1.59266e+06 1.59266e+06 0.000246103 0.000246103 
8.84725e-11 1.8984e+06 1.8984e+06 0.000386734 0.000386734 
1.16638e-10 1.96361e+06 1.96361e+06 0.000527364 0.000527364 
1.53769e-10 1.98593e+06 1.98593e+06 0.000703152 0.000703152 
2.02722e-10 1.50637e+06 1.50637e+06 0.000703152 0.000703152 
2.67258e-10 1.19975e+06 1.19975e+06 0.00073831 0.00073831 
3.5234e-10 1.12672e+06 1.12672e+06 0.000914098 0.000914098 
4.64508e-10 1.08474e+06 1.08474e+06 0.0011602 0.0011602 
6.12384e-10 922532 922532 0.00130083 0.00130083 
8.07337e-10 907800 907800 0.00168757 0.00168757 
1.06435e-09 731624 731624 0.00179304 0.00179304 
1.40319e-09 707295 707295 0.00228524 0.00228524 
1.8499e-09 462215 462215 0.00196883 0.00196883 
2.43881e-09 494598 494598 0.00277745 0.00277745 
3.21521e-09 337173 337173 0.00249619 0.00249619 
4.23877e-09 353012 353012 0.00344545 0.00344545 
5.58818e-09 226783 226783 0.00291808 0.00291808 
7.36719e-09 207254 207254 0.00351576 0.00351576 
9.71253e-09 172927 172927 0.00386734 0.00386734 
1.28045e-08 151441 151441 0.00446502 0.00446502 
1.68808e-08 127535 127535 0.00495722 0.00495722 
2.22549e-08 105657 105657 0.00541427 0.00541427 
2.93397e-08 74419 74419 0.00502754 0.00502754 
3.868e-08 65133 65133 0.005801 0.005801 
5.09938e-08 48806.1 48806.1 0.00573069 0.00573069 
6.72277e-08 35885 35885 0.0055549 0.0055549 
8.86297e-08 28942.3 28942.3 0.00590648 0.00590648 
1.16845e-07 23652.2 23652.2 0.00636353 0.00636353 
1.54043e-07 17445.2 17445.2 0.00618774 0.00618774 
2.03082e-07 14961.8 14961.8 0.00699636 0.00699636 
2.67733e-07 10949.7 10949.7 0.00675026 0.00675026 
3.52966e-07 9300.55 9300.55 0.00755889 0.00755889 
4.65333e-07 6201.56 6201.56 0.00664479 0.00664479 
6.13472e-07 4654.25 4654.25 0.00657447 0.00657447 
8.08772e-07 3284.94 3284.94 0.00611742 0.00611742 
1.06624e-06 2749.46 2749.46 0.00675026 0.00675026 
1.40568e-06 2313.64 2313.64 0.00748857 0.00748857 
1.85318e-06 2059.8 2059.8 0.0087894 0.0087894 
2.44315e-06 1456.16 1456.16 0.00819172 0.00819172 
3.22092e-06 1303.64 1303.64 0.00966834 0.00966834 
4.2463e-06 960.072 960.072 0.00938708 0.00938708 
5.59811e-06 548.224 548.224 0.00706668 0.00706668 
7.38028e-06 403.428 403.428 0.00685573 0.00685573 
9.72979e-06 274.624 274.624 0.00615258 0.00615258 
1.28273e-05 198.786 198.786 0.00587132 0.00587132 
1.69108e-05 148.978 148.978 0.005801 0.005801 
2.22944e-05 97.9363 97.9363 0.00502754 0.00502754 
2.93918e-05 82.5988 82.5988 0.00559006 0.00559006 
3.87487e-05 74.4745 74.4745 0.00664479 0.00664479 
5.10844e-05 54.9962 54.9962 0.006469 0.006469 
6.73472e-05 46.477 46.477 0.00720731 0.00720731 
8.87872e-05 36.6297 36.6297 0.00748857 0.00748857 
0.000117053 30.6542 30.6542 0.00826204 0.00826204 
0.000154316 23.9446 23.9446 0.00850814 0.00850814 
0.000203443 21.0145 21.0145 0.00984413 0.00984413 
0.000268209 16.5662 16.5662 0.0102309 0.0102309 
0.000353594 11.5727 11.5727 0.00942224 0.00942224 
0.00046616 9.04019 9.04019 0.0097035 0.0097035 
0.000614562 8.02491 8.02491 0.0113559 0.0113559 
0.000810209 6.10593 6.10593 0.0113911 0.0113911 
0.00106814 5.46059 5.46059 0.0134302 0.0134302 
0.00140818 4.02271 4.02271 0.0130435 0.0130435 
0.00185648 3.63527 3.63527 0.0155397 0.0155397 
0.00244749 2.96955 2.96955 0.016735 0.016735 
0.00322664 2.6689 2.6689 0.0198289 0.0198289 
0.00425385 2.09262 2.09262 0.0204969 0.0204969 
0.00560806 1.9603 1.9603 0.0253135 0.0253135 
0.00739339 1.55922 1.55922 0.026544 0.026544 
0.00974708 1.39105 1.39105 0.03122 0.03122 
0.0128501 1.16446 1.16446 0.0344545 0.0344545 
0.0169409 0.986018 0.986018 0.0384624 0.0384624 
0.022334 0.835426 0.835426 0.0429626 0.0429626 
0.0294441 0.653396 0.653396 0.0442986 0.0442986 
0.0388176 0.582939 0.582939 0.0521036 0.0521036 
0.0511752 0.507216 0.507216 0.0597679 0.0597679 
0.0674668 0.417777 0.417777 0.0649009 0.0649009 
0.0889449 0.366334 0.366334 0.0750263 0.0750263 
