ketton_desp_128_55-1-Y/processor0	effPorosity= 0.108872 		K_y= 7.49046e-14 m^2 		FF_y= 54.7541 		DarcyVelocity= 2.92596e-07 m/s 		DelP= 1 Pa 		K: 7.49046e-14 m^2 			K=( 0  7.49046e-14  0 ) Pmax-Pmin: 1.00566 Umax= 9.97115e-05		 effPorosity= V_pore/(L_x*L_y*L_z)= 1.82657e-12/(0.000256*0.000256*0.000256)= 0.108872		 Re=rho*VDarcy*sqrt(K)/mu= 1000*2.92596e-07*sqrt(7.49046e-14 )/0.001)= 8.00797e-08


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
8.53749e-13 1.9455e+07 1.9455e+07 3.82452e-05 3.82452e-05 
1.11135e-12 2.98912e+07 2.98912e+07 7.64905e-05 7.64905e-05 
1.44666e-12 0 0 0 0 
1.88316e-12 8.82013e+06 8.82013e+06 3.82452e-05 3.82452e-05 
2.45135e-12 1.35515e+07 1.35515e+07 7.64905e-05 7.64905e-05 
3.19098e-12 0 0 0 0 
4.15378e-12 3.9987e+06 3.9987e+06 3.82452e-05 3.82452e-05 
5.40707e-12 1.22874e+07 1.22874e+07 0.000152981 0.000152981 
7.03851e-12 1.4159e+07 1.4159e+07 0.000229471 0.000229471 
9.16219e-12 1.08771e+07 1.08771e+07 0.000229471 0.000229471 
1.19266e-11 1.53192e+07 1.53192e+07 0.000420698 0.000420698 
1.55252e-11 1.81875e+07 1.81875e+07 0.000650169 0.000650169 
2.02095e-11 1.56156e+07 1.56156e+07 0.00072666 0.00072666 
2.63072e-11 1.89412e+07 1.89412e+07 0.00114736 0.00114736 
3.42447e-11 1.30958e+07 1.30958e+07 0.00103262 0.00103262 
4.45771e-11 2.19837e+07 2.19837e+07 0.00225647 0.00225647 
5.80271e-11 1.51707e+07 1.51707e+07 0.002027 0.002027 
7.55353e-11 1.56124e+07 1.56124e+07 0.00271541 0.00271541 
9.83261e-11 1.14869e+07 1.14869e+07 0.00260068 0.00260068 
1.27993e-10 1.6351e+07 1.6351e+07 0.0048189 0.0048189 
1.66612e-10 1.43555e+07 1.43555e+07 0.00550731 0.00550731 
2.16883e-10 1.28661e+07 1.28661e+07 0.0064252 0.0064252 
2.82321e-10 1.14135e+07 1.14135e+07 0.00741958 0.00741958 
3.67504e-10 9.17477e+06 9.17477e+06 0.00776378 0.00776378 
4.78389e-10 9.37441e+06 9.37441e+06 0.0103262 0.0103262 
6.22731e-10 7.36157e+06 7.36157e+06 0.0105557 0.0105557 
8.10623e-10 6.49534e+06 6.49534e+06 0.0121237 0.0121237 
1.05521e-09 5.3361e+06 5.3361e+06 0.0129651 0.0129651 
1.37359e-09 4.65549e+06 4.65549e+06 0.0147244 0.0147244 
1.78803e-09 4.05017e+06 4.05017e+06 0.0166749 0.0166749 
2.32752e-09 2.74744e+06 2.74744e+06 0.0147244 0.0147244 
3.02979e-09 2.13255e+06 2.13255e+06 0.0148774 0.0148774 
3.94395e-09 1.64246e+06 1.64246e+06 0.0149156 0.0149156 
5.13394e-09 1.12588e+06 1.12588e+06 0.0133093 0.0133093 
6.68297e-09 790350 790350 0.012162 0.012162 
8.69938e-09 490689 490689 0.00982903 0.00982903 
1.13242e-08 293349 293349 0.00764905 0.00764905 
1.4741e-08 152114 152114 0.00516311 0.00516311 
1.91887e-08 109066 109066 0.0048189 0.0048189 
2.49783e-08 75141 75141 0.00432171 0.00432171 
3.25149e-08 69984.2 69984.2 0.0052396 0.0052396 
4.23254e-08 51800.6 51800.6 0.00504837 0.00504837 
5.5096e-08 42205.6 42205.6 0.00535433 0.00535433 
7.17197e-08 32886 32886 0.00543082 0.00543082 
9.33593e-08 25263.4 25263.4 0.00543082 0.00543082 
1.21528e-07 14897.5 14897.5 0.00416873 0.00416873 
1.58196e-07 9974.48 9974.48 0.0036333 0.0036333 
2.05927e-07 8065.81 8065.81 0.00382452 0.00382452 
2.6806e-07 6382.14 6382.14 0.00393926 0.00393926 
3.48941e-07 5045.64 5045.64 0.004054 0.004054 
4.54224e-07 3693.29 3693.29 0.00386277 0.00386277 
5.91274e-07 3399.05 3399.05 0.00462767 0.00462767 
7.69676e-07 2762.26 2762.26 0.00489539 0.00489539 
1.00191e-06 2287.78 2287.78 0.00527784 0.00527784 
1.3042e-06 1782.97 1782.97 0.00535433 0.00535433 
1.69771e-06 1536.02 1536.02 0.0060045 0.0060045 
2.20995e-06 1202.54 1202.54 0.00611924 0.00611924 
2.87675e-06 1091.24 1091.24 0.00722835 0.00722835 
3.74473e-06 966.936 966.936 0.00833746 0.00833746 
4.8746e-06 722.367 722.367 0.00810799 0.00810799 
6.34539e-06 662.253 662.253 0.00967604 0.00967604 
8.25994e-06 504.729 504.729 0.00959955 0.00959955 
1.07522e-05 401.642 401.642 0.00994376 0.00994376 
1.39963e-05 287.185 287.185 0.00925535 0.00925535 
1.82194e-05 257.997 257.997 0.0108234 0.0108234 
2.37166e-05 178.587 178.587 0.00975254 0.00975254 
3.08724e-05 143.111 143.111 0.0101732 0.0101732 
4.01874e-05 116.966 116.966 0.0108234 0.0108234 
5.23129e-05 90.4894 90.4894 0.0108999 0.0108999 
6.80969e-05 74.8812 74.8812 0.0117413 0.0117413 
8.86434e-05 56.9625 56.9625 0.0116266 0.0116266 
0.000115389 46.7821 46.7821 0.0124297 0.0124297 
0.000150205 40.6936 40.6936 0.0140742 0.0140742 
0.000195525 33.8947 33.8947 0.0152598 0.0152598 
0.00025452 27.213 27.213 0.0159483 0.0159483 
0.000331314 23.0109 23.0109 0.0175546 0.0175546 
0.00043128 19.1793 19.1793 0.0190461 0.0190461 
0.000561407 15.6509 15.6509 0.0202317 0.0202317 
0.000730797 13.9778 13.9778 0.0235208 0.0235208 
0.000951295 11.384 11.384 0.0249359 0.0249359 
0.00123832 9.61716 9.61716 0.0274218 0.0274218 
0.00161196 7.96504 7.96504 0.0295636 0.0295636 
0.00209832 6.73627 6.73627 0.0325467 0.0325467 
0.00273143 5.30867 5.30867 0.0333881 0.0333881 
0.00355557 4.65277 4.65277 0.0380923 0.0380923 
0.00462837 3.82911 3.82911 0.0408077 0.0408077 
0.00602486 3.02152 3.02152 0.0419168 0.0419168 
